episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min
1000, 49950, -17.675675675675677, -16.293293293293292, -15.966966966966966, -17.18818818818819
2000, 99950, -22.958, -3.671, -11.934, -14.846
3000, 149950, -24.549, -0.107, -1.845, -31.103
4000, 199950, -22.627, -0.047, -9.337, -26.443
5000, 249950, -27.961, -0.044, -16.146, -22.878
6000, 299950, -23.51, -0.076, -21.0, -20.708
7000, 349950, -26.441, -0.283, -28.812, -15.622
8000, 399950, -28.224, -0.161, -30.266, -16.98
9000, 449950, -29.064, -0.205, -37.095, -11.612
10000, 499950, -24.355, -0.065, -35.816, -12.584
11000, 549950, -21.521, -0.036, -36.111, -12.017
12000, 599950, -23.979, -0.027, -39.671, -7.398
13000, 649950, -21.998, -0.035, -41.912, -6.381
14000, 699950, -24.33, -0.137, -44.975, -3.725
15000, 749950, -20.704, -0.036, -42.128, -6.514
16000, 799950, -21.588, -0.055, -44.658, -4.563
17000, 849950, -19.223, -0.137, -41.079, -7.956
18000, 899950, -15.474, -1.209, -41.965, -6.605
19000, 949950, -15.61, -0.091, -42.306, -6.819
20000, 999950, -14.704, -0.095, -38.728, -9.556
21000, 1049950, -17.147, -0.017, -36.534, -13.065
22000, 1099950, -15.747, -0.054, -32.894, -16.608
23000, 1149950, -17.797, -0.034, -31.897, -15.826
24000, 1199950, -16.549, -0.518, -26.976, -22.714
25000, 1249950, -17.696, -1.343, -11.462, -38.518
26000, 1299950, -18.869, -1.528, -12.265, -37.639
27000, 1349950, -19.079, -0.468, -10.694, -39.273
28000, 1399950, -18.186, -1.85, -12.605, -37.363
29000, 1449950, -18.388, -0.701, -17.166, -32.712
30000, 1499950, -13.799, -7.993, -16.584, -33.376
31000, 1549950, -15.784, -5.758, -13.528, -36.277
32000, 1599950, -16.755, -4.812, -12.908, -35.96
33000, 1649950, -15.362, -6.06, -14.211, -35.765
34000, 1699950, -19.843, -2.69, -16.536, -33.429
35000, 1749950, -22.823, -2.576, -11.702, -38.277
36000, 1799950, -19.098, -4.591, -8.98, -41.001
37000, 1849950, -20.817, -1.356, -8.782, -41.188
38000, 1899950, -23.425, -3.102, -10.881, -39.097
39000, 1949950, -21.792, -3.141, -14.923, -35.05
40000, 1999950, -20.959, -4.743, -16.163, -33.796
