energy,attention,episode,step
-1.0,0.0,1,0
-1.0,-1.0,1,1
-2.0,-1.0,1,2
-2.0,-1.0,1,3
-2.0,-2.0,1,4
-3.0,-2.0,1,5
-4.0,-2.0,1,6
-4.0,-2.0,1,7
-5.0,-2.0,1,8
-6.0,-2.0,1,9
-7.0,-2.0,1,10
-8.0,-2.0,1,11
-9.0,-2.0,1,12
-10.0,-2.0,1,13
-10.0,-2.0,1,14
-10.0,-2.0,1,15
-10.0,-2.0,1,16
-10.0,-2.0,1,17
-10.0,-2.0,1,18
-10.0,-2.0,1,19
-10.0,-2.0,1,20
-10.0,-2.0,1,21
-10.0,-2.0,1,22
-11.0,-2.0,1,23
-12.0,-2.0,1,24
-13.0,-2.0,1,25
-13.0,-2.0,1,26
-13.0,-2.0,1,27
-13.0,-2.0,1,28
-13.0,-2.0,1,29
-13.0,-2.0,1,30
-13.0,-2.0,1,31
-13.0,-2.0,1,32
-13.0,-2.0,1,33
-13.0,-2.0,1,34
-13.0,-2.0,1,35
-13.0,-2.0,1,36
-13.0,-2.0,1,37
-13.0,-2.0,1,38
-13.0,-2.0,1,39
-13.0,-2.0,1,40
-13.0,-2.0,1,41
-13.0,-2.0,1,42
-13.0,-2.0,1,43
-13.0,-2.0,1,44
-13.0,-2.0,1,45
-13.0,-2.0,1,46
-13.0,-2.0,1,47
-13.0,-2.0,1,48
-13.0,-2.0,1,49
-1.0,0.0,2,0
-2.0,0.0,2,1
-2.0,0.0,2,2
-2.0,0.0,2,3
-3.0,0.0,2,4
-4.0,0.0,2,5
-5.0,0.0,2,6
-5.0,0.0,2,7
-5.0,0.0,2,8
-5.0,0.0,2,9
-5.0,0.0,2,10
-5.0,0.0,2,11
-5.0,0.0,2,12
-5.0,0.0,2,13
-5.0,0.0,2,14
-5.0,0.0,2,15
-5.0,0.0,2,16
-5.0,0.0,2,17
-5.0,0.0,2,18
-5.0,0.0,2,19
-5.0,0.0,2,20
-5.0,0.0,2,21
-5.0,0.0,2,22
-5.0,0.0,2,23
-5.0,0.0,2,24
-5.0,0.0,2,25
-5.0,0.0,2,26
-5.0,0.0,2,27
-5.0,0.0,2,28
-5.0,0.0,2,29
-5.0,0.0,2,30
-5.0,0.0,2,31
-5.0,0.0,2,32
-5.0,0.0,2,33
-5.0,0.0,2,34
-5.0,0.0,2,35
-5.0,0.0,2,36
-5.0,0.0,2,37
-5.0,0.0,2,38
-5.0,0.0,2,39
-5.0,0.0,2,40
-5.0,0.0,2,41
-5.0,0.0,2,42
-5.0,0.0,2,43
-5.0,0.0,2,44
