episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min,agent2_energy_min,agent2_attention_min,agent3_energy_min,agent3_attention_min
1000, 49950, -17.704704704704703, -14.64064064064064, -15.32932932932933, -16.11911911911912, -17.19119119119119, -16.083083083083082, -16.017017017017018, -17.696696696696698
2000, 99950, -12.21, -21.289, -10.497, -25.985, -17.698, -17.592, -18.45, -16.581
3000, 149950, -15.761, -21.399, -6.693, -32.79, -26.374, -19.118, -10.224, -33.733
4000, 199950, -19.635, -7.61, -10.631, -31.853, -20.554, -23.968, -12.253, -34.479
5000, 249950, -40.441, -2.464, -8.583, -35.292, -11.05, -32.418, -11.449, -35.793
6000, 299950, -46.232, -0.411, -5.042, -40.008, -13.015, -31.446, -9.712, -37.484
7000, 349950, -47.534, -0.496, -3.69, -43.823, -20.169, -25.454, -8.317, -38.628
8000, 399950, -47.656, -0.608, -3.306, -43.899, -26.934, -19.224, -11.556, -36.997
9000, 449950, -47.716, -0.594, -1.76, -45.442, -30.798, -15.887, -10.914, -37.476
10000, 499950, -47.724, -0.654, -2.841, -44.472, -25.011, -22.241, -11.199, -37.776
11000, 549950, -47.67, -0.304, -1.751, -45.377, -23.712, -24.763, -12.789, -35.596
12000, 599950, -47.861, -0.365, -3.662, -44.139, -30.014, -18.997, -11.066, -37.485
13000, 649950, -46.447, -1.355, -3.424, -43.457, -33.211, -15.101, -10.837, -38.227
14000, 699950, -47.967, -0.573, -3.845, -43.631, -36.194, -12.025, -12.031, -36.796
15000, 749950, -47.522, -0.86, -3.983, -44.807, -34.863, -13.485, -11.996, -37.271
16000, 799950, -47.57, -0.672, -2.734, -45.61, -37.489, -10.127, -12.314, -36.911
17000, 849950, -48.182, -0.381, -2.783, -46.298, -43.228, -5.342, -12.692, -36.8
18000, 899950, -48.087, -0.124, -1.924, -46.994, -43.481, -5.473, -13.363, -35.646
19000, 949950, -47.638, -0.298, -1.422, -47.528, -46.867, -1.762, -13.369, -35.094
20000, 999950, -48.691, -0.09, -3.146, -46.046, -47.993, -1.176, -13.674, -35.167
21000, 1049950, -48.201, -0.094, -1.442, -47.511, -47.865, -0.974, -12.714, -35.524
22000, 1099950, -46.92, -0.252, -2.053, -45.88, -47.331, -1.108, -11.999, -37.302
23000, 1149950, -46.744, -0.473, -2.972, -45.831, -45.937, -0.954, -10.783, -38.971
24000, 1199950, -47.884, -0.381, -3.052, -46.714, -46.156, -1.211, -11.93, -37.494
25000, 1249950, -43.68, -0.043, -2.817, -46.903, -47.335, -2.267, -11.503, -37.707
26000, 1299950, -47.945, -0.109, -2.46, -47.461, -45.075, -4.396, -9.431, -40.091
27000, 1349950, -45.316, -0.029, -2.618, -47.161, -43.419, -6.111, -10.77, -39.108
28000, 1399950, -43.18, -1.217, -3.235, -46.541, -46.313, -3.252, -14.656, -34.144
29000, 1449950, -44.727, -1.304, -3.008, -46.765, -45.596, -3.891, -11.665, -37.205
30000, 1499950, -43.671, -0.555, -2.489, -47.441, -44.051, -5.161, -13.224, -36.001
31000, 1549950, -40.424, -2.499, -4.26, -45.674, -43.61, -6.229, -15.342, -33.871
32000, 1599950, -44.963, -0.188, -5.429, -44.481, -48.848, -1.108, -15.011, -33.671
33000, 1649950, -46.728, -0.227, -4.063, -45.818, -47.002, -1.887, -18.028, -30.633
34000, 1699950, -45.903, -0.055, -3.008, -46.78, -41.023, -2.96, -14.549, -34.322
35000, 1749950, -47.074, -0.472, -4.543, -45.319, -40.092, -0.814, -15.55, -33.948
36000, 1799950, -45.701, -0.324, -4.179, -45.629, -35.265, -0.665, -14.975, -33.913
37000, 1849950, -46.303, -0.256, -3.167, -46.429, -28.602, -4.687, -13.532, -36.052
38000, 1899950, -44.292, -0.128, -4.377, -44.52, -33.462, -0.91, -16.314, -32.662
39000, 1949950, -40.829, -0.29, -3.583, -45.837, -31.913, -1.401, -14.846, -34.558
40000, 1999950, -41.604, -0.447, -2.191, -47.447, -27.048, -8.761, -16.136, -33.066
