step, agent0_rew, agent1_rew, agent2_rew, agent3_rew
1000, 3.98, 3.98, 3.98, -39.116947121809446
2000, 5.69, 5.69, 5.69, -25.6194665507163
3000, 8.6, 8.6, 8.6, -9.509242909707165
4000, 31.28, 31.28, 31.28, -34.72441991489249
5000, 45.11, 45.11, 45.11, -56.72471925757432
6000, 31.01, 31.01, 31.01, -56.75016351533924
7000, 28.98, 28.98, 28.98, -41.76378634596456
8000, 26.85, 26.85, 26.85, -33.37819076396003
9000, 21.34, 21.34, 21.34, -27.785397911686772
10000, 24.84, 24.84, 24.84, -27.861609412188372
11000, 27.51, 27.51, 27.51, -34.55822730324108
12000, 24.71, 24.71, 24.71, -32.93402469223306
13000, 26.34, 26.34, 26.34, -43.0212212612416
14000, 43.29, 43.29, 43.29, -61.95442305527674
15000, 65.14, 65.14, 65.14, -82.39137178361425
16000, 77.69, 77.69, 77.69, -89.43779418378632
17000, 55.49, 55.49, 55.49, -77.11137660862346
18000, 60.5, 60.5, 60.5, -78.8017407603111
19000, 73.25, 73.25, 73.25, -84.10403453691019
20000, 60.41, 60.41, 60.41, -78.88518872815493
21000, 40.74, 40.74, 40.74, -58.257153012995346
22000, 27.09, 27.09, 27.09, -53.72467165764186
23000, 23.22, 23.22, 23.22, -43.75651182481499
24000, 25.08, 25.08, 25.08, -40.5799838183201
25000, 22.22, 22.22, 22.22, -34.606119995784205
26000, 25.14, 25.14, 25.14, -37.590773426433664
27000, 23.1, 23.1, 23.1, -34.574554499526506
28000, 22.02, 22.02, 22.02, -33.592371261371966
29000, 21.13, 21.13, 21.13, -33.656448786066306
30000, 21.59, 21.59, 21.59, -35.050932986348855
31000, 21.35, 21.35, 21.35, -35.249792461949525
32000, 20.92, 20.92, 20.92, -34.77011479684066
33000, 20.38, 20.38, 20.38, -33.16003513826724
34000, 20.79, 20.79, 20.79, -33.2448196805594
35000, 21.4, 21.4, 21.4, -34.567485673051735
36000, 18.59, 18.59, 18.59, -29.79812218280861
37000, 20.11, 20.11, 20.11, -31.607375236787878
38000, 20.94, 20.94, 20.94, -33.79911455479452
39000, 20.96, 20.96, 20.96, -34.240420333995644
40000, 20.53, 20.53, 20.53, -35.887344066557986
41000, 21.04, 21.04, 21.04, -36.49793590486153
42000, 19.96, 19.96, 19.96, -33.51797027338394
43000, 24.9, 24.9, 24.9, -38.521661502954615
44000, 25.75, 25.75, 25.75, -39.824623549132404
45000, 25.55, 25.55, 25.55, -41.23185830748528
46000, 21.17, 21.17, 21.17, -35.98908286038938
47000, 24.39, 24.39, 24.39, -40.89167101230955
48000, 26.98, 26.98, 26.98, -43.00872534409451
49000, 26.06, 26.06, 26.06, -40.95114764215336
50000, 23.85, 23.85, 23.85, -38.332548333054916
51000, 24.33, 24.33, 24.33, -39.66054013091136
52000, 25.5, 25.5, 25.5, -39.441795384897596
53000, 24.9, 24.9, 24.9, -37.48944930393115
54000, 25.88, 25.88, 25.88, -41.473194729581984
55000, 27.72, 27.72, 27.72, -44.07556981268435
56000, 27.26, 27.26, 27.26, -42.478834407946785
57000, 26.28, 26.28, 26.28, -41.90901072129629
58000, 25.23, 25.23, 25.23, -40.14642470127758
59000, 25.13, 25.13, 25.13, -38.393640756604874
60000, 26.54, 26.54, 26.54, -40.43229041456125
