step, total_reward
1000, -122.077735
2000, -24.948713
3000, 234.920166
4000, 194.714478
5000, 107.008545
6000, 120.644209
7000, 119.583268
8000, 447.634992
9000, 406.029928
10000, 202.731525
11000, 217.822495
12000, 293.533611
13000, 248.403642
14000, 209.402011
15000, 160.957868
16000, 85.544699
17000, 72.448213
18000, 65.504514
19000, 89.105258
20000, 97.504499
21000, 90.074537
22000, 95.041670
23000, 86.966257
24000, 108.992509
25000, 95.728497
26000, 103.464183
27000, 114.061700
28000, 113.154155
29000, 107.150109
30000, 102.746919
31000, 86.543437
32000, 82.743988
33000, 86.607362
34000, 78.980564
35000, 91.971031
36000, 73.002755
37000, 76.072927
38000, 82.508367
39000, 77.289519
40000, 86.247364
