episode, step, total_reward
1000, 26315, -4.669449
2000, 56591, 0.329270
3000, 91477, 10.715238
4000, 131626, 18.072990
5000, 177788, 43.900811
6000, 230925, 135.871895
7000, 292007, 169.164307
8000, 362267, 162.854441
9000, 443035, 74.596727
10000, 535895, 55.917129
11000, 642641, 53.372750
12000, 765327, 63.116341
13000, 906336, 89.442193
14000, 1068379, 43.283113
15000, 1254599, 90.407936
16000, 1454598, 273.959724
17000, 1654598, 231.143686
18000, 1854598, 151.729451
19000, 2054598, 168.593817
20000, 2254598, 121.076736
21000, 2454598, 146.977315
22000, 2654598, 133.552363
23000, 2854598, 141.459413
24000, 3054598, 154.436227
25000, 3254598, 173.533378
26000, 3454598, 195.956327
27000, 3654598, 237.724871
28000, 3854598, 213.862125
29000, 4054598, 184.339337
30000, 4254598, 190.492896
31000, 4454598, 190.226478
32000, 4654598, 142.699560
33000, 4854598, 193.423098
34000, 5054598, 234.233181
35000, 5254598, 221.046209
36000, 5454598, 221.347034
37000, 5654598, 214.666037
38000, 5854598, 155.991964
39000, 6054598, 152.668165
40000, 6254598, 86.437071
