episode, step, agent0_rew, agent1_rew, agent2_rew, agent3_rew
1000, 25408, 2.03, 2.03, 2.03, -6.982172012281182
2000, 52660, 4.56, 4.56, 4.56, -15.192922650855174
3000, 81885, 4.98, 4.98, 4.98, -5.351509654314251
4000, 113217, 5.37, 5.37, 5.37, -6.281411828689611
5000, 146916, 18.01, 18.01, 18.01, -21.038568598752487
6000, 182997, 26.33, 26.33, 26.33, -41.329851913575865
7000, 221756, 15.54, 15.54, 15.54, -22.552947605103675
8000, 263306, 16.48, 16.48, 16.48, -21.393202660017103
9000, 307869, 16.07, 16.07, 16.07, -21.62401643308297
10000, 355637, 12.54, 12.54, 12.54, -18.9069282807235
11000, 406940, 12.35, 12.35, 12.35, -22.23067788838006
12000, 461923, 16.82, 16.82, 16.82, -31.77178848104242
13000, 520889, 22.43, 22.43, 22.43, -40.061248234810996
14000, 584098, 25.04, 25.04, 25.04, -38.528337087126744
15000, 651925, 34.36, 34.36, 34.36, -46.284941842602976
16000, 724634, 33.67, 33.67, 33.67, -50.92874629476745
17000, 802600, 25.06, 25.06, 25.06, -50.62216121526345
18000, 886188, 28.91, 28.91, 28.91, -59.76958581757976
19000, 975835, 45.85, 45.85, 45.85, -77.23879996709782
20000, 1071923, 45.19, 45.19, 45.19, -71.00991890335327
21000, 1174970, 56.44, 56.44, 56.44, -85.88230512859586
22000, 1285436, 73.15, 73.15, 73.15, -105.98164585688701
23000, 1403866, 76.07, 76.07, 76.07, -121.37240767278726
24000, 1530832, 76.05, 76.05, 76.05, -116.84397113975096
25000, 1666959, 78.73, 78.73, 78.73, -125.02214967025802
26000, 1812882, 72.2, 72.2, 72.2, -118.8562230965804
27000, 1969314, 73.76, 73.76, 73.76, -122.76094905107686
28000, 2137004, 79.01, 79.01, 79.01, -119.13597923804895
29000, 2316778, 90.37, 90.37, 90.37, -131.21307428345204
30000, 2509476, 119.42, 119.42, 119.42, -170.8976107872014
31000, 2709475, 133.11, 133.11, 133.11, -201.04921767768056
32000, 2909475, 116.16, 116.16, 116.16, -182.0671608264795
33000, 3109475, 98.17, 98.17, 98.17, -156.616502317594
34000, 3309475, 108.05, 108.05, 108.05, -164.67984535110375
35000, 3509475, 114.52, 114.52, 114.52, -170.4234461859607
36000, 3709475, 118.48, 118.48, 118.48, -193.79022795709523
37000, 3909475, 111.11, 111.11, 111.11, -174.26403029643748
38000, 4109475, 141.74, 141.74, 141.74, -199.96474475037562
39000, 4309475, 153.4, 153.4, 153.4, -222.9311515553239
40000, 4509475, 155.47, 155.47, 155.47, -226.2114996710436
