step, total_reward
1000, -177.535958
2000, -70.842335
3000, 19.607326
4000, 39.567262
5000, 55.958347
6000, 49.867060
7000, 40.621584
8000, 44.250789
9000, 59.935125
10000, 63.496566
11000, 57.756899
12000, 59.603425
13000, 61.974863
14000, 61.627686
15000, 68.429951
16000, 62.889221
17000, 65.307149
18000, 54.096216
19000, 73.609551
20000, 69.837637
21000, 59.004561
22000, 46.606169
23000, 43.496622
24000, 40.019208
25000, 40.546674
26000, 42.493553
27000, 49.586424
28000, 52.027369
29000, 49.884403
30000, 51.068583
31000, 43.745632
32000, 43.375486
33000, 40.868316
34000, 50.209518
35000, 46.427228
36000, 39.593218
37000, 45.811410
38000, 51.602285
39000, 63.193214
40000, 75.123504
41000, 84.595078
42000, 101.845173
43000, 87.542811
44000, 80.839661
45000, 87.274565
46000, 77.161674
47000, 73.798890
48000, 75.856627
49000, 70.590726
50000, 76.501128
51000, 70.193226
52000, 76.248118
53000, 70.081692
54000, 74.535889
55000, 74.960369
56000, 71.756953
57000, 65.828731
58000, 71.256145
59000, 70.028474
60000, 74.150876
