episode,step,total_reward
1000, 25408, -5.348909
2000, 52660, -7.628437
3000, 81885, 10.017739
4000, 113217, 48.372984
5000, 146916, 133.883922
6000, 182997, 94.912635
7000, 221756, 64.143663
8000, 263306, 54.184200
9000, 307869, 45.731433
10000, 355637, 43.498515
11000, 406940, 35.564049
12000, 461923, 27.541403
13000, 520889, 30.975583
14000, 584098, 28.524984
15000, 651925, 34.425409
16000, 724634, 29.627296
17000, 802600, 34.136065
18000, 886188, 33.224009
19000, 975835, 42.451742
20000, 1071923, 54.781572
21000, 1174970, 48.667457
22000, 1285436, 62.022849
23000, 1403866, 71.786656
24000, 1530832, 54.034998
25000, 1666959, 68.507554
26000, 1812882, 96.873117
27000, 1969314, 84.693968
28000, 2137004, 79.755455
29000, 2316778, 84.123869
30000, 2509476, 94.350419
31000, 2709475, 89.763523
32000, 2909475, 85.543978
33000, 3109475, 124.662511
34000, 3309475, 128.335402
35000, 3509475, 76.666368
36000, 3709475, 68.172995
37000, 3909475, 114.266957
38000, 4109475, 111.926165
39000, 4309475, 106.002018
40000, 4509475, 120.228234
41000, 4709475, 129.730558
42000, 4909475, 117.982171
43000, 5109475, 132.159452
44000, 5309475, 130.788234
45000, 5509475, 140.075836
46000, 5709475, 123.688905
47000, 5909475, 129.070626
48000, 6109475, 128.376095
49000, 6309475, 134.819642
50000, 6509475, 133.216126
