episode,step,agent0_rew,agent1_rew,agent2_rew,agent3_rew
1000, 25408, 2.38, 2.38, 2.38, -7.387252232475974
2000, 52660, 4.8, 4.8, 4.8, -19.45940134343502
3000, 81885, 5.72, 5.72, 5.72, -6.558567359660379
4000, 113217, 21.08, 21.08, 21.08, -22.240319201119526
5000, 146916, 55.12, 55.12, 55.12, -61.62317274899669
6000, 182997, 15.36, 15.36, 15.36, -23.044809692006506
7000, 221756, 13.22, 13.22, 13.22, -19.776146872412703
8000, 263306, 12.6, 12.6, 12.6, -16.612984715809617
9000, 307869, 17.74, 17.74, 17.74, -21.105948201869346
10000, 355637, 23.91, 23.91, 23.91, -27.991458011556936
11000, 406940, 49.29, 49.29, 49.29, -52.2193348304246
12000, 461923, 63.42, 63.42, 63.42, -69.65109229885428
13000, 520889, 45.05, 45.05, 45.05, -65.3541213292369
14000, 584098, 33.13, 33.13, 33.13, -54.94149545376782
15000, 651925, 38.29, 38.29, 38.29, -52.913818291712325
16000, 724634, 72.18, 72.18, 72.18, -86.38281428572571
17000, 802600, 99.63, 99.63, 99.63, -123.07383202624946
18000, 886188, 113.59, 113.59, 113.59, -145.09492717213442
19000, 975835, 65.59, 65.59, 65.59, -106.28436437572579
20000, 1071923, 57.14, 57.14, 57.14, -91.00054473740423
21000, 1174970, 49.78, 49.78, 49.78, -85.18568594011967
22000, 1285436, 48.76, 48.76, 48.76, -86.75795066744553
23000, 1403866, 50.68, 50.68, 50.68, -92.56013656980753
24000, 1530832, 58.39, 58.39, 58.39, -96.66167881813045
25000, 1666959, 75.31, 75.31, 75.31, -131.15330613838108
26000, 1812882, 96.24, 96.24, 96.24, -172.6810982532031
27000, 1969314, 84.48, 84.48, 84.48, -143.28385967590754
28000, 2137004, 95.8, 95.8, 95.8, -153.27896129081572
29000, 2316778, 74.54, 74.54, 74.54, -134.80479815471196
30000, 2509476, 90.84, 90.84, 90.84, -149.22285958918414
31000, 2709475, 130.67, 130.67, 130.67, -204.62757853482378
32000, 2909475, 150.41, 150.41, 150.41, -215.6254362234415
33000, 3109475, 146.18, 146.18, 146.18, -222.7123727897868
34000, 3309475, 133.24, 133.24, 133.24, -214.30319712403207
35000, 3509475, 146.91, 146.91, 146.91, -230.71649020084962
36000, 3709475, 138.34, 138.34, 138.34, -216.84592571175466
37000, 3909475, 138.78, 138.78, 138.78, -221.47710088092467
38000, 4109475, 125.37, 125.37, 125.37, -204.69269292634422
39000, 4309475, 130.26, 130.26, 130.26, -209.80167659249258
40000, 4509475, 121.88, 121.88, 121.88, -205.20475540164315
41000, 4709475, 123.6, 123.6, 123.6, -210.9958886145413
42000, 4909475, 126.11, 126.11, 126.11, -206.87590220407094
43000, 5109475, 136.8, 136.8, 136.8, -212.59815122718982
44000, 5309475, 136.94, 136.94, 136.94, -207.860827165169
45000, 5509475, 133.7, 133.7, 133.7, -203.88219915245188
46000, 5709475, 122.86, 122.86, 122.86, -194.17563820083294
47000, 5909475, 125.61, 125.61, 125.61, -205.017745564469
48000, 6109475, 125.0, 125.0, 125.0, -204.89320969206784
49000, 6309475, 126.36, 126.36, 126.36, -208.0553942165058
50000, 6509475, 132.45, 132.45, 132.45, -207.5610370843552
51000, 6709275, 147.31, 147.31, 147.31, -217.06849263854184
52000, 6909275, 142.97, 142.97, 142.97, -215.1567210072499
53000, 7109275, 135.05, 135.05, 135.05, -208.63650776443214
54000, 7309275, 135.47, 135.47, 135.47, -203.1991517655045
55000, 7509275, 144.97, 144.97, 144.97, -214.1279455762006
56000, 7709275, 156.25, 156.25, 156.25, -225.70244237162882
57000, 7909275, 155.41, 155.41, 155.41, -222.4333339539161
58000, 8109275, 152.94, 152.94, 152.94, -218.31713973674428
59000, 8309275, 130.93, 130.93, 130.93, -198.20205101473263
60000, 8509275, 131.94, 131.94, 131.94, -204.57699980960535
61000, 8709275, 139.34, 139.34, 139.34, -214.1585909234847
62000, 8909275, 130.6, 130.6, 130.6, -196.9990510676409
63000, 9109275, 143.0, 143.0, 143.0, -219.37713813169006
64000, 9309275, 150.58, 150.58, 150.58, -229.05994065140314
65000, 9509275, 145.89, 145.89, 145.89, -229.9379851484123
66000, 9709275, 128.8, 128.8, 128.8, -279.1804413891895
67000, 9909275, 135.43, 135.43, 135.43, -235.73712769868715
68000, 10109275, 134.78, 134.78, 134.78, -203.46029493096472
69000, 10309275, 125.86, 125.86, 125.86, -201.43347153204616
70000, 10509275, 133.9, 133.9, 133.9, -204.78757247085125
71000, 10709275, 158.36, 158.36, 158.36, -235.54261247217877
72000, 10909275, 148.51, 148.51, 148.51, -230.48703733613092
73000, 11109275, 149.65, 149.65, 149.65, -232.5595419243731
74000, 11309275, 146.37, 146.37, 146.37, -226.75894920933177
75000, 11509275, 139.54, 139.54, 139.54, -211.63261274189722
76000, 11709275, 156.64, 156.64, 156.64, -240.34208512848085
77000, 11909275, 124.55, 124.55, 124.55, -216.18758596211387
78000, 12109275, 136.73, 136.73, 136.73, -222.59329742763455
79000, 12309275, 118.81, 118.81, 118.81, -212.2134181996391
80000, 12509275, 150.62, 150.62, 150.62, -219.58635938684975
