episode,step,total_reward
1000, 25408, -1.626484
2000, 52660, -3.835810
3000, 81885, 11.515387
4000, 113217, 51.089845
5000, 146916, 68.440981
6000, 182997, 62.770032
7000, 221756, 123.090623
8000, 263306, 119.248621
9000, 307869, 85.485082
10000, 355637, 66.401517
11000, 406940, 71.303878
12000, 461923, 55.790645
13000, 520889, 45.883951
14000, 584098, 40.131348
15000, 651925, 55.782735
16000, 724634, 57.650205
17000, 802600, 65.371933
18000, 886188, 50.239647
19000, 975835, 50.590731
20000, 1071923, 58.027456
21000, 1174970, 59.249979
22000, 1285436, 62.302293
23000, 1403866, 69.084792
24000, 1530832, 73.650407
25000, 1666959, 51.225265
26000, 1812882, 74.129943
27000, 1969314, 41.052758
28000, 2137004, 54.186298
29000, 2316778, 136.831087
30000, 2509476, 166.747944
31000, 2709475, 176.887996
32000, 2909475, 171.586278
33000, 3109475, 165.732548
34000, 3309475, 131.639666
35000, 3509475, 117.468555
36000, 3709475, 126.449152
37000, 3909475, 146.165766
38000, 4109475, 160.254284
39000, 4309475, 194.472015
40000, 4509475, 189.521399
41000, 4709475, 186.854691
42000, 4909475, 161.012007
43000, 5109475, 174.454030
44000, 5309475, 158.708569
45000, 5509475, 168.009696
46000, 5709475, 144.394449
47000, 5909475, 112.613808
48000, 6109475, 77.960307
49000, 6309475, 183.673218
50000, 6509475, 202.044830
51000, 6709475, 156.959558
52000, 6909475, 118.450487
53000, 7109475, 166.698844
54000, 7309475, 132.252435
55000, 7509475, 124.518901
56000, 7709475, 163.469853
57000, 7909475, 184.060581
58000, 8109475, 173.867638
59000, 8309475, 191.629064
60000, 8509475, 195.362493
61000, 8709475, 158.807788
62000, 8909475, 179.085875
63000, 9109475, 180.499416
64000, 9309475, 139.980717
65000, 9509475, 189.305239
66000, 9709475, 133.465941
67000, 9909475, 105.015203
68000, 10109475, 124.191669
69000, 10309475, 127.912816
70000, 10509475, 202.147258
71000, 10709475, 201.756212
72000, 10909475, 196.755864
73000, 11109475, 163.090214
74000, 11309475, 173.524140
75000, 11509475, 209.766904
76000, 11709475, 182.558571
77000, 11909475, 207.917445
78000, 12109475, 218.049279
79000, 12309475, 202.750157
80000, 12509475, 202.411215
