episode,step,total_reward
1000, 25408, -17.637625
2000, 52660, -28.057909
3000, 81885, 6.639476
4000, 113217, 12.811731
5000, 146916, 22.293701
6000, 182997, 26.643105
7000, 221756, 29.017319
8000, 263306, 27.203648
9000, 307869, 22.919765
10000, 355637, 31.752568
11000, 406940, 35.106464
12000, 461923, 32.430136
13000, 520889, 35.636870
14000, 584098, 36.840213
15000, 651925, 38.569761
16000, 724634, 46.426432
17000, 802600, 50.631929
18000, 886188, 49.114851
19000, 975835, 50.418876
20000, 1071923, 50.946073
21000, 1174970, 49.314018
22000, 1285436, 68.651321
23000, 1403866, 91.224311
24000, 1530832, 111.249199
25000, 1666959, 156.821796
26000, 1812882, 313.788531
27000, 1969314, 449.117866
28000, 2137004, 281.429521
29000, 2316778, 179.081814
30000, 2509476, 144.102069
31000, 2709475, 150.970934
32000, 2909475, 109.778405
33000, 3109475, 104.516558
34000, 3309475, 159.624359
35000, 3509475, 196.113880
36000, 3709475, 213.425887
37000, 3909475, 237.051178
38000, 4109475, 318.099804
39000, 4309475, 372.843075
40000, 4509475, 409.771943
41000, 4709475, 415.820850
42000, 4909475, 398.009334
43000, 5109475, 380.000958
44000, 5309475, 314.089386
45000, 5509475, 294.208852
46000, 5709475, 322.680923
47000, 5909475, 351.029438
48000, 6109475, 308.071206
49000, 6309475, 315.310661
50000, 6509475, 270.539153
