episode,step,agent0_rew,agent1_rew
1000, 49950, -75.54399639200555, -75.54399639200555
2000, 99950, -65.50117270378054, -65.50117270378054
3000, 149950, -11.196595260882946, -11.196595260882946
4000, 199950, -9.738491639272986, -9.738491639272986
5000, 249950, -10.069463270033193, -10.069463270033193
6000, 299950, -9.094839632446366, -9.094839632446366
7000, 349950, -9.154185024103713, -9.154185024103713
8000, 399950, -9.788712063203205, -9.788712063203205
9000, 449950, -9.562196189234161, -9.562196189234161
10000, 499950, -9.7031038557372, -9.7031038557372
11000, 549950, -9.188200140053329, -9.188200140053329
12000, 599950, -9.650266544554222, -9.650266544554222
13000, 649950, -9.414051863957532, -9.414051863957532
14000, 699950, -9.665170492138008, -9.665170492138008
15000, 749950, -9.522572224086552, -9.522572224086552
16000, 799950, -9.59268879612151, -9.59268879612151
17000, 849950, -9.117845788269518, -9.117845788269518
18000, 899950, -9.922433016378633, -9.922433016378633
19000, 949950, -10.186479369268666, -10.186479369268666
20000, 999950, -9.652146867054729, -9.652146867054729
