episode,step,total_reward
1000, 49950, -151.087993
2000, 99950, -131.002345
3000, 149950, -22.393191
4000, 199950, -19.476983
5000, 249950, -20.138927
6000, 299950, -18.189679
7000, 349950, -18.308370
8000, 399950, -19.577424
9000, 449950, -19.124392
10000, 499950, -19.406208
11000, 549950, -18.376400
12000, 599950, -19.300533
13000, 649950, -18.828104
14000, 699950, -19.330341
15000, 749950, -19.045144
16000, 799950, -19.185378
17000, 849950, -18.235692
18000, 899950, -19.844866
19000, 949950, -20.372959
20000, 999950, -19.304294
