a0_to_a1,a1_to_a0,episode,step
A,_,1,0
A,_,1,1
A,_,1,2
A,_,1,3
A,_,1,4
A,_,1,5
E,_,1,6
E,_,1,7
E,_,1,8
E,_,1,9
A,_,1,10
A,_,1,11
E,_,1,12
A,_,1,13
B,_,1,14
E,_,1,15
E,_,1,16
B,_,1,17
A,_,1,18
A,_,1,19
A,_,1,20
E,_,1,21
E,_,1,22
E,_,1,23
E,_,1,24
E,_,1,25
E,_,1,26
A,_,1,27
A,_,1,28
A,_,1,29
E,_,1,30
E,_,1,31
E,_,1,32
E,_,1,33
A,_,1,34
A,_,1,35
A,_,1,36
A,_,1,37
E,_,1,38
E,_,1,39
A,_,1,40
E,_,1,41
E,_,1,42
A,_,1,43
A,_,1,44
A,_,1,45
A,_,1,46
E,_,1,47
E,_,1,48
_,_,2,0
E,_,2,1
E,_,2,2
E,_,2,3
E,_,2,4
E,_,2,5
E,_,2,6
E,_,2,7
E,_,2,8
E,_,2,9
E,_,2,10
E,_,2,11
E,_,2,12
E,_,2,13
E,_,2,14
E,_,2,15
E,_,2,16
E,_,2,17
E,_,2,18
E,_,2,19
A,_,2,20
A,_,2,21
A,_,2,22
E,_,2,23
E,_,2,24
E,_,2,25
A,_,2,26
A,_,2,27
A,_,2,28
A,_,2,29
A,_,2,30
A,_,2,31
E,_,2,32
E,_,2,33
A,_,2,34
A,_,2,35
A,_,2,36
A,_,2,37
B,_,2,38
A,_,2,39
A,_,2,40
A,_,2,41
A,_,2,42
A,_,2,43
E,_,2,44
E,_,2,45
E,_,2,46
E,_,2,47
E,_,2,48
A,_,2,49
_,_,3,0
E,_,3,1
E,_,3,2
E,_,3,3
E,_,3,4
A,_,3,5
A,_,3,6
E,_,3,7
A,_,3,8
A,_,3,9
A,_,3,10
E,_,3,11
E,_,3,12
A,_,3,13
A,_,3,14
A,_,3,15
A,_,3,16
A,_,3,17
A,_,3,18
E,_,3,19
E,_,3,20
E,_,3,21
E,_,3,22
B,_,3,23
A,_,3,24
A,_,3,25
A,_,3,26
B,_,3,27
E,_,3,28
E,_,3,29
A,_,3,30
A,_,3,31
A,_,3,32
B,_,3,33
B,_,3,34
E,_,3,35
B,_,3,36
A,_,3,37
A,_,3,38
A,_,3,39
A,_,3,40
A,_,3,41
A,_,3,42
A,_,3,43
E,_,3,44
E,_,3,45
E,_,3,46
E,_,3,47
E,_,3,48
E,_,3,49
