episode,step,agent0_rew,agent1_rew
1000, 49950, -77.37908012663445, -77.37908012663445
2000, 99950, -136.84398840807938, -136.84398840807938
3000, 149950, -119.54987627470386, -119.54987627470386
4000, 199950, -89.79807446225651, -89.79807446225651
5000, 249950, -72.44328010726502, -72.44328010726502
6000, 299950, -68.15574708566848, -68.15574708566848
7000, 349950, -73.0643847204314, -73.0643847204314
8000, 399950, -67.27945595248657, -67.27945595248657
9000, 449950, -74.74151819625109, -74.74151819625109
10000, 499950, -77.35868899794339, -77.35868899794339
11000, 549950, -64.29514351528103, -64.29514351528103
12000, 599950, -67.50222552920616, -67.50222552920616
13000, 649950, -68.8166986505507, -68.8166986505507
14000, 699950, -68.78177573899647, -68.78177573899647
15000, 749950, -65.95815084910174, -65.95815084910174
16000, 799950, -63.720709051786194, -63.720709051786194
17000, 849950, -73.27148211617273, -73.27148211617273
18000, 899950, -64.33831131524188, -64.33831131524188
19000, 949950, -74.5755040789269, -74.5755040789269
20000, 999950, -55.29760688720004, -55.29760688720004
21000, 1049950, -52.857052958861786, -52.857052958861786
22000, 1099950, -48.80114080966216, -48.80114080966216
23000, 1149950, -59.93683524593858, -59.93683524593858
24000, 1199950, -41.93873907502378, -41.93873907502378
25000, 1249950, -99.38700247020219, -99.38700247020219
26000, 1299950, -72.81173852099995, -72.81173852099995
27000, 1349950, -41.69055406272297, -41.69055406272297
28000, 1399950, -41.15150691803095, -41.15150691803095
29000, 1449950, -40.385223717174405, -40.385223717174405
30000, 1499950, -49.16216466891973, -49.16216466891973
31000, 1549950, -67.74039541580237, -67.74039541580237
32000, 1599950, -48.48976229815102, -48.48976229815102
33000, 1649950, -40.628729714288674, -40.628729714288674
34000, 1699950, -37.005629350744, -37.005629350744
35000, 1749950, -34.862916674267254, -34.862916674267254
36000, 1799950, -32.29512012946138, -32.29512012946138
37000, 1849950, -30.342846409544983, -30.342846409544983
38000, 1899950, -29.500519612026366, -29.500519612026366
39000, 1949950, -31.918225283911166, -31.918225283911166
40000, 1999950, -41.17240792416047, -41.17240792416047
41000, 2049950, -36.26470029648123, -36.26470029648123
42000, 2099950, -35.756516364615266, -35.756516364615266
43000, 2149950, -39.39218361423717, -39.39218361423717
44000, 2199950, -33.914140177312234, -33.914140177312234
45000, 2249950, -53.54091390272741, -53.54091390272741
46000, 2299950, -30.20400244656466, -30.20400244656466
47000, 2349950, -42.49844341288928, -42.49844341288928
48000, 2399950, -39.09515612264286, -39.09515612264286
49000, 2449950, -32.880493108828055, -32.880493108828055
50000, 2499950, -31.00300169736996, -31.00300169736996
51000, 2549950, -25.432828343922594, -25.432828343922594
52000, 2599950, -22.35475511458973, -22.35475511458973
53000, 2649950, -26.32851851037777, -26.32851851037777
54000, 2699950, -23.67941480667278, -23.67941480667278
55000, 2749950, -43.32271306172052, -43.32271306172052
56000, 2799950, -32.22825303492119, -32.22825303492119
57000, 2849950, -56.12675575244175, -56.12675575244175
58000, 2899950, -18.09254300465524, -18.09254300465524
59000, 2949950, -21.62638762133308, -21.62638762133308
60000, 2999950, -24.870496046096008, -24.870496046096008
61000, 3049950, -20.23471910050227, -20.23471910050227
62000, 3099950, -49.849169058192786, -49.849169058192786
63000, 3149950, -42.091673862291515, -42.091673862291515
64000, 3199950, -48.79425426497688, -48.79425426497688
65000, 3249950, -24.627693076376996, -24.627693076376996
66000, 3299950, -21.17173782602061, -21.17173782602061
67000, 3349950, -49.6428742190122, -49.6428742190122
68000, 3399950, -29.841660846081567, -29.841660846081567
69000, 3449950, -16.438026185976774, -16.438026185976774
70000, 3499950, -18.74909543431919, -18.74909543431919
71000, 3549950, -20.18427212772849, -20.18427212772849
72000, 3599950, -31.725449208496336, -31.725449208496336
73000, 3649950, -23.14368118122582, -23.14368118122582
74000, 3699950, -18.21912780055363, -18.21912780055363
75000, 3749950, -16.56140987619721, -16.56140987619721
76000, 3799950, -26.824521886572374, -26.824521886572374
77000, 3849950, -19.537575864500862, -19.537575864500862
78000, 3899950, -15.576452226520578, -15.576452226520578
79000, 3949950, -16.20881863733867, -16.20881863733867
80000, 3999950, -15.930305170075309, -15.930305170075309
81000, 4049950, -13.588246971904027, -13.588246971904027
82000, 4099950, -14.610168640817214, -14.610168640817214
83000, 4149950, -19.538872916879903, -19.538872916879903
84000, 4199950, -15.597042441126401, -15.597042441126401
85000, 4249950, -13.786394835769501, -13.786394835769501
86000, 4299950, -51.39302535044821, -51.39302535044821
87000, 4349950, -17.381863701091607, -17.381863701091607
88000, 4399950, -32.9451140357693, -32.9451140357693
89000, 4449950, -14.581815761456026, -14.581815761456026
90000, 4499950, -17.659417875568046, -17.659417875568046
91000, 4549950, -21.825844931757835, -21.825844931757835
92000, 4599950, -17.85295689472262, -17.85295689472262
93000, 4649950, -22.630586053112697, -22.630586053112697
94000, 4699950, -31.51231945511385, -31.51231945511385
95000, 4749950, -23.50645724803706, -23.50645724803706
96000, 4799950, -32.22289949023265, -32.22289949023265
97000, 4849950, -21.830478557058463, -21.830478557058463
98000, 4899950, -25.252169700625263, -25.252169700625263
99000, 4949950, -20.62624110169676, -20.62624110169676
100000, 4999950, -24.001232477687896, -24.001232477687896
