a0_to_a1,a1_to_a0,episode,step
A,_,1,0
A,_,1,1
A,_,1,2
A,_,1,3
A,_,1,4
A,_,1,5
A,_,1,6
A,_,1,7
A,_,1,8
A,_,1,9
A,_,1,10
A,_,1,11
A,_,1,12
A,_,1,13
A,_,1,14
A,_,1,15
A,_,1,16
A,_,1,17
A,_,1,18
A,_,1,19
A,_,1,20
A,_,1,21
A,_,1,22
A,_,1,23
A,_,1,24
A,_,1,25
A,_,1,26
A,_,1,27
A,_,1,28
A,_,1,29
A,_,1,30
A,_,1,31
A,_,1,32
A,_,1,33
A,_,1,34
A,_,1,35
B,_,1,36
D,_,1,37
B,_,1,38
B,_,1,39
B,_,1,40
B,_,1,41
B,_,1,42
A,_,1,43
A,_,1,44
A,_,1,45
A,_,1,46
A,_,1,47
A,_,1,48
_,_,2,0
A,_,2,1
A,_,2,2
A,_,2,3
A,_,2,4
A,_,2,5
A,_,2,6
A,_,2,7
A,_,2,8
A,_,2,9
A,_,2,10
A,_,2,11
D,_,2,12
D,_,2,13
A,_,2,14
A,_,2,15
A,_,2,16
A,_,2,17
A,_,2,18
A,_,2,19
A,_,2,20
A,_,2,21
A,_,2,22
A,_,2,23
A,_,2,24
C,_,2,25
D,_,2,26
D,_,2,27
A,_,2,28
A,_,2,29
A,_,2,30
A,_,2,31
A,_,2,32
A,_,2,33
A,_,2,34
A,_,2,35
A,_,2,36
A,_,2,37
A,_,2,38
A,_,2,39
A,_,2,40
A,_,2,41
A,_,2,42
A,_,2,43
A,_,2,44
A,_,2,45
D,_,2,46
C,_,2,47
D,_,2,48
A,_,2,49
_,_,3,0
B,_,3,1
B,_,3,2
B,_,3,3
B,_,3,4
B,_,3,5
B,_,3,6
B,_,3,7
B,_,3,8
D,_,3,9
C,_,3,10
D,_,3,11
C,_,3,12
B,_,3,13
A,_,3,14
A,_,3,15
A,_,3,16
A,_,3,17
A,_,3,18
A,_,3,19
A,_,3,20
B,_,3,21
B,_,3,22
B,_,3,23
B,_,3,24
B,_,3,25
A,_,3,26
A,_,3,27
A,_,3,28
A,_,3,29
B,_,3,30
A,_,3,31
A,_,3,32
A,_,3,33
A,_,3,34
A,_,3,35
A,_,3,36
A,_,3,37
A,_,3,38
A,_,3,39
A,_,3,40
A,_,3,41
A,_,3,42
A,_,3,43
A,_,3,44
A,_,3,45
A,_,3,46
A,_,3,47
A,_,3,48
A,_,3,49
