episode,step,agent0_rew,agent1_rew
1000, 49950, -73.98566743660007, -73.98566743660007
2000, 99950, -145.9005046827131, -145.9005046827131
3000, 149950, -43.92147357628793, -43.92147357628793
4000, 199950, -20.922111470595365, -20.922111470595365
5000, 249950, -16.871668254054143, -16.871668254054143
6000, 299950, -19.318771719541463, -19.318771719541463
7000, 349950, -18.02434771047187, -18.02434771047187
8000, 399950, -17.35177981393242, -17.35177981393242
9000, 449950, -17.545789887469358, -17.545789887469358
10000, 499950, -18.388353940001675, -18.388353940001675
11000, 549950, -15.14955687235601, -15.14955687235601
12000, 599950, -14.521576378275979, -14.521576378275979
13000, 649950, -16.39364584590824, -16.39364584590824
14000, 699950, -17.587742615711473, -17.587742615711473
15000, 749950, -17.58159597503487, -17.58159597503487
16000, 799950, -18.013279436638157, -18.013279436638157
17000, 849950, -19.464007932288606, -19.464007932288606
18000, 899950, -17.763044219288, -17.763044219288
19000, 949950, -16.84414073818716, -16.84414073818716
20000, 999950, -14.89871677467884, -14.89871677467884
21000, 1049950, -13.893858140845362, -13.893858140845362
22000, 1099950, -15.068351426357804, -15.068351426357804
23000, 1149950, -11.671099830473006, -11.671099830473006
24000, 1199950, -10.084398029407032, -10.084398029407032
25000, 1249950, -10.504931895147157, -10.504931895147157
26000, 1299950, -10.473256309188274, -10.473256309188274
27000, 1349950, -10.223179629576434, -10.223179629576434
28000, 1399950, -10.740455046155738, -10.740455046155738
29000, 1449950, -9.82023157481112, -9.82023157481112
30000, 1499950, -10.308848543359423, -10.308848543359423
31000, 1549950, -10.627983863240795, -10.627983863240795
32000, 1599950, -9.987615691732342, -9.987615691732342
33000, 1649950, -10.170176247095576, -10.170176247095576
34000, 1699950, -9.241291307966549, -9.241291307966549
35000, 1749950, -9.743115545581302, -9.743115545581302
36000, 1799950, -9.54995538120874, -9.54995538120874
37000, 1849950, -9.77362511889595, -9.77362511889595
38000, 1899950, -9.514790800330042, -9.514790800330042
39000, 1949950, -10.387300352586179, -10.387300352586179
40000, 1999950, -10.251502528714502, -10.251502528714502
41000, 2049950, -10.196367087735645, -10.196367087735645
42000, 2099950, -9.39024107519583, -9.39024107519583
43000, 2149950, -8.870686020054618, -8.870686020054618
44000, 2199950, -9.705337586464003, -9.705337586464003
45000, 2249950, -9.876822573210989, -9.876822573210989
46000, 2299950, -10.328694299363134, -10.328694299363134
47000, 2349950, -11.896886208308276, -11.896886208308276
48000, 2399950, -11.367857177506826, -11.367857177506826
49000, 2449950, -10.639476065438382, -10.639476065438382
50000, 2499950, -10.691921484480636, -10.691921484480636
