episode,step,total_reward
1000, 49950, -159.805620
2000, 99950, -225.058196
3000, 149950, -80.476064
4000, 199950, -64.387641
5000, 249950, -44.767671
6000, 299950, -33.891671
7000, 349950, -29.275673
8000, 399950, -28.416504
9000, 449950, -31.643884
10000, 499950, -28.381672
11000, 549950, -28.881499
12000, 599950, -27.427652
13000, 649950, -28.753923
14000, 699950, -29.118669
15000, 749950, -27.808951
16000, 799950, -28.093404
17000, 849950, -26.379554
18000, 899950, -25.709199
19000, 949950, -25.319189
20000, 999950, -24.000504
21000, 1049950, -27.691876
22000, 1099950, -24.758309
23000, 1149950, -22.269747
24000, 1199950, -22.057967
25000, 1249950, -21.689006
26000, 1299950, -21.067696
27000, 1349950, -20.086324
28000, 1399950, -23.010639
29000, 1449950, -20.364335
30000, 1499950, -18.975381
31000, 1549950, -20.297281
32000, 1599950, -20.973601
33000, 1649950, -20.745692
34000, 1699950, -20.506535
35000, 1749950, -19.727557
36000, 1799950, -19.414569
37000, 1849950, -19.919156
38000, 1899950, -20.173395
39000, 1949950, -20.200931
40000, 1999950, -20.480411
41000, 2049950, -20.158543
42000, 2099950, -20.792121
43000, 2149950, -20.883216
44000, 2199950, -20.268616
45000, 2249950, -20.250767
46000, 2299950, -19.634952
47000, 2349950, -20.996379
48000, 2399950, -20.564863
49000, 2449950, -20.034720
50000, 2499950, -18.906773
