episode,step,agent0_rew,agent1_rew
1000, 49950, -72.37837795617449, -72.37837795617449
2000, 99950, -75.32584932853403, -75.32584932853403
3000, 149950, -12.311878006239978, -12.311878006239978
4000, 199950, -10.427871614429884, -10.427871614429884
5000, 249950, -10.404389808466806, -10.404389808466806
6000, 299950, -10.444194829688067, -10.444194829688067
7000, 349950, -11.353661197743957, -11.353661197743957
8000, 399950, -10.371441134779161, -10.371441134779161
9000, 449950, -10.855852140259865, -10.855852140259865
10000, 499950, -10.481540433855477, -10.481540433855477
