a0_to_a1,a1_to_a0,episode,step
C,_,1,0
C,_,1,1
B,_,1,2
B,_,1,3
C,_,1,4
C,_,1,5
C,_,1,6
C,_,1,7
C,_,1,8
C,_,1,9
C,_,1,10
C,_,1,11
B,_,1,12
C,_,1,13
B,_,1,14
C,_,1,15
C,_,1,16
B,_,1,17
C,_,1,18
C,_,1,19
B,_,1,20
C,_,1,21
B,_,1,22
E,_,1,23
B,_,1,24
E,_,1,25
B,_,1,26
C,_,1,27
C,_,1,28
C,_,1,29
C,_,1,30
E,_,1,31
E,_,1,32
B,_,1,33
B,_,1,34
B,_,1,35
B,_,1,36
B,_,1,37
C,_,1,38
B,_,1,39
B,_,1,40
C,_,1,41
B,_,1,42
B,_,1,43
B,_,1,44
C,_,1,45
C,_,1,46
B,_,1,47
C,_,1,48
_,_,2,0
E,_,2,1
E,_,2,2
E,_,2,3
E,_,2,4
E,_,2,5
E,_,2,6
E,_,2,7
E,_,2,8
E,_,2,9
B,_,2,10
B,_,2,11
B,_,2,12
B,_,2,13
B,_,2,14
C,_,2,15
C,_,2,16
C,_,2,17
B,_,2,18
B,_,2,19
C,_,2,20
C,_,2,21
C,_,2,22
C,_,2,23
B,_,2,24
B,_,2,25
C,_,2,26
C,_,2,27
B,_,2,28
B,_,2,29
C,_,2,30
B,_,2,31
E,_,2,32
B,_,2,33
E,_,2,34
B,_,2,35
B,_,2,36
C,_,2,37
C,_,2,38
B,_,2,39
B,_,2,40
B,_,2,41
B,_,2,42
C,_,2,43
B,_,2,44
C,_,2,45
C,_,2,46
B,_,2,47
E,_,2,48
C,_,2,49
_,_,3,0
B,_,3,1
B,_,3,2
B,_,3,3
B,_,3,4
B,_,3,5
B,_,3,6
B,_,3,7
C,_,3,8
C,_,3,9
B,_,3,10
C,_,3,11
B,_,3,12
C,_,3,13
C,_,3,14
C,_,3,15
E,_,3,16
B,_,3,17
C,_,3,18
B,_,3,19
E,_,3,20
C,_,3,21
C,_,3,22
C,_,3,23
B,_,3,24
B,_,3,25
B,_,3,26
B,_,3,27
E,_,3,28
B,_,3,29
C,_,3,30
B,_,3,31
C,_,3,32
C,_,3,33
C,_,3,34
C,_,3,35
C,_,3,36
C,_,3,37
B,_,3,38
B,_,3,39
B,_,3,40
C,_,3,41
E,_,3,42
C,_,3,43
E,_,3,44
B,_,3,45
B,_,3,46
C,_,3,47
B,_,3,48
E,_,3,49
