episode,step,total_reward
1000, 49950, -150.656956
2000, 99950, -166.824265
3000, 149950, -30.939021
4000, 199950, -23.709405
5000, 249950, -21.606900
6000, 299950, -23.000470
7000, 349950, -21.506935
8000, 399950, -21.212418
9000, 449950, -20.949590
10000, 499950, -24.195878
11000, 549950, -23.986418
12000, 599950, -25.157025
13000, 649950, -23.537713
14000, 699950, -23.918037
15000, 749950, -22.415818
16000, 799950, -23.991743
17000, 849950, -24.832331
18000, 899950, -24.998307
19000, 949950, -25.872388
20000, 999950, -26.830584
21000, 1049950, -25.828456
22000, 1099950, -24.377778
23000, 1149950, -22.304465
24000, 1199950, -19.749842
25000, 1249950, -19.890090
26000, 1299950, -19.776333
27000, 1349950, -19.813488
28000, 1399950, -18.611564
29000, 1449950, -19.453855
30000, 1499950, -20.087423
