episode,step,agent0_rew,agent1_rew,agent2_rew
1000, 24975, -72.01681638581528, -35.79883408731668, -36.21798229849859
2000, 49975, -97.32452783542128, -52.85636991921634, -44.468157916204945
3000, 74975, -34.93494799882629, -19.803269041638146, -15.131678957188145
4000, 99975, -23.594036634688965, -11.625059548953933, -11.968977085735029
5000, 124975, -21.088448193264004, -10.28373906806884, -10.804709125195165
6000, 149975, -19.82310864143513, -10.153252780034428, -9.669855861400702
7000, 174975, -19.71739100223907, -9.973894280576896, -9.74349672166217
8000, 199975, -19.94218465720814, -10.071931941550702, -9.870252715657443
9000, 224975, -19.627794702153, -9.954157153996286, -9.673637548156712
10000, 249975, -19.873234665923178, -10.144430315671636, -9.728804350251544
11000, 274975, -19.598642092312872, -10.332513939871466, -9.266128152441404
12000, 299975, -19.862400019042983, -10.256597931861558, -9.605802087181427
13000, 324975, -19.416347384856554, -9.968294168785011, -9.448053216071546
14000, 349975, -19.72834653075312, -10.50846478336682, -9.219881747386305
15000, 374975, -19.843801629019275, -10.664518890025215, -9.179282738994058
16000, 399975, -19.524934572994564, -10.081670642673398, -9.443263930321166
17000, 424975, -18.789687487627123, -9.443682629588457, -9.346004858038668
18000, 449975, -18.51559530286867, -9.209263982155866, -9.306331320712804
19000, 474975, -19.281634304791268, -9.742980514146279, -9.538653790644988
20000, 499975, -19.243938139421985, -9.889263089625205, -9.35467504979678
21000, 524975, -19.392904000138092, -9.327823787218131, -10.06508021291996
22000, 549975, -19.15636078528558, -9.567977316265653, -9.588383469019929
23000, 574975, -18.51675097847542, -9.082439365750034, -9.434311612725384
24000, 599975, -18.00406962307351, -9.018105089908627, -8.985964533164882
25000, 624975, -18.232084912014134, -9.154465298742737, -9.0776196132714
26000, 649975, -19.03975746294488, -9.492274865005331, -9.547482597939549
27000, 674975, -19.056458399516362, -9.435006401154048, -9.621451998362316
28000, 699975, -18.713162237414586, -8.987556482022887, -9.725605755391697
29000, 724975, -18.227710304604265, -8.641920873672516, -9.58578943093175
30000, 749975, -18.47028493477261, -9.064093293555754, -9.406191641216855
31000, 774975, -18.305719087639115, -8.497859175707418, -9.807859911931697
32000, 799975, -18.669456551575742, -9.016262861336788, -9.653193690238956
33000, 824975, -18.78244900878177, -8.762991710206103, -10.01945729857567
34000, 849975, -19.29291960087075, -8.941496567733067, -10.351423033137682
35000, 874975, -18.70989348705043, -8.80166689684269, -9.908226590207738
36000, 899975, -18.811529795685562, -9.263803750365422, -9.547726045320141
37000, 924975, -18.581882189648518, -9.039712426691993, -9.542169762956524
38000, 949975, -18.32037082347639, -8.995373995700229, -9.324996827776161
39000, 974975, -17.818275630299947, -8.931824641291081, -8.886450989008866
40000, 999975, -18.72123424218974, -8.80325584431276, -9.91797839787698
41000, 1024975, -19.09128982123536, -9.153933915864037, -9.937355905371325
42000, 1049975, -20.72737523225042, -9.880592715501564, -10.84678251674886
43000, 1074975, -19.952983347684096, -9.925011029599828, -10.027972318084272
44000, 1099975, -20.565133437289603, -10.09839300313846, -10.46674043415114
45000, 1124975, -19.29492562064656, -9.224058008176115, -10.070867612470444
46000, 1149975, -19.707900401356905, -9.406569619905541, -10.301330781451364
47000, 1174975, -17.880109092819016, -8.896016269135776, -8.984092823683245
48000, 1199975, -18.95710040929087, -9.101907175469892, -9.855193233820975
49000, 1224975, -17.697294763351856, -9.201840132754638, -8.495454630597218
50000, 1249975, -18.683426925402404, -9.158222913063248, -9.525204012339156
