a0_to_a1,a0_to_a2,a1_to_a0,a1_to_a2,a2_to_a0,a2_to_a1,episode,step
D,D,_,_,_,_,1,0
D,D,_,_,_,_,1,1
B,B,_,_,_,_,1,2
B,B,_,_,_,_,1,3
E,E,_,_,_,_,1,4
E,E,_,_,_,_,1,5
E,E,_,_,_,_,1,6
E,E,_,_,_,_,1,7
E,E,_,_,_,_,1,8
B,B,_,_,_,_,1,9
D,D,_,_,_,_,1,10
A,A,_,_,_,_,1,11
A,A,_,_,_,_,1,12
D,D,_,_,_,_,1,13
E,E,_,_,_,_,1,14
E,E,_,_,_,_,1,15
D,D,_,_,_,_,1,16
D,D,_,_,_,_,1,17
A,A,_,_,_,_,1,18
A,A,_,_,_,_,1,19
E,E,_,_,_,_,1,20
E,E,_,_,_,_,1,21
E,E,_,_,_,_,1,22
E,E,_,_,_,_,1,23
B,B,_,_,_,_,1,24
A,A,_,_,_,_,1,25
F,F,_,_,_,_,1,26
A,A,_,_,_,_,1,27
D,D,_,_,_,_,1,28
D,D,_,_,_,_,1,29
D,D,_,_,_,_,1,30
D,D,_,_,_,_,1,31
D,D,_,_,_,_,1,32
D,D,_,_,_,_,1,33
E,E,_,_,_,_,1,34
E,E,_,_,_,_,1,35
B,B,_,_,_,_,1,36
B,B,_,_,_,_,1,37
E,E,_,_,_,_,1,38
E,E,_,_,_,_,1,39
D,D,_,_,_,_,1,40
A,A,_,_,_,_,1,41
C,C,_,_,_,_,1,42
F,F,_,_,_,_,1,43
B,B,_,_,_,_,1,44
B,B,_,_,_,_,1,45
D,D,_,_,_,_,1,46
B,B,_,_,_,_,1,47
A,A,_,_,_,_,1,48
_,_,_,_,_,_,2,0
C,C,_,_,_,_,2,1
C,C,_,_,_,_,2,2
E,E,_,_,_,_,2,3
E,E,_,_,_,_,2,4
E,E,_,_,_,_,2,5
E,E,_,_,_,_,2,6
C,C,_,_,_,_,2,7
D,D,_,_,_,_,2,8
F,F,_,_,_,_,2,9
C,C,_,_,_,_,2,10
E,E,_,_,_,_,2,11
B,B,_,_,_,_,2,12
B,B,_,_,_,_,2,13
D,D,_,_,_,_,2,14
D,D,_,_,_,_,2,15
D,D,_,_,_,_,2,16
E,E,_,_,_,_,2,17
E,E,_,_,_,_,2,18
E,E,_,_,_,_,2,19
E,E,_,_,_,_,2,20
E,E,_,_,_,_,2,21
B,B,_,_,_,_,2,22
D,D,_,_,_,_,2,23
D,D,_,_,_,_,2,24
C,C,_,_,_,_,2,25
E,E,_,_,_,_,2,26
D,D,_,_,_,_,2,27
E,E,_,_,_,_,2,28
B,B,_,_,_,_,2,29
D,D,_,_,_,_,2,30
D,D,_,_,_,_,2,31
E,E,_,_,_,_,2,32
E,E,_,_,_,_,2,33
E,E,_,_,_,_,2,34
D,D,_,_,_,_,2,35
D,D,_,_,_,_,2,36
E,E,_,_,_,_,2,37
D,D,_,_,_,_,2,38
E,E,_,_,_,_,2,39
D,D,_,_,_,_,2,40
D,D,_,_,_,_,2,41
D,D,_,_,_,_,2,42
F,F,_,_,_,_,2,43
C,C,_,_,_,_,2,44
E,E,_,_,_,_,2,45
E,E,_,_,_,_,2,46
D,D,_,_,_,_,2,47
D,D,_,_,_,_,2,48
F,F,_,_,_,_,2,49
_,_,_,_,_,_,3,0
A,A,_,_,_,_,3,1
C,C,_,_,_,_,3,2
C,C,_,_,_,_,3,3
C,C,_,_,_,_,3,4
F,F,_,_,_,_,3,5
F,F,_,_,_,_,3,6
D,D,_,_,_,_,3,7
D,D,_,_,_,_,3,8
D,D,_,_,_,_,3,9
C,C,_,_,_,_,3,10
C,C,_,_,_,_,3,11
D,D,_,_,_,_,3,12
D,D,_,_,_,_,3,13
D,D,_,_,_,_,3,14
E,E,_,_,_,_,3,15
F,F,_,_,_,_,3,16
C,C,_,_,_,_,3,17
C,C,_,_,_,_,3,18
D,D,_,_,_,_,3,19
D,D,_,_,_,_,3,20
B,B,_,_,_,_,3,21
D,D,_,_,_,_,3,22
E,E,_,_,_,_,3,23
E,E,_,_,_,_,3,24
E,E,_,_,_,_,3,25
D,D,_,_,_,_,3,26
D,D,_,_,_,_,3,27
A,A,_,_,_,_,3,28
A,A,_,_,_,_,3,29
E,E,_,_,_,_,3,30
A,A,_,_,_,_,3,31
D,D,_,_,_,_,3,32
D,D,_,_,_,_,3,33
D,D,_,_,_,_,3,34
D,D,_,_,_,_,3,35
D,D,_,_,_,_,3,36
A,A,_,_,_,_,3,37
A,A,_,_,_,_,3,38
A,A,_,_,_,_,3,39
D,D,_,_,_,_,3,40
D,D,_,_,_,_,3,41
F,F,_,_,_,_,3,42
F,F,_,_,_,_,3,43
C,C,_,_,_,_,3,44
D,D,_,_,_,_,3,45
D,D,_,_,_,_,3,46
F,F,_,_,_,_,3,47
F,F,_,_,_,_,3,48
F,F,_,_,_,_,3,49
