episode,step,agent0_rew,agent1_rew
1000, 49950, -75.61881901387024, -75.61881901387024
2000, 99950, -103.4917029246598, -103.4917029246598
3000, 149950, -17.8493203133251, -17.8493203133251
4000, 199950, -14.427751570043899, -14.427751570043899
5000, 249950, -18.802980262523633, -18.802980262523633
6000, 299950, -12.47498806706387, -12.47498806706387
7000, 349950, -11.521944310226594, -11.521944310226594
8000, 399950, -12.737375801422601, -12.737375801422601
9000, 449950, -11.844758343755903, -11.844758343755903
10000, 499950, -14.260185425740456, -14.260185425740456
11000, 549950, -12.105498018826333, -12.105498018826333
12000, 599950, -11.85944225834001, -11.85944225834001
13000, 649950, -14.047012843619378, -14.047012843619378
14000, 699950, -12.855793306526353, -12.855793306526353
15000, 749950, -11.902895028815387, -11.902895028815387
16000, 799950, -11.533887780610161, -11.533887780610161
17000, 849950, -11.69308432752275, -11.69308432752275
18000, 899950, -11.80850191397887, -11.80850191397887
19000, 949950, -11.958811384781832, -11.958811384781832
20000, 999950, -12.166536617162153, -12.166536617162153
21000, 1049950, -12.680619365330246, -12.680619365330246
22000, 1099950, -11.79325237256248, -11.79325237256248
23000, 1149950, -10.99379196050655, -10.99379196050655
24000, 1199950, -10.360385851704484, -10.360385851704484
25000, 1249950, -11.631966849468155, -11.631966849468155
26000, 1299950, -10.596855309812772, -10.596855309812772
27000, 1349950, -10.396072528627512, -10.396072528627512
28000, 1399950, -10.231771026975105, -10.231771026975105
29000, 1449950, -12.084100930719709, -12.084100930719709
30000, 1499950, -11.311456654564902, -11.311456654564902
