a0_to_a1,a1_to_a0,episode,step
D,_,1,0
D,_,1,1
D,_,1,2
D,_,1,3
D,_,1,4
D,_,1,5
A,_,1,6
D,_,1,7
D,_,1,8
D,_,1,9
D,_,1,10
D,_,1,11
D,_,1,12
D,_,1,13
D,_,1,14
D,_,1,15
E,_,1,16
E,_,1,17
E,_,1,18
E,_,1,19
D,_,1,20
D,_,1,21
D,_,1,22
D,_,1,23
D,_,1,24
D,_,1,25
D,_,1,26
E,_,1,27
E,_,1,28
E,_,1,29
E,_,1,30
E,_,1,31
D,_,1,32
D,_,1,33
D,_,1,34
D,_,1,35
D,_,1,36
D,_,1,37
D,_,1,38
D,_,1,39
E,_,1,40
E,_,1,41
E,_,1,42
E,_,1,43
E,_,1,44
D,_,1,45
D,_,1,46
D,_,1,47
D,_,1,48
_,_,2,0
E,_,2,1
E,_,2,2
E,_,2,3
E,_,2,4
E,_,2,5
E,_,2,6
E,_,2,7
D,_,2,8
D,_,2,9
D,_,2,10
D,_,2,11
D,_,2,12
D,_,2,13
D,_,2,14
D,_,2,15
A,_,2,16
E,_,2,17
D,_,2,18
D,_,2,19
D,_,2,20
D,_,2,21
D,_,2,22
D,_,2,23
C,_,2,24
C,_,2,25
C,_,2,26
C,_,2,27
E,_,2,28
E,_,2,29
E,_,2,30
E,_,2,31
E,_,2,32
E,_,2,33
D,_,2,34
D,_,2,35
D,_,2,36
D,_,2,37
D,_,2,38
D,_,2,39
E,_,2,40
E,_,2,41
E,_,2,42
E,_,2,43
D,_,2,44
D,_,2,45
D,_,2,46
D,_,2,47
D,_,2,48
D,_,2,49
_,_,3,0
D,_,3,1
D,_,3,2
D,_,3,3
D,_,3,4
A,_,3,5
A,_,3,6
A,_,3,7
A,_,3,8
A,_,3,9
E,_,3,10
D,_,3,11
D,_,3,12
D,_,3,13
D,_,3,14
D,_,3,15
D,_,3,16
D,_,3,17
D,_,3,18
D,_,3,19
E,_,3,20
E,_,3,21
E,_,3,22
E,_,3,23
E,_,3,24
E,_,3,25
C,_,3,26
D,_,3,27
D,_,3,28
D,_,3,29
D,_,3,30
D,_,3,31
D,_,3,32
D,_,3,33
D,_,3,34
D,_,3,35
D,_,3,36
D,_,3,37
D,_,3,38
C,_,3,39
C,_,3,40
E,_,3,41
E,_,3,42
E,_,3,43
E,_,3,44
D,_,3,45
D,_,3,46
D,_,3,47
D,_,3,48
D,_,3,49
