episode,step,total_reward
1000, 9990, -27.876919
2000, 19990, -28.116290
3000, 30238, -30.142503
4000, 41238, -26.859655
5000, 52238, -25.406092
6000, 63976, -24.413029
7000, 75976, -21.759366
8000, 88404, -21.047549
9000, 101404, -21.284888
10000, 114694, -20.969922
11000, 128694, -21.083782
12000, 142993, -21.921447
13000, 157993, -22.182804
14000, 173430, -21.309660
15000, 189430, -23.416853
16000, 206118, -24.337581
17000, 223157, -23.728974
18000, 241157, -23.138092
19000, 259636, -22.953397
20000, 278636, -22.871299
21000, 298635, -22.902455
22000, 319226, -28.893455
23000, 340474, -29.376565
24000, 362474, -27.497187
25000, 385440, -25.133550
26000, 409178, -26.807680
27000, 433738, -30.370948
28000, 459166, -27.700041
29000, 485505, -34.697603
30000, 512795, -27.880867
31000, 541072, -29.130654
32000, 570371, -29.583325
33000, 600724, -29.928352
34000, 632161, -31.500288
35000, 664710, -29.004316
36000, 698398, -88.842762
37000, 733288, -39.454035
38000, 769536, -34.539033
39000, 807015, -36.236581
40000, 845744, -35.405092
41000, 886029, -37.508999
42000, 927620, -40.106193
43000, 970780, -39.093547
44000, 1015380, -45.981913
45000, 1061691, -45.275084
46000, 1109572, -49.697733
47000, 1159132, -55.728477
48000, 1209132, -96.064929
49000, 1259132, -149.804275
50000, 1309132, -109.455855
51000, 1359132, -65.547615
52000, 1409132, -62.451302
53000, 1459132, -78.165204
54000, 1509132, -136.345355
55000, 1559132, -105.311585
56000, 1609132, -114.799144
57000, 1659132, -51.369857
58000, 1709132, -105.146128
59000, 1759132, -81.815824
60000, 1809132, -64.674062
61000, 1859132, -58.036661
62000, 1909132, -48.254610
63000, 1959132, -45.899490
64000, 2009132, -100.584734
65000, 2059132, -65.047566
66000, 2109132, -35.509731
67000, 2159132, -52.243056
68000, 2209132, -42.153813
69000, 2259132, -42.679350
70000, 2309132, -40.884770
71000, 2359132, -54.965708
72000, 2409132, -50.975221
73000, 2459132, -50.073679
74000, 2509132, -63.238850
75000, 2559132, -59.469761
76000, 2609132, -43.816677
77000, 2659132, -49.105318
78000, 2709132, -69.576340
79000, 2759132, -57.600597
80000, 2809132, -46.346751
81000, 2859132, -38.696419
82000, 2909132, -48.616216
83000, 2959132, -36.678177
84000, 3009132, -45.539237
85000, 3059132, -55.327054
86000, 3109132, -144.765773
87000, 3159132, -56.730994
88000, 3209132, -283.622839
89000, 3259132, -67.263863
90000, 3309132, -56.019695
91000, 3359132, -44.240397
92000, 3409132, -157.518084
93000, 3459132, -74.016176
94000, 3509132, -72.019268
95000, 3559132, -124.472638
96000, 3609132, -83.450531
97000, 3659132, -82.350736
98000, 3709132, -103.020260
99000, 3759132, -93.043923
100000, 3809132, -110.634447
