episode,step,total_reward
100, 4950, -81.762641
200, 9950, -95.675852
300, 14950, -82.626098
400, 19950, -77.000640
500, 24950, -88.002565
600, 29950, -86.140830
700, 34950, -92.925635
800, 39950, -83.443121
900, 44950, -91.809071
1000, 49950, -86.574361
1100, 54950, -371.737625
1200, 59950, -74.128451
1300, 64950, -219.688661
1400, 69950, -423.661564
1500, 74950, -169.447534
1600, 79950, -104.461250
1700, 84950, -84.325676
1800, 89950, -90.215244
1900, 94950, -74.469008
2000, 99950, -80.652375
2100, 104950, -70.543624
2200, 109950, -76.577451
2300, 114950, -82.516631
2400, 119950, -75.279150
2500, 124950, -72.884641
2600, 129950, -78.523888
2700, 134950, -76.549558
2800, 139950, -57.828894
2900, 144950, -67.394104
3000, 149950, -49.634302
3100, 154950, -67.581630
3200, 159950, -50.968235
3300, 164950, -54.845601
3400, 169950, -61.693430
3500, 174950, -60.255214
3600, 179950, -62.973576
3700, 184950, -59.869400
3800, 189950, -58.311425
3900, 194950, -61.217797
4000, 199950, -48.612581
4100, 204950, -56.466083
4200, 209950, -49.084332
4300, 214950, -53.207116
4400, 219950, -49.688913
4500, 224950, -52.784616
4600, 229950, -50.084417
4700, 234950, -57.388630
4800, 239950, -53.941747
4900, 244950, -46.490223
5000, 249950, -46.425487
5100, 254950, -43.304421
5200, 259950, -65.077252
5300, 264950, -58.738621
5400, 269950, -57.160901
5500, 274950, -51.474212
5600, 279950, -58.093756
5700, 284950, -54.374674
5800, 289950, -54.742033
5900, 294950, -61.577448
6000, 299950, -50.379121
6100, 304950, -53.597689
6200, 309950, -54.486252
6300, 314950, -41.586053
6400, 319950, -55.020734
6500, 324950, -50.041942
6600, 329950, -56.154960
6700, 334950, -45.806325
6800, 339950, -43.464312
6900, 344950, -47.705689
7000, 349950, -56.176329
7100, 354950, -47.127192
7200, 359950, -44.373626
7300, 364950, -49.033014
7400, 369950, -44.828879
7500, 374950, -48.778526
7600, 379950, -53.867476
7700, 384950, -41.893583
7800, 389950, -43.687609
7900, 394950, -44.460627
8000, 399950, -41.405031
8100, 404950, -54.370839
8200, 409950, -46.069611
8300, 414950, -47.628797
8400, 419950, -37.945365
8500, 424950, -39.809979
8600, 429950, -46.410985
8700, 434950, -43.353310
8800, 439950, -49.376524
8900, 444950, -40.883770
9000, 449950, -45.317011
9100, 454950, -36.454690
9200, 459950, -39.677215
9300, 464950, -46.390281
9400, 469950, -36.001961
9500, 474950, -36.763235
9600, 479950, -38.295055
9700, 484950, -39.497035
9800, 489950, -39.190139
9900, 494950, -38.714698
10000, 499950, -44.229128
