episode,step,agent0_rew
100, 4950, -101.46102646776205
200, 9950, -105.23168485357526
300, 14950, -96.30372639645702
400, 19950, -94.32308684634077
500, 24950, -91.77158101587948
600, 29950, -92.60832508985062
700, 34950, -90.67906020753843
800, 39950, -91.48086866612333
900, 44950, -93.27124987849498
1000, 49950, -99.56133743783612
1100, 54950, -498.6947097175756
1200, 59950, -92.07879320643423
1300, 64950, -89.32607391151001
1400, 69950, -167.53805550431554
1500, 74950, -326.7787536466297
1600, 79950, -85.00006932847725
1700, 84950, -91.97604457159156
1800, 89950, -89.61798891087656
1900, 94950, -106.64264313764835
2000, 99950, -90.14626161515
2100, 104950, -87.74507632254621
2200, 109950, -77.61395122108952
2300, 114950, -77.9916817117699
2400, 119950, -82.75110397593355
2500, 124950, -66.90124771191749
2600, 129950, -72.7974262664944
2700, 134950, -83.10826124774246
2800, 139950, -97.92598211838119
2900, 144950, -69.67791831334975
3000, 149950, -80.78554248586337
3100, 154950, -88.7152817309433
3200, 159950, -82.85219077789301
3300, 164950, -79.28331613190976
3400, 169950, -65.07905635338781
3500, 174950, -82.0409648398773
3600, 179950, -73.03596211528685
3700, 184950, -80.26952168893193
3800, 189950, -78.48209664313404
3900, 194950, -68.44895513780149
4000, 199950, -75.92998413419639
4100, 204950, -63.619105420823715
4200, 209950, -69.5971538549574
4300, 214950, -72.22340967911151
4400, 219950, -81.6394552595557
4500, 224950, -78.25507164800919
4600, 229950, -72.16478173467198
4700, 234950, -75.2269948288297
4800, 239950, -73.76010563390788
4900, 244950, -90.40868338226153
5000, 249950, -70.30672228827433
5100, 254950, -93.48121405741026
5200, 259950, -67.0493196915939
5300, 264950, -71.09395451028871
5400, 269950, -64.10672344248863
5500, 274950, -80.9509326199697
5600, 279950, -79.12677370585001
5700, 284950, -73.65713254583669
5800, 289950, -76.66070538925115
5900, 294950, -73.60044666414154
6000, 299950, -72.22996204513973
6100, 304950, -66.43601584040407
6200, 309950, -59.595051377178095
6300, 314950, -65.85934888689974
6400, 319950, -77.99031038805028
6500, 324950, -76.0991580067184
6600, 329950, -77.83317296693224
6700, 334950, -73.51156683990841
6800, 339950, -69.66318788247136
6900, 344950, -74.83878375348644
7000, 349950, -92.44675462544825
7100, 354950, -83.13321372533845
7200, 359950, -72.32566748141225
7300, 364950, -74.17514936696287
7400, 369950, -80.07406821369636
7500, 374950, -73.77638234429895
7600, 379950, -71.76270839288537
7700, 384950, -73.49447589367259
7800, 389950, -99.49119310913532
7900, 394950, -88.10465130022088
8000, 399950, -113.98277244933553
8100, 404950, -76.31519353591095
8200, 409950, -72.66322968800615
8300, 414950, -69.64584617143208
8400, 419950, -78.70104445170965
8500, 424950, -76.43257653106319
8600, 429950, -67.96096049949904
8700, 434950, -74.27905146914713
8800, 439950, -60.875160845769614
8900, 444950, -69.80392874798873
9000, 449950, -59.83592237939799
9100, 454950, -64.99932192787402
9200, 459950, -85.8681962556182
9300, 464950, -63.43706019206735
9400, 469950, -63.43348495755269
9500, 474950, -57.721149396408094
9600, 479950, -72.65605586078597
9700, 484950, -58.806134133849646
9800, 489950, -58.16860626747667
9900, 494950, -58.410573236834765
10000, 499950, -65.78656765360152
