episode,step,agent0_money
100, 4950, -24.22222222222222
200, 9950, -24.17
300, 14950, -24.38
400, 19950, -24.4
500, 24950, -24.41
600, 29950, -24.53
700, 34950, -24.81
800, 39950, -24.65
900, 44950, -24.16
1000, 49950, -24.63
1100, 54950, -25.14
1200, 59950, -12.64
1300, 64950, -10.49
1400, 69950, -12.17
1500, 74950, -4.3
1600, 79950, -2.74
1700, 84950, -0.01
1800, 89950, -0.07
1900, 94950, -0.02
2000, 99950, -0.03
2100, 104950, -0.02
2200, 109950, -0.02
2300, 114950, 0.0
2400, 119950, -0.01
2500, 124950, -0.02
2600, 129950, 0.0
2700, 134950, 0.0
2800, 139950, -0.01
2900, 144950, -0.02
3000, 149950, -0.02
3100, 154950, -0.02
3200, 159950, -0.03
3300, 164950, -0.01
3400, 169950, -0.01
3500, 174950, 0.0
3600, 179950, -0.02
3700, 184950, -0.01
3800, 189950, 0.0
3900, 194950, -0.01
4000, 199950, -0.02
4100, 204950, 0.0
4200, 209950, -0.01
4300, 214950, 0.0
4400, 219950, -0.01
4500, 224950, -0.01
4600, 229950, -0.01
4700, 234950, 0.0
4800, 239950, -0.02
4900, 244950, -0.02
5000, 249950, 0.0
5100, 254950, 0.0
5200, 259950, -0.01
5300, 264950, 0.0
5400, 269950, 0.0
5500, 274950, 0.0
5600, 279950, 0.0
5700, 284950, -0.01
5800, 289950, -0.02
5900, 294950, -0.01
6000, 299950, -0.02
6100, 304950, 0.0
6200, 309950, -0.03
6300, 314950, -0.01
6400, 319950, -0.02
6500, 324950, -0.01
6600, 329950, 0.0
6700, 334950, 0.0
6800, 339950, -0.02
6900, 344950, 0.0
7000, 349950, -0.01
7100, 354950, 0.0
7200, 359950, 0.0
7300, 364950, -0.01
7400, 369950, -0.01
7500, 374950, -0.02
7600, 379950, -0.02
7700, 384950, -0.02
7800, 389950, 0.0
7900, 394950, 0.0
8000, 399950, 0.0
8100, 404950, -0.01
8200, 409950, 0.0
8300, 414950, -0.02
8400, 419950, -0.01
8500, 424950, 0.0
8600, 429950, 0.0
8700, 434950, -0.04
8800, 439950, 0.0
8900, 444950, -0.01
9000, 449950, 0.0
9100, 454950, 0.0
9200, 459950, 0.0
9300, 464950, 0.0
9400, 469950, -0.01
9500, 474950, 0.0
9600, 479950, -0.01
9700, 484950, 0.0
9800, 489950, -0.04
9900, 494950, -0.01
10000, 499950, -0.04
