episode,step,agent0_energy_min,agent0_energy_max,agent0_energy_avg
200, 9950, -25.040201005025125, -0.46733668341708545, -12.834170854271362
400, 19950, -24.875, -0.51, -12.764499999999998
600, 29950, -24.405, -0.425, -12.563000000000002
800, 39950, -24.495, -0.465, -12.447299999999998
1000, 49950, -24.685, -0.5, -12.563200000000004
1200, 59950, -21.455, -0.435, -11.020100000000003
1400, 69950, -27.335, -0.51, -13.911400000000004
1600, 79950, -28.265, -0.645, -14.70150000000001
1800, 89950, -32.42, -0.735, -17.013000000000005
2000, 99950, -42.935, -0.99, -22.134
2200, 109950, -46.805, -1.0, -23.938899999999993
2400, 119950, -48.52, -1.0, -24.731399999999997
2600, 129950, -47.645, -1.0, -24.261000000000003
2800, 139950, -48.205, -1.0, -24.43539999999999
3000, 149950, -47.995, -1.0, -24.3843
3200, 159950, -47.455, -1.0, -23.972799999999996
3400, 169950, -47.335, -1.0, -24.023899999999998
3600, 179950, -47.085, -1.0, -23.736199999999993
3800, 189950, -45.785, -1.0, -22.933999999999997
4000, 199950, -46.945, -1.0, -23.499099999999995
4200, 209950, -47.945, -1.0, -24.0884
4400, 219950, -49.01, -1.0, -24.8103
4600, 229950, -49.27, -1.0, -25.019999999999996
4800, 239950, -48.585, -1.0, -24.554400000000008
5000, 249950, -48.72, -1.0, -24.596400000000003
5200, 259950, -48.18, -1.0, -24.341199999999994
5400, 269950, -48.305, -1.0, -24.384899999999995
5600, 279950, -48.445, -1.0, -24.4083
5800, 289950, -48.585, -1.0, -24.5364
6000, 299950, -48.71, -1.0, -24.600799999999996
6200, 309950, -48.5, -1.0, -24.42270000000001
6400, 319950, -48.075, -0.995, -24.12339999999999
6600, 329950, -48.5, -1.0, -24.452400000000008
6800, 339950, -47.765, -1.0, -23.9675
7000, 349950, -48.255, -1.0, -24.318599999999996
7200, 359950, -48.935, -1.0, -24.760999999999996
7400, 369950, -48.615, -1.0, -24.6314
7600, 379950, -47.53, -1.0, -24.055399999999995
7800, 389950, -47.4, -1.0, -23.6903
8000, 399950, -49.055, -1.0, -24.865699999999983
8200, 409950, -48.7, -1.0, -24.595300000000012
8400, 419950, -48.38, -1.0, -24.400400000000005
8600, 429950, -48.98, -1.0, -24.861800000000002
8800, 439950, -48.935, -1.0, -24.830099999999995
9000, 449950, -48.96, -1.0, -24.856200000000012
9200, 459950, -49.07, -1.0, -24.876000000000005
9400, 469950, -49.04, -1.0, -24.864900000000002
9600, 479950, -49.19, -1.0, -24.984599999999997
9800, 489950, -49.295, -1.0, -24.9851
10000, 499950, -47.445, -1.0, -23.8069
