episode,step,agent0_rew
200, 9950, -91.47320843398069
400, 19950, -91.77107197069334
600, 29950, -91.83836245764594
800, 39950, -92.24612106667409
1000, 49950, -84.64779219153075
1200, 59950, -92.06582867459636
1400, 69950, -195.13362304146943
1600, 79950, -190.5875789763898
1800, 89950, -82.95648181200951
2000, 99950, -72.56753228471483
2200, 109950, -66.69141470293437
2400, 119950, -69.45965586295608
2600, 129950, -68.2430008064388
2800, 139950, -75.22069807795536
3000, 149950, -72.84193056534012
3200, 159950, -69.33658638797858
3400, 169950, -65.46258277234946
3600, 179950, -67.4965943976834
3800, 189950, -62.6658633909025
4000, 199950, -59.79148460441605
4200, 209950, -61.563465429984355
4400, 219950, -48.64327462369145
4600, 229950, -46.994930214330225
4800, 239950, -48.811726203610945
5000, 249950, -48.374722050046195
5200, 259950, -51.39819847930529
5400, 269950, -52.19775962214804
5600, 279950, -50.74205433700112
5800, 289950, -45.398785174224365
6000, 299950, -36.591575120960826
6200, 309950, -38.696882208510175
6400, 319950, -45.52677133845114
6600, 329950, -54.29523596776318
6800, 339950, -46.7923307630364
7000, 349950, -40.139552610026016
7200, 359950, -35.35380375484162
7400, 369950, -43.95483284194315
7600, 379950, -37.526967121894906
7800, 389950, -34.385773589202856
8000, 399950, -35.629093082902145
8200, 409950, -38.43194387376789
8400, 419950, -29.024251019493985
8600, 429950, -38.87177114189463
8800, 439950, -37.1306577172653
9000, 449950, -50.72082841126348
9200, 459950, -35.76177906747589
9400, 469950, -30.93816208739162
9600, 479950, -29.570475471908445
9800, 489950, -32.931563755766405
10000, 499950, -35.502001710307745
