energy0,episode,step
-1.0,1,0
-2.0,1,1
-3.0,1,2
-4.0,1,3
-5.0,1,4
-6.0,1,5
-7.0,1,6
-8.0,1,7
-9.0,1,8
-10.0,1,9
-10.0,1,10
-10.0,1,11
-10.0,1,12
-10.0,1,13
-10.0,1,14
-10.0,1,15
-10.0,1,16
-10.0,1,17
-10.0,1,18
-10.0,1,19
-10.0,1,20
-10.0,1,21
-10.0,1,22
-10.0,1,23
-10.0,1,24
-10.0,1,25
-10.0,1,26
-10.0,1,27
-10.0,1,28
-10.0,1,29
-10.0,1,30
-10.0,1,31
-10.0,1,32
-10.0,1,33
-10.0,1,34
-10.0,1,35
-10.0,1,36
-10.0,1,37
-10.0,1,38
-10.0,1,39
-10.0,1,40
-10.0,1,41
-10.0,1,42
-10.0,1,43
-10.0,1,44
-10.0,1,45
-10.0,1,46
-10.0,1,47
-10.0,1,48
-10.0,1,49
-1.0,2,0
-1.0,2,1
-1.0,2,2
-1.0,2,3
-1.0,2,4
-1.0,2,5
-1.0,2,6
-1.0,2,7
-1.0,2,8
-1.0,2,9
-1.0,2,10
-1.0,2,11
-1.0,2,12
-1.0,2,13
-1.0,2,14
-1.0,2,15
-1.0,2,16
-1.0,2,17
-1.0,2,18
-1.0,2,19
-1.0,2,20
-1.0,2,21
-1.0,2,22
-1.0,2,23
-1.0,2,24
-1.0,2,25
-1.0,2,26
-1.0,2,27
-1.0,2,28
-1.0,2,29
-1.0,2,30
-1.0,2,31
-1.0,2,32
-1.0,2,33
-1.0,2,34
-1.0,2,35
-1.0,2,36
-1.0,2,37
-1.0,2,38
-1.0,2,39
-1.0,2,40
-1.0,2,41
-1.0,2,42
-1.0,2,43
-1.0,2,44
-1.0,2,45
-1.0,2,46
-1.0,2,47
-1.0,2,48
-1.0,2,49
-1.0,3,0
-1.0,3,1
-2.0,3,2
-2.0,3,3
-2.0,3,4
-2.0,3,5
-3.0,3,6
-4.0,3,7
-4.0,3,8
-5.0,3,9
-5.0,3,10
-6.0,3,11
-7.0,3,12
-7.0,3,13
-7.0,3,14
-7.0,3,15
-7.0,3,16
-7.0,3,17
-7.0,3,18
-7.0,3,19
-7.0,3,20
-7.0,3,21
-7.0,3,22
-7.0,3,23
-7.0,3,24
-7.0,3,25
-7.0,3,26
-7.0,3,27
-7.0,3,28
-7.0,3,29
-7.0,3,30
-7.0,3,31
-7.0,3,32
-7.0,3,33
-7.0,3,34
-7.0,3,35
-7.0,3,36
-7.0,3,37
-7.0,3,38
-7.0,3,39
-7.0,3,40
-7.0,3,41
-7.0,3,42
-7.0,3,43
-7.0,3,44
-7.0,3,45
-7.0,3,46
-7.0,3,47
-7.0,3,48
-7.0,3,49
-1.0,4,0
-1.0,4,1
-1.0,4,2
-2.0,4,3
-3.0,4,4
-4.0,4,5
-5.0,4,6
-6.0,4,7
-7.0,4,8
-7.0,4,9
-8.0,4,10
-9.0,4,11
-10.0,4,12
-11.0,4,13
-11.0,4,14
-11.0,4,15
-12.0,4,16
-12.0,4,17
-12.0,4,18
-12.0,4,19
-13.0,4,20
-14.0,4,21
-15.0,4,22
-16.0,4,23
-17.0,4,24
-17.0,4,25
-18.0,4,26
-18.0,4,27
-18.0,4,28
-18.0,4,29
-18.0,4,30
-18.0,4,31
-18.0,4,32
-18.0,4,33
-18.0,4,34
-18.0,4,35
-18.0,4,36
-18.0,4,37
-18.0,4,38
-18.0,4,39
-18.0,4,40
-18.0,4,41
-18.0,4,42
-18.0,4,43
-18.0,4,44
-18.0,4,45
-18.0,4,46
-18.0,4,47
-18.0,4,48
-18.0,4,49
-1.0,5,0
-2.0,5,1
-3.0,5,2
-4.0,5,3
-5.0,5,4
-6.0,5,5
-7.0,5,6
-8.0,5,7
-8.0,5,8
-9.0,5,9
-10.0,5,10
-11.0,5,11
-12.0,5,12
-13.0,5,13
-14.0,5,14
-15.0,5,15
-16.0,5,16
-16.0,5,17
-16.0,5,18
-16.0,5,19
-16.0,5,20
-16.0,5,21
-16.0,5,22
-16.0,5,23
-16.0,5,24
-16.0,5,25
-16.0,5,26
-16.0,5,27
-16.0,5,28
-16.0,5,29
-16.0,5,30
-16.0,5,31
-16.0,5,32
-16.0,5,33
-16.0,5,34
-16.0,5,35
-16.0,5,36
-16.0,5,37
-16.0,5,38
-16.0,5,39
-16.0,5,40
-16.0,5,41
-16.0,5,42
-16.0,5,43
-16.0,5,44
-16.0,5,45
-16.0,5,46
-16.0,5,47
-16.0,5,48
-16.0,5,49
