episode,step,total_reward
200, 9950, -140.125478
400, 19950, -134.867829
600, 29950, -138.446839
800, 39950, -137.929697
1000, 49950, -131.458843
1200, 59950, -136.010028
1400, 69950, -80.817912
1600, 79950, -62.262649
1800, 89950, -68.809102
2000, 99950, -67.717548
2200, 109950, -65.293987
2400, 119950, -66.972306
2600, 129950, -69.597734
2800, 139950, -64.229896
3000, 149950, -70.226141
3200, 159950, -69.069125
3400, 169950, -67.821327
3600, 179950, -64.031262
3800, 189950, -64.899652
4000, 199950, -62.634762
4200, 209950, -68.424379
4400, 219950, -62.495032
4600, 229950, -73.692196
4800, 239950, -66.911640
5000, 249950, -61.498469
5200, 259950, -66.563582
5400, 269950, -64.155693
5600, 279950, -69.855241
5800, 289950, -70.455582
6000, 299950, -67.314322
6200, 309950, -78.417406
6400, 319950, -74.293895
6600, 329950, -72.430586
6800, 339950, -58.773712
7000, 349950, -67.866023
7200, 359950, -65.365834
7400, 369950, -79.238060
7600, 379950, -66.138105
7800, 389950, -60.732895
8000, 399950, -69.171205
8200, 409950, -65.275300
8400, 419950, -64.002731
8600, 429950, -71.387176
8800, 439950, -64.969413
9000, 449950, -65.688148
9200, 459950, -63.549441
9400, 469950, -59.598193
9600, 479950, -63.702835
9800, 489950, -65.095708
10000, 499950, -62.551558
