episode,step,total_reward
200, 9950, -164.087336
400, 19950, -158.091230
600, 29950, -166.668294
800, 39950, -182.320457
1000, 49950, -175.391159
1200, 59950, -371.499397
1400, 69950, -177.414469
1600, 79950, -167.603575
1800, 89950, -101.398579
2000, 99950, -92.878868
2200, 109950, -95.720888
2400, 119950, -72.322525
2600, 129950, -75.635013
2800, 139950, -68.617983
3000, 149950, -70.330660
3200, 159950, -61.367361
3400, 169950, -65.664977
3600, 179950, -60.085532
3800, 189950, -60.138236
4000, 199950, -59.862478
4200, 209950, -59.470991
4400, 219950, -54.185926
4600, 229950, -63.620264
4800, 239950, -53.614374
5000, 249950, -62.588847
5200, 259950, -49.655450
5400, 269950, -55.264233
5600, 279950, -55.603970
5800, 289950, -54.429969
6000, 299950, -48.149895
6200, 309950, -51.572495
6400, 319950, -56.936816
6600, 329950, -53.461577
6800, 339950, -54.420483
7000, 349950, -55.470504
7200, 359950, -52.466977
7400, 369950, -53.229600
7600, 379950, -45.683912
7800, 389950, -50.089072
8000, 399950, -52.780716
8200, 409950, -47.393928
8400, 419950, -47.571603
8600, 429950, -55.107781
8800, 439950, -45.532972
9000, 449950, -44.868239
9200, 459950, -51.636488
9400, 469950, -57.709197
9600, 479950, -50.526914
9800, 489950, -46.646557
10000, 499950, -45.635288
10200, 509950, -40.740002
10400, 519950, -49.563191
10600, 529950, -46.785078
10800, 539950, -43.844596
11000, 549950, -43.154959
11200, 559950, -40.842846
11400, 569950, -42.437852
11600, 579950, -43.926116
11800, 589950, -42.399762
12000, 599950, -39.372800
12200, 609950, -46.720230
12400, 619950, -41.153818
12600, 629950, -39.596186
12800, 639950, -36.532654
13000, 649950, -37.999126
13200, 659950, -38.503516
13400, 669950, -35.893042
13600, 679950, -37.486456
13800, 689950, -36.293709
14000, 699950, -31.346529
14200, 709950, -37.923398
14400, 719950, -34.400361
14600, 729950, -35.237963
14800, 739950, -40.570763
15000, 749950, -32.103411
15200, 759950, -39.978844
15400, 769950, -42.561868
15600, 779950, -39.326682
15800, 789950, -34.840891
16000, 799950, -34.590474
16200, 809950, -38.258717
16400, 819950, -37.229540
16600, 829950, -34.448346
16800, 839950, -36.021375
17000, 849950, -39.746049
17200, 859950, -38.832375
17400, 869950, -31.655104
17600, 879950, -33.280293
17800, 889950, -35.247079
18000, 899950, -38.591974
18200, 909950, -32.901293
18400, 919950, -33.173199
18600, 929950, -30.017626
18800, 939950, -41.157633
19000, 949950, -32.186976
19200, 959950, -31.176721
19400, 969950, -35.632643
19600, 979950, -34.948394
19800, 989950, -29.326117
20000, 999950, -45.999576
