episode,step,agent0_energy_min,agent0_energy_max,agent0_energy_avg,agent1_energy_min,agent1_energy_max,agent1_energy_avg
200, 9950, -24.618090452261306, -0.45226130653266333, -12.656381909547738, -23.63819095477387, -0.5125628140703518, -12.120000000000001
400, 19950, -24.625, -0.465, -12.563499999999992, -24.36, -0.43, -12.536200000000003
600, 29950, -25.09, -0.445, -12.777400000000002, -24.16, -0.425, -12.275500000000006
800, 39950, -24.41, -0.47, -12.4932, -24.235, -0.47, -12.463500000000003
1000, 49950, -24.36, -0.53, -12.491700000000003, -24.285, -0.435, -12.391200000000003
1200, 59950, -14.545, -0.32, -7.842900000000003, -29.915, -0.605, -15.043900000000008
1400, 69950, -1.785, -0.06, -0.8879, -23.76, -0.55, -13.132900000000005
1600, 79950, -11.13, -0.285, -5.8445999999999945, -29.65, -0.455, -15.438700000000008
1800, 89950, -2.545, -0.08, -1.5697000000000005, -21.605, -0.295, -10.860600000000002
2000, 99950, -5.24, -0.12, -2.7341, -13.845, -0.185, -7.052600000000001
2200, 109950, -6.755, -0.215, -3.740299999999999, -3.025, -0.09, -1.5275000000000007
2400, 119950, -32.48, -0.59, -16.15949999999999, -1.365, -0.04, -0.6617000000000001
2600, 129950, -38.865, -0.685, -19.493300000000005, -3.21, -0.055, -1.5923999999999998
2800, 139950, -36.74, -0.685, -18.51629999999999, -2.42, -0.04, -1.3703999999999998
3000, 149950, -35.725, -0.655, -18.2277, -8.89, -0.17, -4.257799999999999
3200, 159950, -39.715, -0.765, -19.82670000000001, -10.315, -0.15, -4.8729000000000005
3400, 169950, -45.19, -0.79, -22.365799999999986, -13.335, -0.215, -6.622199999999999
3600, 179950, -48.14, -0.88, -24.22500000000002, -9.135, -0.075, -4.2915
3800, 189950, -45.825, -0.81, -22.903700000000004, -10.525, -0.07, -4.6705
4000, 199950, -47.58, -0.87, -23.872300000000006, -13.585, -0.09, -5.7841
4200, 209950, -47.885, -0.935, -24.208800000000007, -20.955, -0.27, -9.304400000000005
4400, 219950, -44.99, -0.74, -22.374200000000005, -21.325, -0.24, -10.0661
4600, 229950, -45.255, -0.8, -22.53579999999999, -39.725, -0.5, -19.1789
4800, 239950, -48.605, -0.945, -24.604200000000006, -35.24, -0.445, -16.495900000000017
5000, 249950, -47.58, -0.89, -23.932100000000005, -38.835, -0.41, -18.95659999999999
5200, 259950, -48.605, -0.935, -24.635799999999996, -35.45, -0.48, -17.468299999999996
5400, 269950, -48.285, -0.94, -24.462900000000005, -47.415, -0.67, -23.710499999999996
5600, 279950, -49.075, -0.91, -24.78410000000001, -46.85, -0.585, -22.992199999999993
5800, 289950, -48.755, -0.915, -24.594199999999997, -47.385, -0.685, -23.537799999999994
6000, 299950, -49.445, -0.94, -25.068399999999993, -47.01, -0.725, -23.5746
6200, 309950, -49.205, -0.99, -24.968300000000003, -48.015, -0.82, -24.0533
6400, 319950, -49.545, -0.975, -25.1893, -47.81, -0.69, -23.804100000000002
6600, 329950, -49.495, -0.99, -25.157799999999998, -46.665, -0.63, -22.922099999999986
6800, 339950, -49.405, -0.955, -25.073199999999996, -47.085, -0.755, -23.355999999999998
7000, 349950, -49.63, -0.955, -25.211199999999998, -47.87, -0.73, -23.7712
7200, 359950, -49.57, -0.935, -25.1812, -48.0, -0.835, -23.946300000000004
7400, 369950, -49.73, -0.97, -25.298899999999993, -46.61, -0.665, -22.9665
7600, 379950, -49.52, -0.95, -25.1556, -47.37, -0.82, -23.556199999999993
7800, 389950, -49.43, -0.985, -25.14999999999999, -46.525, -0.74, -23.14810000000001
8000, 399950, -49.16, -0.935, -25.048400000000004, -47.325, -0.82, -23.593399999999995
8200, 409950, -49.56, -0.945, -25.210299999999997, -47.495, -0.805, -23.535200000000003
8400, 419950, -49.775, -0.99, -25.3437, -48.3, -0.805, -24.103399999999993
8600, 429950, -49.635, -0.985, -25.2579, -46.275, -0.645, -22.537899999999986
8800, 439950, -48.8, -0.985, -24.909799999999997, -47.55, -0.775, -23.56229999999999
9000, 449950, -47.175, -0.935, -24.167599999999997, -48.8, -0.86, -24.5313
9200, 459950, -39.225, -0.96, -21.071199999999997, -48.395, -0.915, -24.294200000000004
9400, 469950, -39.74, -0.94, -21.252500000000005, -48.98, -0.88, -24.694900000000004
9600, 479950, -41.825, -0.975, -22.203500000000012, -48.94, -0.91, -24.7097
9800, 489950, -41.76, -1.0, -22.045, -49.11, -0.885, -24.908100000000005
10000, 499950, -39.9, -0.995, -21.608, -48.065, -0.805, -24.069699999999997
10200, 509950, -39.965, -0.99, -21.6848, -48.88, -0.84, -24.696800000000003
10400, 519950, -38.1, -0.985, -20.690799999999985, -48.655, -0.915, -24.592999999999993
10600, 529950, -38.505, -0.98, -20.674299999999995, -48.96, -0.925, -24.791300000000007
10800, 539950, -41.68, -0.985, -22.0621, -48.57, -0.925, -24.578899999999997
11000, 549950, -40.145, -1.0, -21.52790000000001, -48.93, -0.865, -24.67030000000001
11200, 559950, -39.77, -1.0, -21.1038, -48.545, -0.905, -24.54629999999999
11400, 569950, -41.195, -1.0, -21.696500000000004, -48.915, -0.8, -24.736500000000007
11600, 579950, -41.605, -0.985, -22.073499999999996, -48.59, -0.715, -24.394700000000004
11800, 589950, -42.155, -0.99, -22.30309999999999, -48.895, -0.925, -24.7844
12000, 599950, -39.695, -0.965, -20.9646, -49.355, -0.875, -25.026
12200, 609950, -41.115, -1.0, -21.765300000000003, -49.25, -0.92, -25.062100000000004
12400, 619950, -36.375, -0.99, -19.673899999999993, -49.18, -0.93, -24.84049999999999
12600, 629950, -42.275, -0.985, -22.077500000000008, -48.73, -0.755, -24.4663
12800, 639950, -40.47, -0.935, -21.217800000000008, -48.715, -0.735, -24.53859999999999
13000, 649950, -44.04, -0.87, -22.794000000000004, -49.07, -0.78, -24.727800000000006
13200, 659950, -39.78, -0.955, -21.1169, -49.215, -0.93, -24.925499999999996
13400, 669950, -45.98, -1.0, -23.6927, -48.53, -0.805, -24.33610000000001
13600, 679950, -39.85, -0.99, -20.982200000000006, -48.72, -0.765, -24.456900000000008
13800, 689950, -36.47, -0.995, -19.70709999999999, -47.71, -0.83, -23.74499999999999
14000, 699950, -33.955, -0.975, -18.702099999999987, -48.74, -0.905, -24.547899999999995
14200, 709950, -37.61, -1.0, -20.369299999999996, -48.705, -0.825, -24.54189999999999
14400, 719950, -42.15, -1.0, -21.769999999999996, -48.22, -0.93, -24.22699999999999
14600, 729950, -47.31, -0.995, -24.20999999999999, -48.7, -0.92, -24.584300000000002
14800, 739950, -43.175, -0.97, -22.276500000000006, -48.225, -0.885, -24.090000000000003
15000, 749950, -45.12, -0.97, -23.194299999999995, -47.77, -0.835, -23.834599999999995
15200, 759950, -47.38, -0.97, -24.085300000000004, -48.25, -0.9, -24.159999999999997
15400, 769950, -36.315, -0.995, -19.795399999999994, -48.38, -0.9, -24.274800000000013
15600, 779950, -42.405, -0.985, -22.287799999999997, -47.555, -0.825, -23.493500000000004
15800, 789950, -35.29, -0.995, -19.543200000000002, -47.195, -0.875, -23.496500000000005
16000, 799950, -36.985, -0.98, -20.0523, -48.02, -0.93, -23.993899999999986
16200, 809950, -36.21, -0.99, -19.79579999999999, -48.775, -0.905, -24.506099999999996
16400, 819950, -36.935, -0.995, -19.5133, -47.975, -0.885, -23.988900000000005
16600, 829950, -39.77, -0.985, -21.130700000000004, -47.58, -0.92, -23.637299999999993
16800, 839950, -37.335, -0.965, -19.893000000000004, -48.55, -0.95, -24.4047
17000, 849950, -44.15, -0.935, -22.689700000000002, -47.57, -0.875, -23.67329999999999
17200, 859950, -40.49, -0.975, -21.47790000000001, -48.415, -0.9, -24.3025
17400, 869950, -36.67, -0.94, -19.717599999999994, -48.61, -0.955, -24.466499999999993
17600, 879950, -35.275, -0.985, -19.402099999999997, -48.91, -0.975, -24.672399999999996
17800, 889950, -40.195, -0.995, -21.403200000000005, -48.815, -0.945, -24.634900000000002
18000, 899950, -36.185, -0.99, -19.828199999999995, -47.915, -0.96, -23.9877
18200, 909950, -33.45, -0.99, -18.709299999999995, -48.2, -0.895, -24.122400000000006
18400, 919950, -33.335, -0.99, -18.717900000000007, -48.2, -0.905, -24.101299999999995
18600, 929950, -33.39, -0.995, -18.7461, -49.0, -0.915, -24.724
18800, 939950, -34.72, -0.995, -18.991799999999984, -48.95, -0.955, -24.701999999999998
19000, 949950, -35.695, -0.945, -19.144400000000005, -49.07, -0.935, -24.776100000000007
19200, 959950, -37.065, -0.975, -20.1005, -48.335, -0.885, -24.24119999999999
19400, 969950, -36.63, -0.945, -19.9006, -49.125, -0.94, -24.814799999999995
19600, 979950, -36.66, -0.99, -20.149300000000004, -48.655, -0.915, -24.507600000000004
19800, 989950, -40.805, -0.975, -21.543499999999998, -49.08, -0.905, -24.822499999999994
20000, 999950, -40.6, -0.98, -21.153700000000004, -49.195, -0.925, -24.904999999999994
