episode,step,agent0_rew,agent1_rew
200, 9950, -107.35460881265608, -79.7566062593734
400, 19950, -87.98096190266432, -85.87352942031812
600, 29950, -110.84572479596572, -82.97959542218398
800, 39950, -94.60316502874579, -73.15333425754754
1000, 49950, -90.76855379415832, -78.91137790392908
1200, 59950, -397.03949868041786, -447.2767288527394
1400, 69950, -121.04919440587724, -246.59557562966606
1600, 79950, -76.5790646386907, -68.18850505650742
1800, 89950, -67.24032477172788, -71.67277960164053
2000, 99950, -59.92058142953088, -68.79890123451584
2200, 109950, -66.54328823582762, -59.761532211837995
2400, 119950, -60.71611300554238, -71.91179187535096
2600, 129950, -56.620922076529816, -54.15328764372491
2800, 139950, -61.524808446660245, -61.01683195235679
3000, 149950, -54.567689251481035, -56.86459789186434
3200, 159950, -59.932655280411815, -61.99337939288365
3400, 169950, -64.1405535577053, -62.64343034142355
3600, 179950, -60.208057966983795, -58.36642239985806
3800, 189950, -54.01846778181382, -56.49005521177035
4000, 199950, -57.77804472347994, -55.27851233140149
4200, 209950, -55.13757341495371, -59.76063043753106
4400, 219950, -51.647904968596784, -55.81629398394582
4600, 229950, -54.25890708232311, -61.99226648783983
4800, 239950, -50.45247412974442, -54.24546838271979
5000, 249950, -46.239035898894834, -47.65895867449493
5200, 259950, -44.227759287535825, -47.4934294427797
5400, 269950, -40.54359498032554, -43.971761641281645
5600, 279950, -35.90050768694714, -45.768164916513825
5800, 289950, -40.23014766604824, -45.027005163764116
6000, 299950, -39.005547423270116, -46.467460818894004
6200, 309950, -34.67201418615964, -38.98692307912983
6400, 319950, -40.21128908788477, -46.28616383726994
6600, 329950, -33.94728671468088, -41.77757490193953
6800, 339950, -32.26725010544719, -36.8974350538142
7000, 349950, -38.63112429620587, -41.86335033846959
7200, 359950, -32.340359666764996, -37.88967264584592
7400, 369950, -38.63860312351302, -44.9942754346871
7600, 379950, -33.57260048890207, -36.881698350775416
7800, 389950, -33.77654657736532, -35.32868962235037
8000, 399950, -27.442687805817556, -35.51079972295838
8200, 409950, -27.656317861788665, -34.52811713843095
8400, 419950, -29.352219253883312, -33.91673745003687
8600, 429950, -22.890551742244334, -32.803866727450334
8800, 439950, -25.906714942697118, -38.64407147350618
9000, 449950, -23.55805122611598, -33.82204489768463
9200, 459950, -23.418122197616402, -34.62059491353106
9400, 469950, -27.094469252417067, -35.363623815235115
9600, 479950, -28.26627952554506, -37.21063322272737
9800, 489950, -27.556991846904257, -35.34184497123143
10000, 499950, -31.769839942825683, -35.72526697207366
10200, 509950, -24.22455120322819, -34.765125422657356
10400, 519950, -24.43890168384918, -34.49593271220206
10600, 529950, -24.129570329821423, -33.52276056849727
10800, 539950, -24.19615943346787, -38.47972152666559
11000, 549950, -26.972035939739282, -35.4928019349815
11200, 559950, -24.20924748101473, -34.101822557308395
11400, 569950, -22.722800333534096, -32.39439747883651
11600, 579950, -25.592241159749403, -30.938822419517756
11800, 589950, -19.810758184564335, -29.176862860391456
12000, 599950, -19.509934285159005, -26.376294366269914
12200, 609950, -22.154754295875374, -24.99385701319472
12400, 619950, -23.126662946822194, -24.74044955555178
12600, 629950, -22.083277790612982, -26.9126286171815
12800, 639950, -23.834976774008965, -28.377032660026725
13000, 649950, -21.356694732599994, -28.262915252730153
13200, 659950, -25.041812691887326, -26.535170424827378
13400, 669950, -21.232106208879, -25.376026699418126
13600, 679950, -21.827448508200213, -28.777591703523612
13800, 689950, -22.556045083492382, -24.655637175702026
14000, 699950, -22.58368379627198, -22.220154603528016
14200, 709950, -24.234415843806236, -31.280695880265874
14400, 719950, -22.353696499041444, -21.5399992193862
14600, 729950, -23.826428923628054, -22.575662895080995
14800, 739950, -22.8688519104065, -23.354938403416647
15000, 749950, -21.3418635685383, -24.157828299864942
15200, 759950, -20.042297866972447, -22.860273579078594
15400, 769950, -23.375352809731798, -24.122718461136174
15600, 779950, -28.12751813598772, -28.923910042066158
15800, 789950, -21.697747064833255, -19.44778046212598
16000, 799950, -21.716972862793785, -22.09314604785279
16200, 809950, -20.2397888007232, -21.4011515456081
16400, 819950, -21.696450332370816, -23.177999231815047
16600, 829950, -20.775890532989138, -19.983201728324083
16800, 839950, -18.403935548424815, -19.85416240919129
17000, 849950, -24.191733174208657, -22.133240307968435
17200, 859950, -23.358136975653096, -22.023315886638247
17400, 869950, -21.716390195149856, -24.435640712657033
17600, 879950, -17.160353566965668, -18.741423385575303
17800, 889950, -20.72797738757049, -21.728565143337068
18000, 899950, -20.529099929820404, -20.502221531087798
18200, 909950, -21.498803581606584, -20.12536732478611
18400, 919950, -14.735581648334303, -16.578287592463145
18600, 929950, -20.02047721761563, -17.73512524981188
18800, 939950, -17.49901286655363, -17.320078035430562
19000, 949950, -20.501522240951118, -19.47722289765757
19200, 959950, -21.218131499166557, -21.300070953136355
19400, 969950, -17.950382784161505, -19.774255488197156
19600, 979950, -18.91362546511818, -21.039169317185316
19800, 989950, -17.646228068741472, -18.588881294356767
20000, 999950, -14.481430793484192, -15.695633634116009
20200, 1009950, -18.073293419462185, -19.638465376851013
20400, 1019950, -21.76503488529132, -23.049182088686276
20600, 1029950, -16.931233678971036, -19.094496790828156
20800, 1039950, -21.23320713544774, -21.35305674648276
21000, 1049950, -18.393539425835716, -19.749407616202515
21200, 1059950, -19.619195759679886, -21.201534173821884
21400, 1069950, -21.177351716604036, -22.774455597463977
21600, 1079950, -15.668256261153275, -15.035908969233871
21800, 1089950, -17.845094324118097, -15.882895912378736
22000, 1099950, -19.838615499500296, -21.749835206526654
22200, 1109950, -16.200967239189257, -20.91150564151239
22400, 1119950, -18.334089890694386, -17.613335677707067
22600, 1129950, -21.03531407203156, -19.236885286054434
22800, 1139950, -17.890325376804054, -19.813470843853697
23000, 1149950, -16.73324923946867, -18.369447722625203
23200, 1159950, -17.992808739899736, -17.33707317616389
23400, 1169950, -18.96983464871328, -20.34643496024984
23600, 1179950, -15.71042775302743, -16.259078171648724
23800, 1189950, -20.146267337346025, -18.372177446404894
24000, 1199950, -17.626525443420828, -17.102665066961794
24200, 1209950, -17.07950233856356, -16.14694821572642
24400, 1219950, -15.667464796384966, -14.537998884482304
24600, 1229950, -14.687743415362428, -14.642962115332663
24800, 1239950, -16.22252432690902, -15.412178049816038
25000, 1249950, -18.7034407649307, -17.533862590446304
25200, 1259950, -16.143395699411556, -16.583590585260673
25400, 1269950, -16.558511995848516, -17.013001245559643
25600, 1279950, -20.840764031179322, -16.129321174649746
25800, 1289950, -32.95579300162334, -26.225360778104772
26000, 1299950, -31.323970397259753, -24.92675464414655
26200, 1309950, -18.979410794847674, -20.294558952478333
26400, 1319950, -24.5695146896563, -22.547712147898537
26600, 1329950, -18.13776184957892, -16.011854502243818
26800, 1339950, -31.999657019251735, -26.043651585039086
27000, 1349950, -21.62206051714699, -19.931419192763745
