energy0,episode,step
-1.0,1,0
-2.0,1,1
-3.0,1,2
-3.0,1,3
-4.0,1,4
-5.0,1,5
-5.0,1,6
-6.0,1,7
-6.0,1,8
-6.0,1,9
-6.0,1,10
-6.0,1,11
-6.0,1,12
-6.0,1,13
-6.0,1,14
-6.0,1,15
-6.0,1,16
-6.0,1,17
-6.0,1,18
-6.0,1,19
-6.0,1,20
-6.0,1,21
-6.0,1,22
-6.0,1,23
-6.0,1,24
-6.0,1,25
-6.0,1,26
-6.0,1,27
-6.0,1,28
-6.0,1,29
-6.0,1,30
-6.0,1,31
-6.0,1,32
-6.0,1,33
-6.0,1,34
-6.0,1,35
-6.0,1,36
-6.0,1,37
-6.0,1,38
-6.0,1,39
-6.0,1,40
-6.0,1,41
-6.0,1,42
-6.0,1,43
-6.0,1,44
-6.0,1,45
-6.0,1,46
-7.0,1,47
-7.0,1,48
-7.0,1,49
-1.0,2,0
-2.0,2,1
-3.0,2,2
-4.0,2,3
-5.0,2,4
-6.0,2,5
-7.0,2,6
-8.0,2,7
-9.0,2,8
-10.0,2,9
-11.0,2,10
-12.0,2,11
-13.0,2,12
-14.0,2,13
-15.0,2,14
-16.0,2,15
-17.0,2,16
-18.0,2,17
-19.0,2,18
-20.0,2,19
-20.0,2,20
-21.0,2,21
-22.0,2,22
-23.0,2,23
-24.0,2,24
-25.0,2,25
-26.0,2,26
-27.0,2,27
-27.0,2,28
-27.0,2,29
-28.0,2,30
-29.0,2,31
-30.0,2,32
-31.0,2,33
-32.0,2,34
-33.0,2,35
-34.0,2,36
-35.0,2,37
-35.0,2,38
-35.0,2,39
-35.0,2,40
-35.0,2,41
-35.0,2,42
-35.0,2,43
-35.0,2,44
-35.0,2,45
-35.0,2,46
-35.0,2,47
-35.0,2,48
-35.0,2,49
-1.0,3,0
-2.0,3,1
-3.0,3,2
-4.0,3,3
-5.0,3,4
-5.0,3,5
-5.0,3,6
-6.0,3,7
-7.0,3,8
-7.0,3,9
-8.0,3,10
-9.0,3,11
-9.0,3,12
-10.0,3,13
-10.0,3,14
-10.0,3,15
-10.0,3,16
-10.0,3,17
-10.0,3,18
-10.0,3,19
-10.0,3,20
-10.0,3,21
-10.0,3,22
-10.0,3,23
-10.0,3,24
-10.0,3,25
-10.0,3,26
-11.0,3,27
-11.0,3,28
-12.0,3,29
-12.0,3,30
-12.0,3,31
-12.0,3,32
-12.0,3,33
-12.0,3,34
-12.0,3,35
-12.0,3,36
-12.0,3,37
-12.0,3,38
-12.0,3,39
-12.0,3,40
-12.0,3,41
-12.0,3,42
-12.0,3,43
-12.0,3,44
-12.0,3,45
-12.0,3,46
-12.0,3,47
-12.0,3,48
-12.0,3,49
-1.0,4,0
-2.0,4,1
-3.0,4,2
-4.0,4,3
-5.0,4,4
-5.0,4,5
-5.0,4,6
-5.0,4,7
-5.0,4,8
-5.0,4,9
-5.0,4,10
-5.0,4,11
-5.0,4,12
-5.0,4,13
-5.0,4,14
-5.0,4,15
-5.0,4,16
-5.0,4,17
-5.0,4,18
-5.0,4,19
-5.0,4,20
-5.0,4,21
-5.0,4,22
-5.0,4,23
-5.0,4,24
-5.0,4,25
-5.0,4,26
-5.0,4,27
-5.0,4,28
-5.0,4,29
-5.0,4,30
-5.0,4,31
-5.0,4,32
-5.0,4,33
-5.0,4,34
-5.0,4,35
-5.0,4,36
-5.0,4,37
-5.0,4,38
-5.0,4,39
-5.0,4,40
-5.0,4,41
-5.0,4,42
-5.0,4,43
-5.0,4,44
-5.0,4,45
-5.0,4,46
-5.0,4,47
-5.0,4,48
-5.0,4,49
-1.0,5,0
-2.0,5,1
-3.0,5,2
-4.0,5,3
-5.0,5,4
-6.0,5,5
-7.0,5,6
-8.0,5,7
-9.0,5,8
-10.0,5,9
-11.0,5,10
-12.0,5,11
-13.0,5,12
-14.0,5,13
-15.0,5,14
-16.0,5,15
-17.0,5,16
-18.0,5,17
-18.0,5,18
-18.0,5,19
-18.0,5,20
-18.0,5,21
-18.0,5,22
-18.0,5,23
-18.0,5,24
-18.0,5,25
-18.0,5,26
-18.0,5,27
-18.0,5,28
-18.0,5,29
-18.0,5,30
-18.0,5,31
-18.0,5,32
-18.0,5,33
-18.0,5,34
-18.0,5,35
-18.0,5,36
-18.0,5,37
-18.0,5,38
-18.0,5,39
-18.0,5,40
-18.0,5,41
-18.0,5,42
-18.0,5,43
-18.0,5,44
-18.0,5,45
-19.0,5,46
-19.0,5,47
-19.0,5,48
-20.0,5,49
