episode,step,total_reward
200, 9950, -167.933050
400, 19950, -157.133159
600, 29950, -157.844750
800, 39950, -158.872331
1000, 49950, -177.388128
1200, 59950, -317.985116
1400, 69950, -187.944630
1600, 79950, -148.749678
1800, 89950, -132.468031
2000, 99950, -108.060566
2200, 109950, -114.822210
2400, 119950, -102.228924
2600, 129950, -103.347269
2800, 139950, -100.430585
3000, 149950, -98.616239
3200, 159950, -85.696225
3400, 169950, -89.240992
3600, 179950, -82.131287
3800, 189950, -95.051225
4000, 199950, -78.373433
4200, 209950, -66.007140
4400, 219950, -71.078596
4600, 229950, -75.477425
4800, 239950, -65.915225
5000, 249950, -75.764599
5200, 259950, -62.781472
5400, 269950, -65.779388
5600, 279950, -60.119660
5800, 289950, -59.439377
6000, 299950, -64.569774
6200, 309950, -62.477416
6400, 319950, -59.232817
6600, 329950, -74.803103
6800, 339950, -60.983375
7000, 349950, -62.800494
7200, 359950, -60.163804
7400, 369950, -66.038320
7600, 379950, -55.809729
7800, 389950, -51.012132
8000, 399950, -56.412869
8200, 409950, -59.525367
8400, 419950, -58.695023
8600, 429950, -53.310830
8800, 439950, -58.573731
9000, 449950, -60.099779
9200, 459950, -50.826637
9400, 469950, -63.968616
9600, 479950, -58.887736
9800, 489950, -64.661626
10000, 499950, -65.084318
10200, 509950, -56.727342
10400, 519950, -50.454925
10600, 529950, -59.283630
10800, 539950, -55.165503
11000, 549950, -53.999550
11200, 559950, -56.782667
11400, 569950, -48.892428
11600, 579950, -51.546777
11800, 589950, -70.431984
12000, 599950, -55.661403
12200, 609950, -48.297684
12400, 619950, -54.959010
12600, 629950, -56.491158
12800, 639950, -56.311499
13000, 649950, -54.791873
13200, 659950, -55.392668
13400, 669950, -65.052954
13600, 679950, -57.446450
13800, 689950, -52.368804
14000, 699950, -45.182198
14200, 709950, -52.790263
14400, 719950, -48.909821
14600, 729950, -45.463399
14800, 739950, -44.287152
15000, 749950, -47.249323
15200, 759950, -47.136038
15400, 769950, -45.468280
15600, 779950, -45.278315
15800, 789950, -47.195107
16000, 799950, -51.142964
16200, 809950, -43.212674
16400, 819950, -49.066319
16600, 829950, -45.648841
16800, 839950, -47.784175
17000, 849950, -41.077256
17200, 859950, -46.300653
17400, 869950, -41.813350
17600, 879950, -49.943986
17800, 889950, -44.893504
18000, 899950, -43.648855
18200, 909950, -46.710741
18400, 919950, -48.556267
18600, 929950, -45.119946
18800, 939950, -57.541831
19000, 949950, -51.185902
19200, 959950, -39.381808
19400, 969950, -53.641017
19600, 979950, -49.863740
19800, 989950, -46.649766
20000, 999950, -45.068581
