episode,step,agent0_money,agent1_money
200, 9950, -28.115577889447238, -27.547738693467338
400, 19950, -28.265, -27.98
600, 29950, -28.38, -27.63
800, 39950, -28.13, -28.26
1000, 49950, -28.35, -27.53
1200, 59950, -27.52, -26.445
1400, 69950, -13.375, -37.27
1600, 79950, -22.26, -26.745
1800, 89950, -19.495, -25.25
2000, 99950, -20.21, -12.465
2200, 109950, -13.895, -18.085
2400, 119950, -4.28, -19.815
2600, 129950, -1.945, -24.95
2800, 139950, -6.96, -24.24
3000, 149950, -8.49, -27.41
3200, 159950, -15.86, -21.245
3400, 169950, -12.12, -31.22
3600, 179950, -5.675, -32.62
3800, 189950, -2.34, -30.24
4000, 199950, -1.485, -37.305
4200, 209950, -1.01, -32.87
4400, 219950, -1.455, -33.74
4600, 229950, -0.22, -36.12
4800, 239950, -1.15, -34.63
5000, 249950, -0.965, -34.48
5200, 259950, -4.055, -30.695
5400, 269950, -1.37, -36.6
5600, 279950, -1.775, -38.64
5800, 289950, -0.725, -33.365
6000, 299950, -2.0, -36.54
6200, 309950, -1.575, -30.365
6400, 319950, -1.67, -28.935
6600, 329950, -2.45, -31.475
6800, 339950, -3.09, -30.325
7000, 349950, -2.055, -32.57
7200, 359950, -1.76, -30.92
7400, 369950, -2.615, -31.995
7600, 379950, -2.86, -28.44
7800, 389950, -6.565, -33.23
8000, 399950, -6.175, -31.6
8200, 409950, -3.455, -31.62
8400, 419950, -3.97, -27.535
8600, 429950, -4.375, -27.525
8800, 439950, -4.485, -27.265
9000, 449950, -8.58, -38.205
9200, 459950, -5.935, -29.475
9400, 469950, -10.685, -29.415
9600, 479950, -7.335, -37.72
9800, 489950, -9.015, -33.03
10000, 499950, -10.24, -34.435
10200, 509950, -6.825, -34.13
10400, 519950, -7.87, -35.33
10600, 529950, -7.245, -34.515
10800, 539950, -4.775, -34.13
11000, 549950, -5.79, -32.685
11200, 559950, -12.935, -28.27
11400, 569950, -11.21, -33.795
11600, 579950, -9.745, -33.755
11800, 589950, -11.595, -35.465
12000, 599950, -9.525, -34.54
12200, 609950, -12.365, -33.265
12400, 619950, -13.375, -32.445
12600, 629950, -11.995, -37.465
12800, 639950, -11.47, -38.275
13000, 649950, -9.48, -29.32
13200, 659950, -6.855, -31.98
13400, 669950, -10.41, -34.205
13600, 679950, -10.91, -32.505
13800, 689950, -15.51, -32.425
14000, 699950, -11.745, -32.325
14200, 709950, -13.6, -24.265
14400, 719950, -13.655, -36.855
14600, 729950, -10.025, -28.645
14800, 739950, -12.925, -35.815
15000, 749950, -13.965, -27.815
15200, 759950, -9.6, -33.455
15400, 769950, -12.22, -34.01
15600, 779950, -9.62, -33.125
15800, 789950, -11.655, -29.785
16000, 799950, -10.21, -28.505
16200, 809950, -7.07, -25.605
16400, 819950, -10.625, -24.415
16600, 829950, -8.955, -24.3
16800, 839950, -11.14, -25.255
17000, 849950, -10.615, -19.625
17200, 859950, -10.93, -18.13
17400, 869950, -13.235, -19.595
17600, 879950, -10.575, -12.975
17800, 889950, -10.355, -20.765
18000, 899950, -9.63, -18.645
18200, 909950, -12.365, -19.3
18400, 919950, -7.505, -14.395
18600, 929950, -11.4, -20.58
18800, 939950, -9.67, -15.295
19000, 949950, -12.015, -19.035
19200, 959950, -10.385, -15.2
19400, 969950, -10.8, -16.64
19600, 979950, -11.535, -16.85
19800, 989950, -11.965, -13.2
20000, 999950, -11.515, -15.29
