episode,step,agent0_rew,agent1_rew
200, 9950, -88.33846607109965, -84.41719260366486
400, 19950, -93.05834847649133, -89.81838784455074
600, 29950, -95.73856988182608, -88.26189611302881
800, 39950, -83.06370057624326, -86.885589112396
1000, 49950, -96.77771080279217, -87.16072893127388
1200, 59950, -383.3292318877377, -300.26444525880214
1400, 69950, -154.27530588062635, -454.5010109475609
1600, 79950, -128.06365392479972, -102.52816052184062
1800, 89950, -133.40582810177938, -111.1772525683447
2000, 99950, -80.46185842201577, -102.54829710274095
2200, 109950, -79.24303932272377, -79.78365730372316
2400, 119950, -65.51073750962176, -69.15444274020571
2600, 129950, -76.63396007763832, -76.81974355772287
2800, 139950, -80.63361729685668, -73.48224707447778
3000, 149950, -67.90842732352239, -67.31855735645075
3200, 159950, -67.89307078927622, -71.3353750433907
3400, 169950, -58.5656449515304, -65.68238755419985
3600, 179950, -49.05809332660087, -54.65208345344517
3800, 189950, -45.43919418841493, -54.34535786632509
4000, 199950, -52.365763623741756, -60.54391089054856
4200, 209950, -58.56821440665774, -62.15623125890202
4400, 219950, -59.422204868794495, -59.73954846474691
4600, 229950, -57.52442993433656, -57.00881009498763
4800, 239950, -53.53780979109286, -53.63844936437951
5000, 249950, -55.82225177936318, -58.11714092211128
5200, 259950, -55.87150687427458, -51.3587637420166
5400, 269950, -54.97084524230193, -56.27604408110406
5600, 279950, -59.315005931635284, -65.89522987638856
5800, 289950, -50.508541689391244, -58.127773222479355
6000, 299950, -51.89646406175227, -53.05041331279471
6200, 309950, -54.37067321243586, -53.239199251232186
6400, 319950, -42.80854799247894, -44.99857871778513
6600, 329950, -53.73667190179329, -58.18840362779637
6800, 339950, -54.34677199737389, -56.03406901568916
7000, 349950, -47.294084568583585, -54.707884271040605
7200, 359950, -53.4912304876881, -52.577196681237695
7400, 369950, -52.42206188475225, -54.516068531508296
7600, 379950, -51.72102632102476, -54.0680359888125
7800, 389950, -51.440257391655685, -58.42577685706756
8000, 399950, -49.921615301656765, -54.546196697406714
8200, 409950, -46.335227454091964, -51.26515610862934
8400, 419950, -51.21116581424362, -53.45993099261921
8600, 429950, -52.01569823137489, -54.759512105252455
8800, 439950, -50.08187931851995, -53.069904676218464
9000, 449950, -44.10671560348559, -54.32371348346303
9200, 459950, -44.67109394008614, -47.24102905958618
9400, 469950, -42.752279605890244, -50.89066111125517
9600, 479950, -41.10553108628646, -52.49639086435784
9800, 489950, -40.445132685406136, -48.80007004119106
10000, 499950, -42.977147621479055, -53.080998349635294
10200, 509950, -40.235728800184035, -47.26792485150941
10400, 519950, -43.089249610910954, -46.49325771418989
10600, 529950, -38.970011838435404, -44.52169313976048
10800, 539950, -41.82949105589942, -47.52463377854994
11000, 549950, -47.07687575343858, -48.86261370148662
11200, 559950, -48.825019566093594, -46.734232969191034
11400, 569950, -44.11196902589834, -46.56934913800445
11600, 579950, -36.417469530074115, -41.56395173144183
11800, 589950, -35.81454194490786, -44.15714037650128
12000, 599950, -36.85106196763233, -43.31153078607642
12200, 609950, -38.94112933048092, -40.52017097953307
12400, 619950, -46.59438716289697, -47.810935038883926
12600, 629950, -40.77467641457447, -49.95890434668178
12800, 639950, -40.047979052324386, -46.9549830325781
13000, 649950, -36.25858895870436, -42.929334358224224
13200, 659950, -40.06359721006013, -48.33940863611757
13400, 669950, -40.313489341266404, -49.636694297300444
13600, 679950, -39.47323255081793, -50.86447111939908
13800, 689950, -43.39905785283074, -55.497065555442326
14000, 699950, -38.40707694295737, -52.262654972797336
14200, 709950, -46.80896725296163, -53.33876336608946
14400, 719950, -37.407606683983, -47.26686382833574
14600, 729950, -33.918402760206185, -41.069871871757535
14800, 739950, -37.26121542543378, -45.486583287617776
15000, 749950, -38.455323321776255, -44.40527970429719
15200, 759950, -32.26451156513545, -36.99125340264611
15400, 769950, -36.99876511641002, -40.41292664250291
15600, 779950, -37.57609586973227, -37.56817636831866
15800, 789950, -41.469786952619515, -41.51358353558904
16000, 799950, -35.67705307483701, -37.60958946290828
16200, 809950, -31.20674254400173, -33.13682411574909
16400, 819950, -36.067945325463974, -37.01004395849018
16600, 829950, -36.41587871291524, -37.327295481788944
16800, 839950, -33.86734215774534, -36.685419949616055
17000, 849950, -35.87272178189901, -34.590208780065225
17200, 859950, -33.50308193981154, -30.574835842801004
17400, 869950, -32.57752879886529, -34.836089584692694
17600, 879950, -41.451256622428566, -44.02805604334536
17800, 889950, -35.48199480404971, -40.910837737206535
18000, 899950, -35.64178243826649, -37.96836176196467
18200, 909950, -29.73444164761997, -30.63427835121435
18400, 919950, -27.49293178266088, -29.140037017497082
18600, 929950, -27.742659536368375, -32.17510275093474
18800, 939950, -30.369441999969123, -32.57278685757179
19000, 949950, -35.35167262019918, -41.67554638537962
19200, 959950, -26.989351209397114, -26.503782348123483
19400, 969950, -34.84671129088817, -34.558323922674425
19600, 979950, -40.25175133498172, -38.83056882938804
19800, 989950, -32.72869263669201, -30.538540271490785
20000, 999950, -35.43730105744693, -33.68588505667469
