episode,step,agent0_energy_min,agent0_energy_max,agent0_energy_avg,agent1_energy_min,agent1_energy_max,agent1_energy_avg,agent2_energy_min,agent2_energy_max,agent2_energy_avg,agent3_energy_min,agent3_energy_max,agent3_energy_avg
200, 9950, -22.92964824120603, -0.4623115577889447, -11.637085427135677, -19.979899497487438, -0.4221105527638191, -10.245829145728642, -26.728643216080403, -0.5175879396984925, -13.434170854271358, -25.57788944723618, -0.4824120603015075, -13.109748743718598
400, 19950, -23.15, -0.48, -11.784799999999997, -20.32, -0.44, -10.569400000000003, -26.845, -0.505, -13.470900000000007, -24.975, -0.51, -12.758399999999993
600, 29950, -22.745, -0.51, -11.554199999999998, -19.37, -0.375, -9.976199999999999, -26.4, -0.54, -13.225600000000004, -25.425, -0.575, -13.126600000000003
800, 39950, -23.03, -0.495, -11.708300000000003, -20.165, -0.44, -10.441399999999998, -26.395, -0.54, -13.388399999999995, -25.45, -0.515, -12.881699999999999
1000, 49950, -23.23, -0.545, -11.879200000000004, -19.74, -0.335, -10.067899999999993, -26.465, -0.53, -13.390099999999995, -25.515, -0.555, -13.055299999999994
1200, 59950, -37.44, -0.765, -19.194899999999997, -26.965, -0.545, -13.567599999999997, -37.3, -0.785, -19.311999999999998, -10.79, -0.395, -6.455
1400, 69950, -15.83, -0.22, -7.097299999999999, -33.03, -0.5, -16.712200000000003, -38.415, -0.785, -19.6074, -19.65, -0.48, -10.550899999999997
1600, 79950, -42.705, -0.535, -20.727299999999985, -28.95, -0.42, -14.64829999999999, -32.305, -0.455, -15.963199999999995, -21.16, -0.535, -11.615299999999998
1800, 89950, -35.99, -0.465, -18.238799999999998, -31.05, -0.305, -14.311300000000008, -32.615, -0.575, -16.794299999999986, -18.38, -0.355, -9.970899999999997
2000, 99950, -20.93, -0.365, -10.044000000000002, -23.74, -0.345, -11.866100000000001, -4.39, -0.125, -2.4432999999999994, -16.74, -0.41, -9.042500000000002
2200, 109950, -12.0, -0.41, -6.403399999999998, -21.775, -0.3, -10.8018, -10.665, -0.27, -5.5386, -7.255, -0.26, -4.0943999999999985
2400, 119950, -19.49, -0.53, -10.479399999999998, -17.815, -0.29, -9.480999999999996, -17.035, -0.465, -8.8817, -24.285, -0.45, -13.056100000000008
2600, 129950, -16.765, -0.585, -9.654100000000007, -5.68, -0.14, -3.138499999999998, -36.03, -0.585, -17.9278, -33.58, -0.53, -16.7009
2800, 139950, -11.54, -0.42, -6.652300000000007, -1.955, -0.07, -1.045, -43.52, -0.85, -22.108099999999993, -37.035, -0.615, -18.654300000000006
3000, 149950, -9.065, -0.3, -5.2073, -1.07, -0.095, -0.6685999999999999, -45.855, -0.88, -22.925800000000002, -44.24, -0.705, -22.1078
3200, 159950, -5.67, -0.265, -3.4029000000000007, -0.43, -0.05, -0.3147, -47.265, -0.905, -23.7418, -47.005, -0.77, -23.49160000000001
3400, 169950, -3.715, -0.27, -2.6519, -3.295, -0.12, -1.8622999999999996, -47.66, -0.885, -23.85539999999999, -47.605, -0.79, -23.891700000000004
3600, 179950, -3.36, -0.3, -2.435499999999999, -4.825, -0.125, -2.769, -46.845, -0.915, -23.685, -47.99, -0.805, -24.203000000000007
3800, 189950, -3.455, -0.355, -2.594100000000001, -5.945, -0.085, -3.1546000000000003, -48.11, -0.89, -24.245900000000006, -48.34, -0.835, -24.478700000000007
4000, 199950, -2.57, -0.285, -1.9510999999999998, -3.1, -0.14, -1.9624000000000001, -49.24, -0.91, -25.030700000000007, -48.66, -0.88, -24.55620000000001
4200, 209950, -2.4, -0.23, -1.7028999999999996, -4.865, -0.145, -3.124300000000001, -49.695, -0.975, -25.28290000000001, -47.665, -0.875, -24.117399999999996
4400, 219950, -1.195, -0.105, -0.9003, -5.615, -0.185, -3.2540999999999998, -49.59, -0.975, -25.196299999999997, -47.71, -0.845, -24.02880000000001
4600, 229950, -2.315, -0.125, -1.3704999999999998, -4.805, -0.13, -3.1348000000000007, -49.635, -0.98, -25.239300000000004, -46.585, -0.875, -23.4604
4800, 239950, -1.955, -0.21, -1.4585, -4.93, -0.29, -3.3405999999999993, -49.66, -0.985, -25.261500000000005, -47.82, -0.835, -24.029399999999995
5000, 249950, -1.24, -0.17, -0.9649000000000001, -8.27, -0.335, -5.084799999999999, -49.84, -0.98, -25.378299999999996, -47.545, -0.885, -24.0452
5200, 259950, -1.01, -0.11, -0.7128, -6.355, -0.395, -4.406500000000001, -49.43, -0.975, -25.084499999999995, -48.69, -0.965, -24.6644
5400, 269950, -3.225, -0.24, -2.1802000000000006, -6.17, -0.385, -4.2484, -49.575, -0.995, -25.190399999999997, -48.88, -0.935, -24.768600000000006
