a0_to_a1,a0_to_a2,a0_to_a3,a1_to_a0,a1_to_a2,a1_to_a3,a2_to_a0,a2_to_a1,a2_to_a3,a3_to_a0,a3_to_a1,a3_to_a2,episode,step
A,A,A,A,A,A,B,B,B,A,A,A,1,0
A,A,A,A,A,A,B,B,B,A,A,A,1,1
A,A,A,A,A,A,B,B,B,A,A,A,1,2
A,A,A,A,A,A,B,B,B,A,A,A,1,3
A,A,A,A,A,A,B,B,B,A,A,A,1,4
A,A,A,B,B,B,B,B,B,A,A,A,1,5
A,A,A,B,B,B,B,B,B,A,A,A,1,6
A,A,A,B,B,B,B,B,B,A,A,A,1,7
A,A,A,B,B,B,B,B,B,B,B,B,1,8
A,A,A,B,B,B,B,B,B,A,A,A,1,9
A,A,A,B,B,B,B,B,B,A,A,A,1,10
A,A,A,B,B,B,B,B,B,A,A,A,1,11
A,A,A,B,B,B,B,B,B,A,A,A,1,12
B,B,B,B,B,B,B,B,B,A,A,A,1,13
B,B,B,B,B,B,B,B,B,B,B,B,1,14
B,B,B,B,B,B,B,B,B,A,A,A,1,15
B,B,B,B,B,B,B,B,B,A,A,A,1,16
B,B,B,B,B,B,B,B,B,A,A,A,1,17
B,B,B,B,B,B,B,B,B,A,A,A,1,18
B,B,B,A,A,A,B,B,B,A,A,A,1,19
B,B,B,B,B,B,B,B,B,B,B,B,1,20
B,B,B,B,B,B,B,B,B,A,A,A,1,21
B,B,B,B,B,B,B,B,B,A,A,A,1,22
A,A,A,B,B,B,B,B,B,A,A,A,1,23
A,A,A,B,B,B,B,B,B,B,B,B,1,24
A,A,A,B,B,B,B,B,B,B,B,B,1,25
B,B,B,B,B,B,B,B,B,B,B,B,1,26
B,B,B,B,B,B,B,B,B,B,B,B,1,27
A,A,A,B,B,B,B,B,B,A,A,A,1,28
A,A,A,B,B,B,B,B,B,A,A,A,1,29
A,A,A,B,B,B,B,B,B,B,B,B,1,30
B,B,B,B,B,B,B,B,B,B,B,B,1,31
A,A,A,B,B,B,B,B,B,B,B,B,1,32
A,A,A,B,B,B,B,B,B,A,A,A,1,33
A,A,A,B,B,B,B,B,B,B,B,B,1,34
B,B,B,B,B,B,B,B,B,B,B,B,1,35
A,A,A,B,B,B,B,B,B,B,B,B,1,36
A,A,A,B,B,B,B,B,B,B,B,B,1,37
A,A,A,B,B,B,B,B,B,B,B,B,1,38
A,A,A,B,B,B,B,B,B,B,B,B,1,39
A,A,A,B,B,B,B,B,B,B,B,B,1,40
B,B,B,B,B,B,B,B,B,B,B,B,1,41
B,B,B,B,B,B,B,B,B,B,B,B,1,42
A,A,A,B,B,B,B,B,B,B,B,B,1,43
B,B,B,B,B,B,B,B,B,B,B,B,1,44
B,B,B,B,B,B,B,B,B,B,B,B,1,45
B,B,B,B,B,B,B,B,B,B,B,B,1,46
B,B,B,B,B,B,B,B,B,B,B,B,1,47
B,B,B,B,B,B,B,B,B,B,B,B,1,48
_,_,_,_,_,_,_,_,_,_,_,_,2,0
A,A,A,A,A,A,A,A,A,A,A,A,2,1
A,A,A,A,A,A,A,A,A,A,A,A,2,2
A,A,A,A,A,A,A,A,A,A,A,A,2,3
A,A,A,A,A,A,A,A,A,A,A,A,2,4
A,A,A,A,A,A,A,A,A,A,A,A,2,5
A,A,A,A,A,A,A,A,A,A,A,A,2,6
A,A,A,A,A,A,A,A,A,A,A,A,2,7
A,A,A,A,A,A,A,A,A,A,A,A,2,8
A,A,A,A,A,A,A,A,A,A,A,A,2,9
A,A,A,A,A,A,B,B,B,A,A,A,2,10
A,A,A,A,A,A,A,A,A,A,A,A,2,11
A,A,A,A,A,A,A,A,A,A,A,A,2,12
A,A,A,A,A,A,A,A,A,A,A,A,2,13
A,A,A,B,B,B,A,A,A,A,A,A,2,14
B,B,B,B,B,B,A,A,A,B,B,B,2,15
B,B,B,B,B,B,B,B,B,B,B,B,2,16
B,B,B,B,B,B,B,B,B,B,B,B,2,17
B,B,B,B,B,B,B,B,B,B,B,B,2,18
B,B,B,B,B,B,B,B,B,B,B,B,2,19
B,B,B,B,B,B,B,B,B,B,B,B,2,20
B,B,B,B,B,B,A,A,A,B,B,B,2,21
B,B,B,B,B,B,A,A,A,B,B,B,2,22
B,B,B,B,B,B,A,A,A,B,B,B,2,23
B,B,B,B,B,B,B,B,B,B,B,B,2,24
B,B,B,B,B,B,B,B,B,B,B,B,2,25
B,B,B,B,B,B,B,B,B,B,B,B,2,26
B,B,B,B,B,B,B,B,B,B,B,B,2,27
B,B,B,B,B,B,B,B,B,B,B,B,2,28
A,A,A,B,B,B,B,B,B,B,B,B,2,29
B,B,B,B,B,B,B,B,B,B,B,B,2,30
B,B,B,B,B,B,B,B,B,A,A,A,2,31
A,A,A,B,B,B,B,B,B,B,B,B,2,32
B,B,B,B,B,B,B,B,B,B,B,B,2,33
B,B,B,B,B,B,B,B,B,B,B,B,2,34
B,B,B,B,B,B,B,B,B,B,B,B,2,35
B,B,B,B,B,B,B,B,B,B,B,B,2,36
B,B,B,B,B,B,B,B,B,B,B,B,2,37
A,A,A,B,B,B,B,B,B,B,B,B,2,38
A,A,A,B,B,B,B,B,B,B,B,B,2,39
A,A,A,B,B,B,B,B,B,B,B,B,2,40
A,A,A,B,B,B,B,B,B,B,B,B,2,41
B,B,B,B,B,B,B,B,B,B,B,B,2,42
B,B,B,B,B,B,B,B,B,A,A,A,2,43
B,B,B,B,B,B,B,B,B,B,B,B,2,44
B,B,B,B,B,B,B,B,B,B,B,B,2,45
B,B,B,B,B,B,B,B,B,B,B,B,2,46
B,B,B,B,B,B,B,B,B,B,B,B,2,47
B,B,B,B,B,B,B,B,B,B,B,B,2,48
A,A,A,B,B,B,B,B,B,B,B,B,2,49
_,_,_,_,_,_,_,_,_,_,_,_,3,0
A,A,A,A,A,A,A,A,A,A,A,A,3,1
A,A,A,A,A,A,A,A,A,A,A,A,3,2
B,B,B,A,A,A,A,A,A,B,B,B,3,3
A,A,A,A,A,A,A,A,A,B,B,B,3,4
A,A,A,A,A,A,A,A,A,A,A,A,3,5
A,A,A,A,A,A,A,A,A,B,B,B,3,6
A,A,A,B,B,B,B,B,B,A,A,A,3,7
A,A,A,B,B,B,B,B,B,A,A,A,3,8
A,A,A,B,B,B,B,B,B,A,A,A,3,9
B,B,B,A,A,A,B,B,B,A,A,A,3,10
B,B,B,B,B,B,B,B,B,A,A,A,3,11
B,B,B,B,B,B,B,B,B,A,A,A,3,12
B,B,B,B,B,B,B,B,B,A,A,A,3,13
B,B,B,B,B,B,B,B,B,A,A,A,3,14
B,B,B,B,B,B,B,B,B,A,A,A,3,15
B,B,B,B,B,B,B,B,B,A,A,A,3,16
B,B,B,B,B,B,B,B,B,A,A,A,3,17
A,A,A,B,B,B,B,B,B,B,B,B,3,18
B,B,B,B,B,B,B,B,B,B,B,B,3,19
A,A,A,B,B,B,B,B,B,B,B,B,3,20
B,B,B,B,B,B,B,B,B,B,B,B,3,21
B,B,B,B,B,B,B,B,B,B,B,B,3,22
B,B,B,B,B,B,B,B,B,B,B,B,3,23
A,A,A,B,B,B,B,B,B,B,B,B,3,24
A,A,A,B,B,B,B,B,B,B,B,B,3,25
A,A,A,B,B,B,B,B,B,B,B,B,3,26
A,A,A,B,B,B,B,B,B,B,B,B,3,27
A,A,A,B,B,B,B,B,B,B,B,B,3,28
A,A,A,B,B,B,B,B,B,B,B,B,3,29
A,A,A,B,B,B,B,B,B,B,B,B,3,30
A,A,A,B,B,B,B,B,B,B,B,B,3,31
A,A,A,B,B,B,B,B,B,B,B,B,3,32
B,B,B,B,B,B,B,B,B,B,B,B,3,33
B,B,B,B,B,B,B,B,B,B,B,B,3,34
B,B,B,B,B,B,B,B,B,B,B,B,3,35
B,B,B,B,B,B,B,B,B,B,B,B,3,36
B,B,B,B,B,B,B,B,B,B,B,B,3,37
B,B,B,B,B,B,B,B,B,B,B,B,3,38
B,B,B,B,B,B,B,B,B,B,B,B,3,39
B,B,B,B,B,B,B,B,B,B,B,B,3,40
B,B,B,B,B,B,B,B,B,B,B,B,3,41
B,B,B,B,B,B,B,B,B,B,B,B,3,42
B,B,B,B,B,B,B,B,B,B,B,B,3,43
B,B,B,B,B,B,B,B,B,B,B,B,3,44
B,B,B,B,B,B,B,B,B,B,B,B,3,45
B,B,B,B,B,B,B,B,B,B,B,B,3,46
B,B,B,B,B,B,B,B,B,B,B,B,3,47
B,B,B,B,B,B,B,B,B,B,B,B,3,48
B,B,B,B,B,B,B,B,B,B,B,B,3,49
_,_,_,_,_,_,_,_,_,_,_,_,4,0
A,A,A,A,A,A,B,B,B,A,A,A,4,1
A,A,A,A,A,A,B,B,B,A,A,A,4,2
A,A,A,A,A,A,B,B,B,B,B,B,4,3
A,A,A,A,A,A,B,B,B,B,B,B,4,4
A,A,A,B,B,B,B,B,B,B,B,B,4,5
B,B,B,B,B,B,B,B,B,A,A,A,4,6
A,A,A,A,A,A,B,B,B,B,B,B,4,7
A,A,A,A,A,A,B,B,B,A,A,A,4,8
A,A,A,A,A,A,B,B,B,A,A,A,4,9
A,A,A,A,A,A,B,B,B,A,A,A,4,10
A,A,A,A,A,A,B,B,B,A,A,A,4,11
A,A,A,A,A,A,B,B,B,A,A,A,4,12
A,A,A,A,A,A,B,B,B,A,A,A,4,13
A,A,A,B,B,B,B,B,B,A,A,A,4,14
A,A,A,A,A,A,B,B,B,A,A,A,4,15
A,A,A,B,B,B,B,B,B,A,A,A,4,16
B,B,B,B,B,B,B,B,B,B,B,B,4,17
A,A,A,B,B,B,B,B,B,B,B,B,4,18
A,A,A,B,B,B,B,B,B,A,A,A,4,19
B,B,B,B,B,B,B,B,B,A,A,A,4,20
B,B,B,B,B,B,B,B,B,B,B,B,4,21
B,B,B,B,B,B,B,B,B,B,B,B,4,22
B,B,B,B,B,B,B,B,B,B,B,B,4,23
