episode,step,agent0_rew,agent1_rew,agent2_rew,agent3_rew
200, 9950, -94.74288639352828, -92.80855324161439, -100.75917125322782, -91.84792143250678
400, 19950, -88.2849873155563, -89.50120709165479, -96.2500341934845, -98.49194005275149
600, 29950, -92.2444250038448, -89.86142323629814, -86.02777112678547, -86.04645410029413
800, 39950, -94.16665137005148, -96.73490777915252, -85.31691871697268, -92.23710465623306
1000, 49950, -86.55737509455652, -87.66114862908405, -96.21994751777629, -100.06527332133847
1200, 59950, -319.35672131869495, -554.767720835182, -146.36244472435877, -104.23897670104797
1400, 69950, -65.40676780252808, -69.99416862816436, -90.32471437438726, -89.2767881341101
1600, 79950, -73.8875541344889, -68.37917910838851, -86.17906045878912, -68.76854025487455
1800, 89950, -76.8137097824571, -55.232124365740695, -69.10854458605449, -56.8894181644945
2000, 99950, -57.91114338160785, -47.344162538307664, -51.93068527514297, -45.36562909326829
2200, 109950, -42.35569940368766, -37.87559824223533, -43.2469483708939, -36.43570257908417
2400, 119950, -36.18690650349001, -34.935375418677715, -35.99413238816246, -33.83468952286827
2600, 129950, -38.42824379381062, -36.22263369189475, -41.337582972358526, -36.72062854812164
2800, 139950, -36.40185247313233, -36.162068237017166, -36.92428285823385, -33.73356187127816
3000, 149950, -35.2191340758712, -35.49990970216914, -34.007635709386115, -33.9960445208407
3200, 159950, -33.873391209064664, -33.59881789174211, -33.159068479379805, -30.588054160232538
3400, 169950, -36.98813236351333, -36.252283922282814, -38.60587279180083, -36.27485524724599
3600, 179950, -31.19037610888876, -30.682974681329494, -30.67277354994764, -29.636821356097265
3800, 189950, -31.77298121919016, -31.21714723560061, -32.343206533365795, -29.24110606005668
4000, 199950, -34.456815994318106, -38.11074756393934, -34.488710878035484, -30.63448460379379
4200, 209950, -37.66095985500532, -33.824588088641285, -38.85654518933689, -32.68077329252283
4400, 219950, -32.023565820300796, -29.264468441107592, -30.975038536918035, -29.829016227317698
4600, 229950, -27.931451719998144, -27.370579070141947, -29.110696444726408, -29.330624218133398
4800, 239950, -25.95867669885687, -26.562733737375492, -28.50657294081722, -27.447966409256633
5000, 249950, -26.26576273993478, -27.156305289736043, -28.147609080036528, -29.42126475025516
5200, 259950, -24.073229111644142, -23.163874458895954, -25.58668826366422, -26.246657639811747
5400, 269950, -23.792624547099223, -25.193248370905067, -26.24859452566475, -29.703796243997605
5600, 279950, -23.47480344324786, -25.948742331163004, -26.70209923723344, -29.021419794680114
5800, 289950, -25.50206563476202, -27.987920190461526, -29.384136583611195, -30.025276986834633
6000, 299950, -23.195898189564296, -25.344172519913617, -25.894947080342618, -27.677560499211896
6200, 309950, -22.25830023085256, -24.797231242693673, -26.241076381422964, -27.085093137270196
6400, 319950, -22.392546800267464, -24.027370148212857, -24.407360419466123, -26.80933833625475
6600, 329950, -21.934729137072992, -23.09079233223744, -25.45460895787596, -25.175367069663263
6800, 339950, -22.35850131797567, -25.49046839929403, -26.09658808989493, -25.98791222522884
7000, 349950, -26.324919220069624, -28.032648297908292, -27.823946797080918, -30.95295036483868
7200, 359950, -27.713138874067035, -30.835593408454017, -28.571430432396497, -31.02122104644273
7400, 369950, -23.809191692426268, -28.729098443462405, -26.952587259369942, -26.571653971127652
7600, 379950, -23.032413733657574, -26.14325274101324, -25.856897475662798, -26.2005026939771
7800, 389950, -25.61903845433125, -27.477993371360263, -27.909956477093402, -28.453430574205548
8000, 399950, -22.06409400491987, -25.110330671265757, -25.088852694845063, -24.58513525711409
8200, 409950, -25.751375507465323, -28.73510310008932, -26.510029379146317, -26.037586099416643
8400, 419950, -22.640360730727075, -24.467485038324035, -25.7972622399885, -27.445326484803477
8600, 429950, -24.431359880702658, -24.59235304493762, -26.36793450151113, -27.550254309175447
8800, 439950, -24.970467203228544, -25.20333348932185, -27.966943799474457, -29.62576675109988
9000, 449950, -21.909550929247064, -25.448400368976422, -26.768272672495264, -27.699761428706697
9200, 459950, -19.820784191222618, -20.694771262872493, -24.98695608390676, -24.322637382204377
9400, 469950, -20.443543030102614, -22.060684133326312, -24.753739343344833, -24.06772629664084
9600, 479950, -19.022728795031068, -20.86618271210541, -23.081049588702808, -21.784016866508168
9800, 489950, -22.126989414313222, -22.24027963620733, -25.821130186888812, -24.57403580248386
10000, 499950, -21.263121899671287, -21.959056535464143, -25.793142387237317, -25.17573082745931
10200, 509950, -18.28336353923243, -22.133327088309773, -23.541495810245923, -20.39770519412752
10400, 519950, -22.187351711416632, -22.722802185727115, -25.854593130003142, -23.895305112967943
10600, 529950, -21.87296422782002, -23.537130128901865, -26.746043275815286, -26.142045895645424
10800, 539950, -21.30338104690637, -21.812336519331957, -26.203263112801483, -24.454852695921662
11000, 549950, -21.301515155186618, -23.670549008673223, -27.126195829431445, -25.852646397105463
11200, 559950, -22.032944701902075, -22.871299329881232, -24.622227774269607, -21.761581400455825
11400, 569950, -20.907229973413017, -22.193223242784548, -26.744711414268767, -22.267473649203904
11600, 579950, -19.359952406262117, -20.769631161418282, -24.544506858903947, -21.464650859192226
11800, 589950, -20.732074605531494, -22.03808306059268, -25.927921306840325, -23.291901449995958
12000, 599950, -20.111475190886786, -20.678689387477224, -25.317260101924305, -23.07465437321081
12200, 609950, -20.90591729228624, -19.54308822951795, -24.394987314702757, -23.509927613709543
12400, 619950, -18.345449974251377, -18.461184255441342, -21.845921262457885, -20.188993563608527
12600, 629950, -20.674516581340928, -20.53450298704958, -24.46012821330802, -22.154078466131196
12800, 639950, -21.683759974297587, -20.954107028101475, -26.252300348864537, -23.55863717447556
13000, 649950, -21.435038059383515, -22.637485302350452, -25.5122278986006, -22.771395452045617
13200, 659950, -19.886045213919793, -19.802387807154695, -23.448680491672214, -21.88396187114944
13400, 669950, -17.446306419272386, -20.94088048775642, -24.565247342885367, -20.50235909326835
13600, 679950, -18.25913625781583, -20.243228907583116, -24.462618493992796, -19.209942127167714
13800, 689950, -20.090116313440458, -21.657368052259404, -25.76138809490725, -23.025752401665414
14000, 699950, -23.113219408578953, -24.705353401437886, -29.064935926648012, -25.331257009533857
14200, 709950, -19.50053469637794, -22.50426282831458, -26.294657166636416, -21.375750205328877
14400, 719950, -18.66756232790811, -20.50710851679872, -25.460893875932907, -20.689616490717455
14600, 729950, -22.0276829329069, -22.595249919812588, -25.299899639264314, -23.770288912390725
14800, 739950, -19.04082977750546, -21.68024798569492, -24.21674029582295, -19.920563060246906
15000, 749950, -17.923646068040995, -21.283363082327988, -22.088932668417783, -19.45933593033211
15200, 759950, -21.19342346113038, -23.227601165670777, -24.69659246781587, -21.909202127178652
15400, 769950, -21.725549663182957, -24.4287787328848, -25.601957105547548, -24.6285569030569
15600, 779950, -22.153410638519052, -24.61186121408176, -26.01328520403208, -23.27120477522024
15800, 789950, -18.474539479279166, -22.65300674494928, -21.45286310577505, -22.375231912247603
16000, 799950, -19.749357717657333, -22.011689086780994, -23.76762241301277, -23.81209125654648
16200, 809950, -18.48457088790759, -20.118426049093024, -22.579019528211465, -20.366494703023715
16400, 819950, -21.506978844159484, -25.029653916646712, -26.288110721777613, -23.0218819602601
16600, 829950, -20.949407479202424, -23.263537318070043, -23.05687733878166, -22.286580446998833
16800, 839950, -21.58010543537205, -22.84309880944248, -23.89625026560508, -21.801870590172317
17000, 849950, -22.207684109020242, -24.92528677214648, -26.176930558473096, -24.169420253199814
17200, 859950, -21.75545202182033, -22.5060092201938, -23.2376789909879, -23.340754999740447
17400, 869950, -19.889319749359714, -21.62214657661276, -21.8804645142951, -21.090059929927843
17600, 879950, -20.7883993194048, -21.49665835740116, -24.290039526583573, -20.564632875910043
17800, 889950, -22.1330535897394, -23.38753309439926, -24.84614615687362, -22.56595873437735
18000, 899950, -20.3468302224501, -21.86936221982618, -24.197714794943565, -22.181495458043486
18200, 909950, -19.990606263497718, -19.570020898463792, -21.789181796966155, -20.812145838765638
18400, 919950, -21.25732465546218, -20.526107082349945, -22.292712888447387, -22.0275247804382
18600, 929950, -20.11347417906515, -22.855672287453125, -23.28704919900846, -22.75577076727159
18800, 939950, -22.256507207214895, -22.154911541198544, -24.550396600103912, -21.406007068658266
19000, 949950, -20.211553907057255, -21.454525674802603, -23.38451897127171, -21.0725162737192
19200, 959950, -20.373685362205812, -20.926550313515254, -23.374344126049138, -22.179727366289363
19400, 969950, -20.59802151244665, -21.89701393830301, -23.776499499041073, -21.913495138983368
19600, 979950, -20.405459490712975, -20.82298207740858, -21.778233389911858, -20.67036048759163
19800, 989950, -20.462944496710453, -21.50240313372963, -22.879335777646958, -19.498831760087057
20000, 999950, -19.792784723920704, -20.5525254303678, -23.161410263096396, -20.812854268385102
20200, 1009950, -18.70052938681401, -20.65956349466126, -21.919995671886596, -20.1934355163785
20400, 1019950, -20.893775968591452, -22.610815622247266, -24.605596819471245, -23.672146960785756
20600, 1029950, -19.191330664156613, -20.39271193438446, -20.69156855344121, -19.394933177761907
20800, 1039950, -20.252159343093606, -22.0325548939371, -23.149426283392994, -20.885605307391135
21000, 1049950, -20.42983837294207, -19.60755496701148, -22.870939849766156, -20.686993984563813
21200, 1059950, -21.15169229487037, -21.362956332956223, -22.980535447758506, -20.985380014449184
21400, 1069950, -19.789686582913742, -21.735691177696445, -23.592798866092195, -22.50630497354518
21600, 1079950, -19.01361749639688, -19.641397734492998, -21.11122351589596, -18.76104188679342
21800, 1089950, -17.055385173337555, -16.436605476822823, -20.81784990100524, -19.262948086090855
22000, 1099950, -19.060898276268414, -20.08232639258837, -24.154691032988676, -19.73786516188102
22200, 1109950, -20.796191116556273, -23.063939976622756, -24.32409685254186, -22.26212594036815
22400, 1119950, -17.627916215226865, -22.109010085624917, -20.859183423652368, -17.572277489180703
22600, 1129950, -18.474657851100382, -22.023593434246408, -22.56667304257866, -19.122943832256986
22800, 1139950, -19.63702973049042, -20.90869461062316, -22.11944491571441, -20.34065428511518
23000, 1149950, -19.31386220636245, -20.31916105736733, -22.185138039418206, -18.54052681906484
23200, 1159950, -18.734112329526248, -20.21697327053109, -22.171261686284094, -19.25595064498368
23400, 1169950, -19.716888895135984, -19.08197205599895, -21.792322778879708, -19.863038459470562
23600, 1179950, -21.820779709183107, -20.309827716789147, -23.149952556273888, -21.676146179798074
23800, 1189950, -20.198872429237255, -20.935079904213794, -23.80212419833168, -20.185427101614636
24000, 1199950, -20.77033040010628, -20.585166477473, -24.847485461875426, -22.38603675228911
