a0_to_a1,a1_to_a0,episode,step
C,_,1,0
C,_,1,1
C,_,1,2
C,_,1,3
C,_,1,4
C,_,1,5
C,_,1,6
C,_,1,7
C,_,1,8
C,_,1,9
C,_,1,10
C,_,1,11
C,_,1,12
C,_,1,13
C,_,1,14
C,_,1,15
C,_,1,16
C,_,1,17
C,_,1,18
C,_,1,19
C,_,1,20
C,_,1,21
C,_,1,22
C,_,1,23
_,_,2,0
B,_,2,1
B,_,2,2
B,_,2,3
B,_,2,4
B,_,2,5
B,_,2,6
B,_,2,7
B,_,2,8
B,_,2,9
B,_,2,10
B,_,2,11
B,_,2,12
B,_,2,13
B,_,2,14
B,_,2,15
B,_,2,16
B,_,2,17
B,_,2,18
B,_,2,19
B,_,2,20
B,_,2,21
B,_,2,22
B,_,2,23
B,_,2,24
_,_,3,0
B,_,3,1
B,_,3,2
B,_,3,3
B,_,3,4
B,_,3,5
B,_,3,6
B,_,3,7
B,_,3,8
B,_,3,9
B,_,3,10
B,_,3,11
B,_,3,12
B,_,3,13
B,_,3,14
B,_,3,15
B,_,3,16
B,_,3,17
B,_,3,18
B,_,3,19
B,_,3,20
B,_,3,21
B,_,3,22
B,_,3,23
B,_,3,24
