a0_to_a1,a1_to_a0,episode,step
B,_,1,0
A,_,1,1
A,_,1,2
C,_,1,3
A,_,1,4
C,_,1,5
B,_,1,6
B,_,1,7
A,_,1,8
A,_,1,9
B,_,1,10
B,_,1,11
C,_,1,12
B,_,1,13
A,_,1,14
B,_,1,15
B,_,1,16
B,_,1,17
B,_,1,18
A,_,1,19
B,_,1,20
B,_,1,21
A,_,1,22
B,_,1,23
_,_,2,0
A,_,2,1
A,_,2,2
A,_,2,3
A,_,2,4
B,_,2,5
B,_,2,6
A,_,2,7
B,_,2,8
A,_,2,9
B,_,2,10
B,_,2,11
B,_,2,12
B,_,2,13
B,_,2,14
C,_,2,15
A,_,2,16
A,_,2,17
C,_,2,18
B,_,2,19
B,_,2,20
B,_,2,21
B,_,2,22
A,_,2,23
C,_,2,24
_,_,3,0
B,_,3,1
B,_,3,2
A,_,3,3
C,_,3,4
A,_,3,5
B,_,3,6
A,_,3,7
A,_,3,8
A,_,3,9
B,_,3,10
B,_,3,11
B,_,3,12
B,_,3,13
B,_,3,14
A,_,3,15
B,_,3,16
B,_,3,17
B,_,3,18
C,_,3,19
B,_,3,20
B,_,3,21
B,_,3,22
B,_,3,23
C,_,3,24
