step, agent0_rew, agent1_rew, agent2_rew, agent3_rew
1000, 7.65, 7.65, 7.65, -145.02773493487348
2000, 9.76, 9.76, 9.76, -54.2287131428274
3000, 137.41, 137.41, 137.41, -177.30983438268032
4000, 116.21, 116.21, 116.21, -153.9155224566191
5000, 65.09, 65.09, 65.09, -88.26145520814983
6000, 66.56, 66.56, 66.56, -79.03579085248622
7000, 62.48, 62.48, 62.48, -67.85673211917577
8000, 229.47, 229.47, 229.47, -240.77500750779006
9000, 227.91, 227.91, 227.91, -277.70007153050193
10000, 117.36, 117.36, 117.36, -149.34847454261185
11000, 128.3, 128.3, 128.3, -167.0775053298197
12000, 160.82, 160.82, 160.82, -188.9263888250103
13000, 136.45, 136.45, 136.45, -160.9463584670965
14000, 118.99, 118.99, 118.99, -147.56798905188987
15000, 104.46, 104.46, 104.46, -152.42213237277105
16000, 69.44, 69.44, 69.44, -122.77530143980337
17000, 58.51, 58.51, 58.51, -103.081787438139
18000, 49.28, 49.28, 49.28, -82.33548614535577
19000, 59.01, 59.01, 59.01, -87.92474248306077
20000, 64.75, 64.75, 64.75, -96.74550061560909
21000, 62.41, 62.41, 62.41, -97.15546292797944
22000, 66.26, 66.26, 66.26, -103.73832984498775
23000, 64.39, 64.39, 64.39, -106.20374288397838
24000, 70.73, 70.73, 70.73, -103.19749109415497
25000, 64.94, 64.94, 64.94, -99.09150261393252
26000, 67.67, 67.67, 67.67, -99.54581705113239
27000, 71.4, 71.4, 71.4, -100.13830047293462
28000, 69.56, 69.56, 69.56, -95.52584461918825
29000, 68.15, 68.15, 68.15, -97.29989077785218
30000, 65.8, 65.8, 65.8, -94.65308098828584
31000, 59.39, 59.39, 59.39, -91.62656273154798
32000, 56.94, 56.94, 56.94, -88.0760119643974
33000, 58.25, 58.25, 58.25, -88.14263752271863
34000, 55.26, 55.26, 55.26, -86.7994355827487
35000, 58.4, 58.4, 58.4, -83.2289688799705
36000, 49.7, 49.7, 49.7, -76.09724544601536
37000, 51.03, 51.03, 51.03, -77.01707339032059
38000, 55.08, 55.08, 55.08, -82.73163335706954
39000, 53.57, 53.57, 53.57, -83.42048147045888
40000, 58.99, 58.99, 58.99, -90.72263584970334
