episode, step, agent0_rew, agent1_rew, agent2_rew, agent3_rew
1000, 26315, 2.66, 2.66, 2.66, -12.649449190759992
2000, 56591, 4.67, 4.67, 4.67, -13.680730329976159
3000, 91477, 5.68, 5.68, 5.68, -6.324761721073601
4000, 131626, 9.43, 9.43, 9.43, -10.217010407027374
5000, 177788, 23.17, 23.17, 23.17, -25.609189069974903
6000, 230925, 73.99, 73.99, 73.99, -86.09810489693508
7000, 292007, 92.55, 92.55, 92.55, -108.48569298590385
8000, 362267, 94.73, 94.73, 94.73, -121.33555863067826
9000, 443035, 53.11, 53.11, 53.11, -84.73327266625847
10000, 535895, 47.33, 47.33, 47.33, -86.07287082033433
11000, 642641, 43.66, 43.66, 43.66, -77.60725025308648
12000, 765327, 47.54, 47.54, 47.54, -79.50365854142883
13000, 906336, 68.97, 68.97, 68.97, -117.46780652792476
14000, 1068379, 45.71, 45.71, 45.71, -93.84688696507935
15000, 1254599, 60.98, 60.98, 60.98, -92.53206399849127
16000, 1454598, 150.0, 150.0, 150.0, -176.04027561223037
17000, 1654598, 141.75, 141.75, 141.75, -194.10631448533385
18000, 1854598, 121.78, 121.78, 121.78, -213.61054883389147
19000, 2054598, 129.37, 129.37, 129.37, -219.51618279558852
20000, 2254598, 108.09, 108.09, 108.09, -203.1932641734602
21000, 2454598, 115.15, 115.15, 115.15, -198.47268531697145
22000, 2654598, 108.0, 108.0, 108.0, -190.44763656440023
23000, 2854598, 106.23, 106.23, 106.23, -177.2305871585238
24000, 3054598, 118.18, 118.18, 118.18, -200.10377317763965
25000, 3254598, 119.18, 119.18, 119.18, -184.0066219519427
26000, 3454598, 127.34, 127.34, 127.34, -186.06367321098304
27000, 3654598, 152.58, 152.58, 152.58, -220.01512875110964
28000, 3854598, 140.44, 140.44, 140.44, -207.45787517649694
29000, 4054598, 123.37, 123.37, 123.37, -185.7706633746165
30000, 4254598, 127.73, 127.73, 127.73, -192.69710368612857
31000, 4454598, 127.06, 127.06, 127.06, -190.95352197372094
32000, 4654598, 111.71, 111.71, 111.71, -192.43043970428738
33000, 4854598, 125.14, 125.14, 125.14, -181.99690217434224
34000, 5054598, 152.71, 152.71, 152.71, -223.89681906752142
35000, 5254598, 144.98, 144.98, 144.98, -213.8937912480547
36000, 5454598, 151.04, 151.04, 151.04, -231.77296565508257
37000, 5654598, 145.73, 145.73, 145.73, -222.52396327544008
38000, 5854598, 117.04, 117.04, 117.04, -195.12803622628073
39000, 6054598, 114.73, 114.73, 114.73, -191.5218348894241
40000, 6254598, 83.82, 83.82, 83.82, -165.0229290735266
