episode, step, total_reward
1000, 25408, -0.892172
2000, 52660, -1.512923
3000, 81885, 9.588490
4000, 113217, 9.828588
5000, 146916, 32.991431
6000, 182997, 37.660148
7000, 221756, 24.067052
8000, 263306, 28.046797
9000, 307869, 26.585984
10000, 355637, 18.713072
11000, 406940, 14.819322
12000, 461923, 18.688212
13000, 520889, 27.228752
14000, 584098, 36.591663
15000, 651925, 56.795058
16000, 724634, 50.081254
17000, 802600, 24.557839
18000, 886188, 26.960414
19000, 975835, 60.311200
20000, 1071923, 64.560081
21000, 1174970, 83.437695
22000, 1285436, 113.468354
23000, 1403866, 106.837592
24000, 1530832, 111.306029
25000, 1666959, 111.167850
26000, 1812882, 97.743777
27000, 1969314, 98.519051
28000, 2137004, 117.894021
29000, 2316778, 139.896926
30000, 2509476, 187.362389
31000, 2709475, 198.280782
32000, 2909475, 166.412839
33000, 3109475, 137.893498
34000, 3309475, 159.470155
35000, 3509475, 173.136554
36000, 3709475, 161.649772
37000, 3909475, 159.065970
38000, 4109475, 225.255255
39000, 4309475, 237.268848
40000, 4509475, 240.198500
