episode,step,agent0_rew,agent1_rew,agent2_rew,agent3_rew
1000, 25408, 2.38, 2.38, 2.38, -7.387252232475974
2000, 52660, 4.8, 4.8, 4.8, -19.45940134343502
3000, 81885, 5.72, 5.72, 5.72, -6.558567359660379
4000, 113217, 21.08, 21.08, 21.08, -22.240319201119526
5000, 146916, 55.12, 55.12, 55.12, -61.62317274899669
6000, 182997, 15.36, 15.36, 15.36, -23.044809692006506
7000, 221756, 13.22, 13.22, 13.22, -19.776146872412703
8000, 263306, 12.6, 12.6, 12.6, -16.612984715809617
9000, 307869, 17.74, 17.74, 17.74, -21.105948201869346
10000, 355637, 23.91, 23.91, 23.91, -27.991458011556936
11000, 406940, 49.29, 49.29, 49.29, -52.2193348304246
12000, 461923, 63.42, 63.42, 63.42, -69.65109229885428
13000, 520889, 45.05, 45.05, 45.05, -65.3541213292369
14000, 584098, 33.13, 33.13, 33.13, -54.94149545376782
15000, 651925, 38.29, 38.29, 38.29, -52.913818291712325
16000, 724634, 72.18, 72.18, 72.18, -86.38281428572571
17000, 802600, 99.63, 99.63, 99.63, -123.07383202624946
18000, 886188, 113.59, 113.59, 113.59, -145.09492717213442
19000, 975835, 65.59, 65.59, 65.59, -106.28436437572579
20000, 1071923, 57.14, 57.14, 57.14, -91.00054473740423
21000, 1174970, 49.78, 49.78, 49.78, -85.18568594011967
22000, 1285436, 48.76, 48.76, 48.76, -86.75795066744553
23000, 1403866, 50.68, 50.68, 50.68, -92.56013656980753
24000, 1530832, 58.39, 58.39, 58.39, -96.66167881813045
25000, 1666959, 75.31, 75.31, 75.31, -131.15330613838108
26000, 1812882, 96.24, 96.24, 96.24, -172.6810982532031
27000, 1969314, 84.48, 84.48, 84.48, -143.28385967590754
28000, 2137004, 95.8, 95.8, 95.8, -153.27896129081572
29000, 2316778, 74.54, 74.54, 74.54, -134.80479815471196
30000, 2509476, 90.84, 90.84, 90.84, -149.22285958918414
31000, 2709475, 130.67, 130.67, 130.67, -204.62757853482378
32000, 2909475, 150.41, 150.41, 150.41, -215.6254362234415
33000, 3109475, 146.18, 146.18, 146.18, -222.7123727897868
34000, 3309475, 133.24, 133.24, 133.24, -214.30319712403207
35000, 3509475, 146.91, 146.91, 146.91, -230.71649020084962
36000, 3709475, 138.34, 138.34, 138.34, -216.84592571175466
37000, 3909475, 138.78, 138.78, 138.78, -221.47710088092467
38000, 4109475, 125.37, 125.37, 125.37, -204.69269292634422
39000, 4309475, 130.26, 130.26, 130.26, -209.80167659249258
40000, 4509475, 121.88, 121.88, 121.88, -205.20475540164315
41000, 4709475, 123.6, 123.6, 123.6, -210.9958886145413
42000, 4909475, 126.11, 126.11, 126.11, -206.87590220407094
43000, 5109475, 136.8, 136.8, 136.8, -212.59815122718982
44000, 5309475, 136.94, 136.94, 136.94, -207.860827165169
45000, 5509475, 133.7, 133.7, 133.7, -203.88219915245188
46000, 5709475, 122.86, 122.86, 122.86, -194.17563820083294
47000, 5909475, 125.61, 125.61, 125.61, -205.017745564469
48000, 6109475, 125.0, 125.0, 125.0, -204.89320969206784
49000, 6309475, 126.36, 126.36, 126.36, -208.0553942165058
50000, 6509475, 132.45, 132.45, 132.45, -207.5610370843552
