episode,step,total_reward
1000, 25408, -0.247252
2000, 52660, -5.059401
3000, 81885, 10.601433
4000, 113217, 40.999681
5000, 146916, 103.736827
6000, 182997, 23.035190
7000, 221756, 19.883853
8000, 263306, 21.187015
9000, 307869, 32.114052
10000, 355637, 43.738542
11000, 406940, 95.650665
12000, 461923, 120.608908
13000, 520889, 69.795879
14000, 584098, 44.448505
15000, 651925, 61.956182
16000, 724634, 130.157186
17000, 802600, 175.816168
18000, 886188, 195.675073
19000, 975835, 90.485636
20000, 1071923, 80.419455
21000, 1174970, 64.154314
22000, 1285436, 59.522049
23000, 1403866, 59.479863
24000, 1530832, 78.508321
25000, 1666959, 94.776694
26000, 1812882, 116.038902
27000, 1969314, 110.156140
28000, 2137004, 134.121039
29000, 2316778, 88.815202
30000, 2509476, 123.297140
31000, 2709475, 187.382421
32000, 2909475, 235.604564
33000, 3109475, 215.827627
34000, 3309475, 185.416803
35000, 3509475, 210.013510
36000, 3709475, 198.174074
37000, 3909475, 194.862899
38000, 4109475, 171.417307
39000, 4309475, 180.978323
40000, 4509475, 160.435245
41000, 4709475, 159.804111
42000, 4909475, 171.454098
43000, 5109475, 197.801849
44000, 5309475, 202.959173
45000, 5509475, 197.217801
46000, 5709475, 174.404362
47000, 5909475, 171.812254
48000, 6109475, 170.106790
49000, 6309475, 171.024606
50000, 6509475, 189.788963
51000, 6709275, 224.861507
52000, 6909275, 213.753279
53000, 7109275, 196.513492
54000, 7309275, 203.210848
55000, 7509275, 220.782054
56000, 7709275, 243.047558
57000, 7909275, 243.796666
58000, 8109275, 240.502860
59000, 8309275, 194.587949
60000, 8509275, 191.243000
61000, 8709275, 203.861409
62000, 8909275, 194.800949
63000, 9109275, 209.622862
64000, 9309275, 222.680059
65000, 9509275, 207.732015
66000, 9709275, 107.219559
67000, 9909275, 170.552872
68000, 10109275, 200.879705
69000, 10309275, 176.146528
70000, 10509275, 196.912428
71000, 10709275, 239.537388
72000, 10909275, 215.042963
73000, 11109275, 216.390458
74000, 11309275, 212.351051
75000, 11509275, 206.987387
76000, 11709275, 229.577915
77000, 11909275, 157.462414
78000, 12109275, 187.596703
79000, 12309275, 144.216582
80000, 12509275, 232.273641
