episode,step,total_reward
1000, 25408, -4.295871
2000, 52660, -0.377441
3000, 81885, 9.233562
4000, 113217, 20.885005
5000, 146916, 116.421722
6000, 182997, 96.952849
7000, 221756, 74.288822
8000, 263306, 55.630803
9000, 307869, 36.037791
10000, 355637, 36.528673
11000, 406940, 41.131290
12000, 461923, 31.807677
13000, 520889, 47.188266
14000, 584098, 53.086700
15000, 651925, 52.106072
16000, 724634, 54.609121
17000, 802600, 53.075477
18000, 886188, 64.419647
19000, 975835, 88.179355
20000, 1071923, 122.934715
21000, 1174970, 119.099540
22000, 1285436, 107.604583
23000, 1403866, 78.129520
24000, 1530832, 90.191530
25000, 1666959, 91.390330
26000, 1812882, 82.378610
27000, 1969314, 97.536602
28000, 2137004, 90.964687
29000, 2316778, 99.347000
30000, 2509476, 81.574618
31000, 2709475, 83.058191
32000, 2909475, 60.747197
33000, 3109475, 82.689380
34000, 3309475, 96.218186
35000, 3509475, 91.557786
36000, 3709475, 130.001168
37000, 3909475, 126.339299
38000, 4109475, 123.333002
39000, 4309475, 127.211694
40000, 4509475, 121.320991
41000, 4709475, 119.453236
42000, 4909475, 119.507536
43000, 5109475, 117.429930
44000, 5309475, 129.341538
45000, 5509475, 120.648665
46000, 5709475, 124.419178
47000, 5909475, 143.413082
48000, 6109475, 124.468991
49000, 6309475, 140.999120
50000, 6509475, 136.855249
51000, 6709475, 133.012530
52000, 6909475, 126.113369
53000, 7109475, 132.862768
