episode,step,agent0_rew,agent1_rew,agent2_rew,agent3_rew
1000, 25408, 1.67, 1.67, 1.67, -12.538968310089007
2000, 52660, 4.86, 4.86, 4.86, -9.916658583491708
3000, 81885, 5.61, 5.61, 5.61, -6.333275145248034
4000, 113217, 6.42, 6.42, 6.42, -7.046279417094333
5000, 146916, 11.92, 11.92, 11.92, -13.649325023932189
6000, 182997, 34.83, 34.83, 34.83, -38.38764691316658
7000, 221756, 40.21, 40.21, 40.21, -50.050283641118774
8000, 263306, 42.98, 42.98, 42.98, -54.17307857444221
9000, 307869, 34.02, 34.02, 34.02, -46.41305205389376
10000, 355637, 27.07, 27.07, 27.07, -44.90021276633622
11000, 406940, 24.3, 24.3, 24.3, -43.98287668412056
12000, 461923, 25.97, 25.97, 25.97, -48.73287263792786
13000, 520889, 25.98, 25.98, 25.98, -48.55308715422974
14000, 584098, 27.23, 27.23, 27.23, -48.3592597344406
15000, 651925, 28.35, 28.35, 28.35, -47.86253359050656
16000, 724634, 34.72, 34.72, 34.72, -54.434369371007634
17000, 802600, 36.0, 36.0, 36.0, -56.338665801952125
18000, 886188, 36.6, 36.6, 36.6, -64.14418802879558
19000, 975835, 33.25, 33.25, 33.25, -62.51932055863635
20000, 1071923, 36.74, 36.74, 36.74, -71.65435490286123
21000, 1174970, 39.8, 39.8, 39.8, -69.22398206791603
22000, 1285436, 50.59, 50.59, 50.59, -84.28396692174434
23000, 1403866, 62.77, 62.77, 62.77, -101.007774994259
24000, 1530832, 63.4, 63.4, 63.4, -106.46456228281619
25000, 1666959, 65.75, 65.75, 65.75, -116.70508599064313
26000, 1812882, 77.77, 77.77, 77.77, -130.54167201579534
27000, 1969314, 76.86, 76.86, 76.86, -128.44907341920126
28000, 2137004, 78.5, 78.5, 78.5, -129.41036839948725
29000, 2316778, 78.14, 78.14, 78.14, -124.9694105846748
30000, 2509476, 99.89, 99.89, 99.89, -147.2621659952856
31000, 2709475, 124.08, 124.08, 124.08, -183.74465286188178
32000, 2909475, 120.93, 120.93, 120.93, -175.72977369098564
33000, 3109475, 117.93, 117.93, 117.93, -170.3723629275408
34000, 3309475, 109.4, 109.4, 109.4, -169.48462962342293
35000, 3509475, 112.96, 112.96, 112.96, -180.31613018877798
36000, 3709475, 113.81, 113.81, 113.81, -183.78042906576198
37000, 3909475, 116.34, 116.34, 116.34, -193.27910025171414
38000, 4109475, 110.88, 110.88, 110.88, -183.40741899406234
39000, 4309475, 102.74, 102.74, 102.74, -180.9774913548947
40000, 4509475, 115.16, 115.16, 115.16, -172.28223555484573
41000, 4709475, 128.1, 128.1, 128.1, -184.42703054652986
42000, 4909475, 139.51, 139.51, 139.51, -207.94062334936976
43000, 5109475, 130.24, 130.24, 130.24, -197.47404848663854
44000, 5309475, 113.28, 113.28, 113.28, -179.07342199530643
45000, 5509475, 119.86, 119.86, 119.86, -182.22644465237508
46000, 5709475, 127.02, 127.02, 127.02, -191.03481646291777
47000, 5909475, 141.09, 141.09, 141.09, -209.1679865649531
48000, 6109475, 132.59, 132.59, 132.59, -210.71452859068992
49000, 6309475, 144.46, 144.46, 144.46, -219.4948581550688
50000, 6509475, 148.91, 148.91, 148.91, -228.47944677297195
51000, 6709475, 153.87, 153.87, 153.87, -233.20280497183902
52000, 6909475, 143.5, 143.5, 143.5, -225.71098998984334
