step, total_reward
1000, -1347.269294
2000, -300.677065
3000, 63.744275
4000, 81.955419
5000, 105.807101
6000, 93.477403
7000, 88.991926
8000, 92.056391
9000, 105.527263
10000, 118.381436
11000, 81.152602
12000, 67.886024
13000, 46.775509
14000, 44.221385
15000, 45.511302
16000, 40.777192
17000, 51.379174
18000, 63.259902
19000, 64.134780
20000, 65.599376
21000, 66.533735
22000, 86.011643
23000, 118.987941
24000, 257.426308
25000, 197.021972
26000, 169.164391
27000, 220.769595
28000, 398.826043
29000, 510.141853
30000, 311.309223
31000, 271.662993
32000, 214.489445
33000, 195.248364
34000, 189.487076
35000, 194.632901
36000, 186.504193
37000, 164.915858
38000, 182.870735
39000, 172.205315
40000, 163.539749
