episode, step, agent0_rew, agent1_rew, agent2_rew, agent3_rew, agent4_rew, agent5_rew
1000, 26315, 0.5176024769033126, 0.5269215732571775, 0.5339287456573374, 0.5079191637418891, -24.74195024612941, -29.491744608619555
2000, 56591, 1.3110880903963311, 2.735772402404503, 2.628010089086016, 1.6731692621585914, -12.531737982244824, -3.6022531099797916
3000, 91477, 1.740396239658952, 4.192467314897058, 2.459055913289763, 2.2632703116559116, -2.1527653098491557, -1.1400451723483693
4000, 131626, 6.657152613142591, 7.2498630828608155, 5.49147252109585, 6.119218118239203, -3.415304492387418, -2.421365037711992
5000, 177788, 8.401443682755746, 8.60543756238999, 8.314323055883339, 7.724090468527432, -3.6352090804686266, -4.771053238385868
6000, 230925, 12.090308326207658, 11.579659426495782, 11.808380230937717, 10.710503057418244, -6.73760807474403, -5.042479970852621
7000, 292007, 17.120671479653794, 16.657589030021924, 16.97488211163752, 16.44787473060408, -11.645304681468318, -6.071599059575376
8000, 362267, 16.075985565699995, 16.067922355216755, 16.521118579790674, 16.371455731017985, -9.76643624775013, -9.95119117704728
9000, 443035, 21.59729832391625, 21.545102236998233, 21.99545506089519, 21.49410539970357, -9.746805090699787, -12.707531735121812
10000, 535895, 28.81871793404105, 28.212370004819807, 29.02722561203273, 28.87019990988644, -17.18885369516452, -15.60813715054901
11000, 642641, 31.522616320196896, 28.732358224812504, 32.4326772134382, 31.77029667996306, -19.110103886477013, -16.311187757833935
12000, 765327, 45.61645085849393, 42.95436334890026, 46.06685489266068, 46.40440168937428, -33.11727825231232, -26.81104684706098
13000, 906336, 137.06296741109276, 133.1740563316084, 132.85334351605422, 133.95599831851342, -124.69418070668806, -20.276589058188137
14000, 1068379, 214.86379458024254, 208.5901397905898, 209.77512512603633, 211.69945393169613, -208.31515099324258, -25.124417667472166
15000, 1254599, 120.99690047868778, 114.68813689001436, 117.38430638616546, 119.25982883069615, -129.57851084355374, -14.41068622560929
