episode, step, total_reward
1000, 26315, -52.147323
2000, 56591, -7.785951
3000, 91477, 7.362379
4000, 131626, 19.681037
5000, 177788, 24.639032
6000, 230925, 34.408763
7000, 292007, 49.484114
8000, 362267, 45.318855
9000, 443035, 64.177624
10000, 535895, 82.131523
11000, 642641, 89.036657
12000, 765327, 121.113746
13000, 906336, 392.075596
14000, 1068379, 611.488945
15000, 1254599, 328.339976
16000, 1454598, 191.582236
17000, 1654598, 228.828990
18000, 1854598, 313.452550
19000, 2054598, 394.843286
20000, 2254598, 283.237874
21000, 2454598, 306.902212
22000, 2654598, 243.848612
23000, 2854598, 241.065573
24000, 3054598, 230.895662
25000, 3254598, 198.524621
26000, 3454598, 234.928326
27000, 3654598, 225.554161
28000, 3854598, 233.679887
29000, 4054598, 229.689372
30000, 4254598, 237.048799
31000, 4454598, 233.169714
32000, 4654598, 230.083582
33000, 4854598, 260.429582
34000, 5054598, 317.123215
35000, 5254598, 353.616630
36000, 5454598, 383.856214
37000, 5654598, 318.461842
38000, 5854598, 365.559032
39000, 6054598, 343.975171
40000, 6254598, 364.835336
