episode,step,total_reward
1000, 49950, -154.104910
2000, 99950, -364.192862
3000, 149950, -141.053568
4000, 199950, -125.403431
5000, 249950, -106.891509
6000, 299950, -87.789728
7000, 349950, -98.943686
8000, 399950, -91.799445
9000, 449950, -81.941046
10000, 499950, -83.318652
11000, 549950, -67.018255
12000, 599950, -67.275077
13000, 649950, -68.729315
14000, 699950, -66.709811
15000, 749950, -61.887518
16000, 799950, -58.877777
17000, 849950, -62.886547
18000, 899950, -62.802485
19000, 949950, -52.611399
20000, 999950, -62.978248
21000, 1049950, -57.990639
22000, 1099950, -62.154346
23000, 1149950, -70.650709
24000, 1199950, -86.238151
25000, 1249950, -47.386707
26000, 1299950, -47.619551
27000, 1349950, -44.556213
28000, 1399950, -37.568222
29000, 1449950, -37.251770
30000, 1499950, -45.171776
31000, 1549950, -90.482171
32000, 1599950, -134.520518
33000, 1649950, -45.935588
34000, 1699950, -103.116477
35000, 1749950, -81.788948
36000, 1799950, -66.542542
37000, 1849950, -75.074649
38000, 1899950, -42.257688
39000, 1949950, -29.655204
40000, 1999950, -30.968594
41000, 2049950, -43.247918
42000, 2099950, -44.968807
43000, 2149950, -33.065383
44000, 2199950, -44.363816
45000, 2249950, -47.941623
46000, 2299950, -45.612341
47000, 2349950, -38.503882
48000, 2399950, -34.938091
49000, 2449950, -46.907208
50000, 2499950, -40.944201
51000, 2549950, -41.866294
52000, 2599950, -53.378670
53000, 2649950, -31.468120
54000, 2699950, -28.953461
55000, 2749950, -24.774301
56000, 2799950, -35.295181
57000, 2849950, -29.108424
58000, 2899950, -47.409667
59000, 2949950, -30.423045
60000, 2999950, -32.096470
61000, 3049950, -28.097431
62000, 3099950, -48.869811
63000, 3149950, -45.630816
64000, 3199950, -39.063911
65000, 3249950, -34.219557
66000, 3299950, -41.757558
67000, 3349950, -54.703200
68000, 3399950, -43.405312
69000, 3449950, -41.948970
70000, 3499950, -33.825338
71000, 3549950, -49.353019
72000, 3599950, -29.001595
73000, 3649950, -52.776189
74000, 3699950, -228.286027
75000, 3749950, -51.189894
76000, 3799950, -33.826361
77000, 3849950, -42.014801
78000, 3899950, -49.489434
79000, 3949950, -29.038755
80000, 3999950, -56.950252
81000, 4049950, -46.626485
82000, 4099950, -73.165302
83000, 4149950, -66.429170
84000, 4199950, -35.838987
85000, 4249950, -33.405205
86000, 4299950, -102.657637
87000, 4349950, -40.376680
88000, 4399950, -27.916854
89000, 4449950, -29.718422
90000, 4499950, -29.665559
91000, 4549950, -25.372947
92000, 4599950, -35.413793
93000, 4649950, -36.789760
94000, 4699950, -172.922223
95000, 4749950, -72.876607
96000, 4799950, -70.847040
97000, 4849950, -40.189462
98000, 4899950, -74.881773
99000, 4949950, -71.360739
100000, 4999950, -74.444145
