episode,step,agent0_rew,agent1_rew
1000, 49950, -75.58717519125118, -75.58717519125118
2000, 99950, -89.43716503429786, -89.43716503429786
3000, 149950, -74.1983569961982, -74.1983569961982
4000, 199950, -74.80879248562927, -74.80879248562927
5000, 249950, -71.28211355120001, -71.28211355120001
6000, 299950, -67.67320794822864, -67.67320794822864
7000, 349950, -66.48927419423936, -66.48927419423936
8000, 399950, -68.1552327829632, -68.1552327829632
9000, 449950, -73.27103663028763, -73.27103663028763
10000, 499950, -63.239231183205874, -63.239231183205874
11000, 549950, -59.09743349187074, -59.09743349187074
12000, 599950, -58.005269008109764, -58.005269008109764
13000, 649950, -52.940959370108814, -52.940959370108814
14000, 699950, -56.44703186649349, -56.44703186649349
15000, 749950, -58.035108093422856, -58.035108093422856
16000, 799950, -54.90706347512741, -54.90706347512741
17000, 849950, -59.46683211382562, -59.46683211382562
18000, 899950, -62.58248313397511, -62.58248313397511
19000, 949950, -64.75293052707386, -64.75293052707386
20000, 999950, -66.92807240194104, -66.92807240194104
21000, 1049950, -60.8402394420195, -60.8402394420195
22000, 1099950, -76.02100241055781, -76.02100241055781
23000, 1149950, -74.38358019318558, -74.38358019318558
24000, 1199950, -66.01288669455758, -66.01288669455758
25000, 1249950, -60.09352326993909, -60.09352326993909
26000, 1299950, -62.37774511641622, -62.37774511641622
27000, 1349950, -57.590512313305325, -57.590512313305325
28000, 1399950, -57.04764259359029, -57.04764259359029
29000, 1449950, -62.2314598767148, -62.2314598767148
30000, 1499950, -50.22910627294439, -50.22910627294439
31000, 1549950, -51.25708582693918, -51.25708582693918
32000, 1599950, -54.626528989873144, -54.626528989873144
33000, 1649950, -53.661578359836874, -53.661578359836874
34000, 1699950, -55.98943247390239, -55.98943247390239
35000, 1749950, -49.369887034560364, -49.369887034560364
36000, 1799950, -47.49081615266507, -47.49081615266507
37000, 1849950, -41.34374652751515, -41.34374652751515
38000, 1899950, -41.53540839215948, -41.53540839215948
39000, 1949950, -61.526481314934756, -61.526481314934756
40000, 1999950, -58.290269705392525, -58.290269705392525
41000, 2049950, -44.433880147873325, -44.433880147873325
42000, 2099950, -40.453729386935024, -40.453729386935024
43000, 2149950, -39.63628424170404, -39.63628424170404
44000, 2199950, -51.49307889891168, -51.49307889891168
45000, 2249950, -51.476164552196806, -51.476164552196806
46000, 2299950, -50.851717839280866, -50.851717839280866
47000, 2349950, -47.96107832820211, -47.96107832820211
48000, 2399950, -52.04060785396656, -52.04060785396656
49000, 2449950, -49.00675210966557, -49.00675210966557
50000, 2499950, -41.46872556802784, -41.46872556802784
51000, 2549950, -38.73966202831579, -38.73966202831579
52000, 2599950, -36.41924959748483, -36.41924959748483
53000, 2649950, -45.33525556154762, -45.33525556154762
54000, 2699950, -55.404324967060084, -55.404324967060084
55000, 2749950, -44.95572715781923, -44.95572715781923
56000, 2799950, -56.46568662452461, -56.46568662452461
57000, 2849950, -53.18472747381871, -53.18472747381871
58000, 2899950, -57.777822760229185, -57.777822760229185
59000, 2949950, -51.08542171361246, -51.08542171361246
60000, 2999950, -35.84194683686188, -35.84194683686188
61000, 3049950, -36.56413216464869, -36.56413216464869
62000, 3099950, -53.67876762833065, -53.67876762833065
63000, 3149950, -34.60136335619145, -34.60136335619145
64000, 3199950, -40.391748068100846, -40.391748068100846
65000, 3249950, -49.923923233509385, -49.923923233509385
66000, 3299950, -38.202817181303246, -38.202817181303246
67000, 3349950, -38.58669792508657, -38.58669792508657
68000, 3399950, -41.28024051670173, -41.28024051670173
69000, 3449950, -50.080062591018326, -50.080062591018326
70000, 3499950, -47.48650355343525, -47.48650355343525
71000, 3549950, -40.59620996509985, -40.59620996509985
72000, 3599950, -29.811640839874904, -29.811640839874904
73000, 3649950, -27.838086565083994, -27.838086565083994
74000, 3699950, -43.803323343994684, -43.803323343994684
75000, 3749950, -43.79706432270945, -43.79706432270945
76000, 3799950, -48.32355465933123, -48.32355465933123
77000, 3849950, -40.326294353494305, -40.326294353494305
78000, 3899950, -43.199411315019944, -43.199411315019944
79000, 3949950, -42.270158960308876, -42.270158960308876
80000, 3999950, -47.44077897212341, -47.44077897212341
81000, 4049950, -43.89404229891358, -43.89404229891358
82000, 4099950, -38.382760552440146, -38.382760552440146
83000, 4149950, -45.62155340212617, -45.62155340212617
84000, 4199950, -35.637784474026965, -35.637784474026965
85000, 4249950, -32.35057104015445, -32.35057104015445
86000, 4299950, -36.158020475872824, -36.158020475872824
87000, 4349950, -33.20744945074358, -33.20744945074358
88000, 4399950, -33.33249523097953, -33.33249523097953
89000, 4449950, -33.28343098844111, -33.28343098844111
90000, 4499950, -37.27992431519761, -37.27992431519761
91000, 4549950, -41.5492676811182, -41.5492676811182
92000, 4599950, -48.39128962342867, -48.39128962342867
93000, 4649950, -42.573401196136864, -42.573401196136864
94000, 4699950, -76.28903630084373, -76.28903630084373
95000, 4749950, -49.18464576163796, -49.18464576163796
96000, 4799950, -50.22850673476012, -50.22850673476012
97000, 4849950, -52.987078555262244, -52.987078555262244
98000, 4899950, -48.25715839081894, -48.25715839081894
99000, 4949950, -38.36609041275083, -38.36609041275083
100000, 4999950, -32.18800890454098, -32.18800890454098
