a0_to_a1,a0_to_a2,a1_to_a0,a1_to_a2,a2_to_a0,a2_to_a1,episode,step
F,F,_,_,_,_,1,0
F,F,_,_,_,_,1,1
F,F,_,_,_,_,1,2
F,F,_,_,_,_,1,3
F,F,_,_,_,_,1,4
D,D,_,_,_,_,1,5
A,A,_,_,_,_,1,6
F,F,_,_,_,_,1,7
D,D,_,_,_,_,1,8
F,F,_,_,_,_,1,9
B,B,_,_,_,_,1,10
D,D,_,_,_,_,1,11
D,D,_,_,_,_,1,12
F,F,_,_,_,_,1,13
E,E,_,_,_,_,1,14
D,D,_,_,_,_,1,15
B,B,_,_,_,_,1,16
B,B,_,_,_,_,1,17
B,B,_,_,_,_,1,18
F,F,_,_,_,_,1,19
E,E,_,_,_,_,1,20
E,E,_,_,_,_,1,21
F,F,_,_,_,_,1,22
F,F,_,_,_,_,1,23
_,_,_,_,_,_,2,0
E,E,_,_,_,_,2,1
E,E,_,_,_,_,2,2
E,E,_,_,_,_,2,3
E,E,_,_,_,_,2,4
E,E,_,_,_,_,2,5
F,F,_,_,_,_,2,6
F,F,_,_,_,_,2,7
F,F,_,_,_,_,2,8
E,E,_,_,_,_,2,9
E,E,_,_,_,_,2,10
E,E,_,_,_,_,2,11
E,E,_,_,_,_,2,12
F,F,_,_,_,_,2,13
E,E,_,_,_,_,2,14
E,E,_,_,_,_,2,15
F,F,_,_,_,_,2,16
F,F,_,_,_,_,2,17
E,E,_,_,_,_,2,18
E,E,_,_,_,_,2,19
F,F,_,_,_,_,2,20
F,F,_,_,_,_,2,21
F,F,_,_,_,_,2,22
E,E,_,_,_,_,2,23
A,A,_,_,_,_,2,24
