a0_to_a1,a1_to_a0,episode,step
C,_,1,0
C,_,1,1
C,_,1,2
C,_,1,3
C,_,1,4
C,_,1,5
B,_,1,6
D,_,1,7
D,_,1,8
D,_,1,9
D,_,1,10
D,_,1,11
D,_,1,12
D,_,1,13
D,_,1,14
C,_,1,15
C,_,1,16
C,_,1,17
C,_,1,18
C,_,1,19
B,_,1,20
D,_,1,21
D,_,1,22
B,_,1,23
D,_,1,24
D,_,1,25
D,_,1,26
D,_,1,27
D,_,1,28
D,_,1,29
C,_,1,30
C,_,1,31
C,_,1,32
B,_,1,33
C,_,1,34
C,_,1,35
C,_,1,36
D,_,1,37
D,_,1,38
D,_,1,39
D,_,1,40
D,_,1,41
D,_,1,42
D,_,1,43
D,_,1,44
D,_,1,45
C,_,1,46
C,_,1,47
C,_,1,48
_,_,2,0
B,_,2,1
B,_,2,2
B,_,2,3
B,_,2,4
B,_,2,5
B,_,2,6
B,_,2,7
B,_,2,8
B,_,2,9
B,_,2,10
C,_,2,11
C,_,2,12
C,_,2,13
C,_,2,14
C,_,2,15
D,_,2,16
D,_,2,17
D,_,2,18
D,_,2,19
D,_,2,20
D,_,2,21
D,_,2,22
D,_,2,23
D,_,2,24
C,_,2,25
C,_,2,26
C,_,2,27
C,_,2,28
C,_,2,29
C,_,2,30
B,_,2,31
D,_,2,32
B,_,2,33
D,_,2,34
D,_,2,35
D,_,2,36
D,_,2,37
D,_,2,38
D,_,2,39
D,_,2,40
C,_,2,41
C,_,2,42
B,_,2,43
B,_,2,44
B,_,2,45
C,_,2,46
D,_,2,47
D,_,2,48
D,_,2,49
_,_,3,0
C,_,3,1
B,_,3,2
C,_,3,3
B,_,3,4
D,_,3,5
D,_,3,6
D,_,3,7
D,_,3,8
D,_,3,9
C,_,3,10
D,_,3,11
C,_,3,12
B,_,3,13
C,_,3,14
C,_,3,15
B,_,3,16
D,_,3,17
D,_,3,18
D,_,3,19
D,_,3,20
D,_,3,21
D,_,3,22
B,_,3,23
B,_,3,24
C,_,3,25
B,_,3,26
B,_,3,27
C,_,3,28
D,_,3,29
D,_,3,30
D,_,3,31
D,_,3,32
D,_,3,33
D,_,3,34
D,_,3,35
C,_,3,36
C,_,3,37
C,_,3,38
C,_,3,39
C,_,3,40
C,_,3,41
C,_,3,42
D,_,3,43
D,_,3,44
D,_,3,45
D,_,3,46
D,_,3,47
D,_,3,48
D,_,3,49
_,_,4,0
B,_,4,1
B,_,4,2
B,_,4,3
B,_,4,4
B,_,4,5
B,_,4,6
B,_,4,7
B,_,4,8
B,_,4,9
B,_,4,10
B,_,4,11
C,_,4,12
C,_,4,13
C,_,4,14
C,_,4,15
C,_,4,16
D,_,4,17
D,_,4,18
D,_,4,19
D,_,4,20
D,_,4,21
D,_,4,22
D,_,4,23
C,_,4,24
C,_,4,25
B,_,4,26
C,_,4,27
C,_,4,28
C,_,4,29
D,_,4,30
D,_,4,31
D,_,4,32
D,_,4,33
D,_,4,34
D,_,4,35
D,_,4,36
D,_,4,37
C,_,4,38
B,_,4,39
B,_,4,40
