episode,step,total_reward
1000, 49950, -154.758160
2000, 99950, -273.687977
3000, 149950, -239.099753
4000, 199950, -179.596149
5000, 249950, -144.886560
6000, 299950, -136.311494
7000, 349950, -146.128769
8000, 399950, -134.558912
9000, 449950, -149.483036
10000, 499950, -154.717378
11000, 549950, -128.590287
12000, 599950, -135.004451
13000, 649950, -137.633397
14000, 699950, -137.563551
15000, 749950, -131.916302
16000, 799950, -127.441418
17000, 849950, -146.542964
18000, 899950, -128.676623
19000, 949950, -149.151008
20000, 999950, -110.595214
21000, 1049950, -105.714106
22000, 1099950, -97.602282
23000, 1149950, -119.873670
24000, 1199950, -83.877478
25000, 1249950, -198.774005
26000, 1299950, -145.623477
27000, 1349950, -83.381108
28000, 1399950, -82.303014
29000, 1449950, -80.770447
30000, 1499950, -98.324329
31000, 1549950, -135.480791
32000, 1599950, -96.979525
33000, 1649950, -81.257459
34000, 1699950, -74.011259
35000, 1749950, -69.725833
36000, 1799950, -64.590240
37000, 1849950, -60.685693
38000, 1899950, -59.001039
39000, 1949950, -63.836451
40000, 1999950, -82.344816
41000, 2049950, -72.529401
42000, 2099950, -71.513033
43000, 2149950, -78.784367
44000, 2199950, -67.828280
45000, 2249950, -107.081828
46000, 2299950, -60.408005
47000, 2349950, -84.996887
48000, 2399950, -78.190312
49000, 2449950, -65.760986
50000, 2499950, -62.006003
51000, 2549950, -50.865657
52000, 2599950, -44.709510
53000, 2649950, -52.657037
54000, 2699950, -47.358830
55000, 2749950, -86.645426
56000, 2799950, -64.456506
57000, 2849950, -112.253512
58000, 2899950, -36.185086
59000, 2949950, -43.252775
60000, 2999950, -49.740992
61000, 3049950, -40.469438
62000, 3099950, -99.698338
63000, 3149950, -84.183348
64000, 3199950, -97.588509
65000, 3249950, -49.255386
66000, 3299950, -42.343476
67000, 3349950, -99.285748
68000, 3399950, -59.683322
69000, 3449950, -32.876052
70000, 3499950, -37.498191
71000, 3549950, -40.368544
72000, 3599950, -63.450898
73000, 3649950, -46.287362
74000, 3699950, -36.438256
75000, 3749950, -33.122820
76000, 3799950, -53.649044
77000, 3849950, -39.075152
78000, 3899950, -31.152904
79000, 3949950, -32.417637
80000, 3999950, -31.860610
81000, 4049950, -27.176494
82000, 4099950, -29.220337
83000, 4149950, -39.077746
84000, 4199950, -31.194085
85000, 4249950, -27.572790
86000, 4299950, -102.786051
87000, 4349950, -34.763727
88000, 4399950, -65.890228
89000, 4449950, -29.163632
90000, 4499950, -35.318836
91000, 4549950, -43.651690
92000, 4599950, -35.705914
93000, 4649950, -45.261172
94000, 4699950, -63.024639
95000, 4749950, -47.012914
96000, 4799950, -64.445799
97000, 4849950, -43.660957
98000, 4899950, -50.504339
99000, 4949950, -41.252482
100000, 4999950, -48.002465
