episode,step,agent0_rew,agent1_rew
1000, 9990, -13.938459572748496, -13.938459572748496
2000, 19990, -14.05814516572608, -14.05814516572608
3000, 30238, -15.07125158751093, -15.07125158751093
4000, 41238, -13.429827278903984, -13.429827278903984
5000, 52238, -12.703045823006272, -12.703045823006272
6000, 63976, -12.206514276393738, -12.206514276393738
7000, 75976, -10.879682966597823, -10.879682966597823
8000, 88404, -10.523774622589482, -10.523774622589482
9000, 101404, -10.642443787455484, -10.642443787455484
10000, 114694, -10.484960949538303, -10.484960949538303
11000, 128694, -10.54189098065375, -10.54189098065375
12000, 142993, -10.960723420414585, -10.960723420414585
13000, 157993, -11.091402062641347, -11.091402062641347
14000, 173430, -10.65483023407845, -10.65483023407845
15000, 189430, -11.708426442484598, -11.708426442484598
16000, 206118, -12.168790677523734, -12.168790677523734
17000, 223157, -11.864486790912263, -11.864486790912263
18000, 241157, -11.569046038739922, -11.569046038739922
19000, 259636, -11.476698399872717, -11.476698399872717
20000, 278636, -11.435649493925093, -11.435649493925093
21000, 298635, -11.451227712116165, -11.451227712116165
22000, 319226, -14.446727360544921, -14.446727360544921
23000, 340474, -14.688282654621874, -14.688282654621874
24000, 362474, -13.748593545455783, -13.748593545455783
25000, 385440, -12.566774919430625, -12.566774919430625
26000, 409178, -13.403840068784048, -13.403840068784048
27000, 433738, -15.18547419471443, -15.18547419471443
28000, 459166, -13.850020490817519, -13.850020490817519
29000, 485505, -17.348801297481995, -17.348801297481995
30000, 512795, -13.940433749223175, -13.940433749223175
31000, 541072, -14.565327168507226, -14.565327168507226
32000, 570371, -14.79166241222098, -14.79166241222098
33000, 600724, -14.964176086406852, -14.964176086406852
34000, 632161, -15.750143777445007, -15.750143777445007
35000, 664710, -14.502158241586999, -14.502158241586999
36000, 698398, -44.42138103766619, -44.42138103766619
37000, 733288, -19.727017349850517, -19.727017349850517
38000, 769536, -17.269516648775397, -17.269516648775397
39000, 807015, -18.118290564502495, -18.118290564502495
40000, 845744, -17.702545959599295, -17.702545959599295
41000, 886029, -18.754499421557032, -18.754499421557032
42000, 927620, -20.05309633820175, -20.05309633820175
43000, 970780, -19.54677358681875, -19.54677358681875
44000, 1015380, -22.99095642527161, -22.99095642527161
45000, 1061691, -22.637541894790658, -22.637541894790658
46000, 1109572, -24.848866649408446, -24.848866649408446
47000, 1159132, -27.864238358009327, -27.864238358009327
48000, 1209132, -48.032464464040864, -48.032464464040864
49000, 1259132, -74.90213732971804, -74.90213732971804
50000, 1309132, -54.72792738268956, -54.72792738268956
51000, 1359132, -32.7738075504409, -32.7738075504409
52000, 1409132, -31.225650862307276, -31.225650862307276
53000, 1459132, -39.08260217292079, -39.08260217292079
54000, 1509132, -68.17267731686731, -68.17267731686731
55000, 1559132, -52.655792257433745, -52.655792257433745
56000, 1609132, -57.39957201036473, -57.39957201036473
57000, 1659132, -25.684928265300652, -25.684928265300652
58000, 1709132, -52.573063837786044, -52.573063837786044
59000, 1759132, -40.90791205081284, -40.90791205081284
60000, 1809132, -32.33703079335225, -32.33703079335225
61000, 1859132, -29.01833044399053, -29.01833044399053
62000, 1909132, -24.1273048475021, -24.1273048475021
63000, 1959132, -22.949744769463443, -22.949744769463443
64000, 2009132, -50.29236684695734, -50.29236684695734
65000, 2059132, -32.5237828976999, -32.5237828976999
66000, 2109132, -17.75486568210383, -17.75486568210383
67000, 2159132, -26.121527875698778, -26.121527875698778
68000, 2209132, -21.076906633217252, -21.076906633217252
69000, 2259132, -21.339675210945135, -21.339675210945135
70000, 2309132, -20.442384760909874, -20.442384760909874
71000, 2359132, -27.48285407019648, -27.48285407019648
72000, 2409132, -25.4876107338309, -25.4876107338309
73000, 2459132, -25.036839351117408, -25.036839351117408
74000, 2509132, -31.619425221943953, -31.619425221943953
75000, 2559132, -29.73488042876543, -29.73488042876543
76000, 2609132, -21.9083385518416, -21.9083385518416
77000, 2659132, -24.552658842111644, -24.552658842111644
78000, 2709132, -34.788169806176825, -34.788169806176825
79000, 2759132, -28.800298475670257, -28.800298475670257
80000, 2809132, -23.173375264645344, -23.173375264645344
81000, 2859132, -19.348209340219828, -19.348209340219828
82000, 2909132, -24.308108098678815, -24.308108098678815
83000, 2959132, -18.339088502795796, -18.339088502795796
84000, 3009132, -22.769618550021857, -22.769618550021857
85000, 3059132, -27.663526863006314, -27.663526863006314
86000, 3109132, -72.38288639252862, -72.38288639252862
87000, 3159132, -28.365497204637737, -28.365497204637737
88000, 3209132, -141.81141941273538, -141.81141941273538
89000, 3259132, -33.63193153761129, -33.63193153761129
90000, 3309132, -28.009847294294364, -28.009847294294364
91000, 3359132, -22.120198437491197, -22.120198437491197
92000, 3409132, -78.7590421847292, -78.7590421847292
93000, 3459132, -37.00808799379401, -37.00808799379401
94000, 3509132, -36.009634183409936, -36.009634183409936
95000, 3559132, -62.23631897199577, -62.23631897199577
96000, 3609132, -41.725265511205414, -41.725265511205414
97000, 3659132, -41.17536800997689, -41.17536800997689
98000, 3709132, -51.51013012251634, -51.51013012251634
99000, 3759132, -46.52196169287597, -46.52196169287597
100000, 3809132, -55.31722358896192, -55.31722358896192
