episode,step,agent0_rew
100, 4950, -81.76264056620616
200, 9950, -95.6758522931292
300, 14950, -82.62609782797279
400, 19950, -77.00064023171187
500, 24950, -88.00256489715159
600, 29950, -86.1408298583695
700, 34950, -92.92563524165149
800, 39950, -83.44312121606495
900, 44950, -91.80907084260298
1000, 49950, -86.57436127869188
1100, 54950, -371.7376250778967
1200, 59950, -74.12845084608331
1300, 64950, -219.68866140614213
1400, 69950, -423.66156414050715
1500, 74950, -169.4475336338876
1600, 79950, -104.46124951113642
1700, 84950, -84.3256758444996
1800, 89950, -90.21524385868697
1900, 94950, -74.46900829586514
2000, 99950, -80.65237531493088
2100, 104950, -70.54362396839647
2200, 109950, -76.57745143142064
2300, 114950, -82.51663129421156
2400, 119950, -75.27914951878556
2500, 124950, -72.8846414109378
2600, 129950, -78.52388847824062
2700, 134950, -76.54955805996816
2800, 139950, -57.82889415590771
2900, 144950, -67.39410386262438
3000, 149950, -49.63430204597723
3100, 154950, -67.58162981088617
3200, 159950, -50.96823484823857
3300, 164950, -54.845600534972725
3400, 169950, -61.69343027856158
3500, 174950, -60.25521415230277
3600, 179950, -62.97357573523806
3700, 184950, -59.86940021003128
3800, 189950, -58.31142480683749
3900, 194950, -61.21779663661177
4000, 199950, -48.61258111078723
4100, 204950, -56.4660828693974
4200, 209950, -49.084332279320286
4300, 214950, -53.20711553092572
4400, 219950, -49.68891293164868
4500, 224950, -52.78461609879234
4600, 229950, -50.084417016824226
4700, 234950, -57.38862982500088
4800, 239950, -53.94174663569206
4900, 244950, -46.490223182283074
5000, 249950, -46.42548715791516
5100, 254950, -43.30442084452202
5200, 259950, -65.07725186489658
5300, 264950, -58.73862066887526
5400, 269950, -57.16090125808105
5500, 274950, -51.47421192190458
5600, 279950, -58.09375625023498
5700, 284950, -54.37467440594287
5800, 289950, -54.74203279079285
5900, 294950, -61.5774483159732
6000, 299950, -50.379121161721066
6100, 304950, -53.59768943262292
6200, 309950, -54.48625153616536
6300, 314950, -41.58605316284853
6400, 319950, -55.02073389754855
6500, 324950, -50.04194176117298
6600, 329950, -56.15496017139324
6700, 334950, -45.8063253625799
6800, 339950, -43.46431167271662
6900, 344950, -47.70568912839835
7000, 349950, -56.17632944479365
7100, 354950, -47.127191642031256
7200, 359950, -44.37362584780569
7300, 364950, -49.0330144896486
7400, 369950, -44.828879198002134
7500, 374950, -48.778525708607404
7600, 379950, -53.86747613185492
7700, 384950, -41.8935827693601
7800, 389950, -43.68760900222626
7900, 394950, -44.460626711551434
8000, 399950, -41.40503101305671
8100, 404950, -54.37083883683534
8200, 409950, -46.069610956609694
8300, 414950, -47.62879671246268
8400, 419950, -37.945364638929135
8500, 424950, -39.80997915298965
8600, 429950, -46.41098484675434
8700, 434950, -43.353310412876226
8800, 439950, -49.376524201247584
8900, 444950, -40.88377004440822
9000, 449950, -45.31701120898547
9100, 454950, -36.454689511758495
9200, 459950, -39.67721515810799
9300, 464950, -46.390281366132356
9400, 469950, -36.001960843259155
9500, 474950, -36.76323494437793
9600, 479950, -38.29505463547685
9700, 484950, -39.497035220587485
9800, 489950, -39.190139074276814
9900, 494950, -38.71469842118488
10000, 499950, -44.22912808322023
