episode,step,total_reward
200, 9950, -68.070663
400, 19950, -69.898094
600, 29950, -67.296141
800, 39950, -76.384935
1000, 49950, -72.903615
1200, 59950, -182.664080
1400, 69950, -181.067920
1600, 79950, -86.221661
1800, 89950, -56.314071
2000, 99950, -48.596464
2200, 109950, -36.417257
2400, 119950, -43.161367
2600, 129950, -35.908331
2800, 139950, -37.827198
3000, 149950, -41.875629
3200, 159950, -35.651491
3400, 169950, -35.265995
3600, 179950, -37.362022
3800, 189950, -29.823589
4000, 199950, -30.452859
4200, 209950, -27.766252
4400, 219950, -24.473256
4600, 229950, -25.562451
4800, 239950, -28.694119
5000, 249950, -30.107458
5200, 259950, -30.600971
5400, 269950, -27.406345
5600, 279950, -31.848791
5800, 289950, -25.707285
6000, 299950, -25.709619
6200, 309950, -27.714824
6400, 319950, -22.094782
6600, 329950, -20.423268
6800, 339950, -26.707601
7000, 349950, -25.733510
7200, 359950, -24.439770
7400, 369950, -28.849010
7600, 379950, -24.393102
7800, 389950, -26.151114
8000, 399950, -22.995143
8200, 409950, -25.216210
8400, 419950, -23.274500
8600, 429950, -27.902700
8800, 439950, -28.328971
9000, 449950, -28.064466
9200, 459950, -24.393506
9400, 469950, -21.451267
9600, 479950, -25.187812
9800, 489950, -20.047828
10000, 499950, -24.975619
